budget_year,budget_vintage,max_source_month,month,entity,division,budget_model,revenue_budget,marginal_contribution_budget,gross_profit_budget,opex_budget,depreciation_budget,ebit_budget,revenue_growth_target,mc_margin_target,gross_margin_target,opex_pct_target
2025,2024-10,2024-10,2025-01,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-02,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-03,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-04,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-05,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-06,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-07,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-08,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-09,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-10,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-11,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-12,CN01,Hardware,Cost center run-rate,0.0,0.0,-234700.27,0.0,236111.11,-470811.38,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-01,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-02,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-03,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-04,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-05,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-06,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-07,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-08,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-09,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-10,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-11,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-12,CZ01,Hardware,Cost center run-rate,0.0,0.0,-38796.84,0.0,236111.11,-274907.95,0.0,0.0,0.0,0.0
2025,2024-10,2024-10,2025-01,DE01,Hardware,Driver-based commercial,4196008.06,1462638.57,1233359.91,482047.0,49827.81,701485.09,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-02,DE01,Hardware,Driver-based commercial,4386735.7,1529122.14,1289421.72,503958.23,52092.71,733370.78,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-03,DE01,Hardware,Driver-based commercial,4720509.07,1645468.39,1387529.89,542302.87,56056.29,789170.73,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-04,DE01,Hardware,Driver-based commercial,4815872.89,1678710.18,1415560.8,553258.49,57188.74,805113.57,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-05,DE01,Hardware,Driver-based commercial,4911236.71,1711951.96,1443591.71,564214.1,58321.19,821056.42,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-06,DE01,Hardware,Driver-based commercial,5006600.53,1745193.75,1471622.61,575169.71,59453.64,836999.26,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-07,DE01,Hardware,Driver-based commercial,4529781.43,1578984.82,1331468.08,520391.65,53791.39,757285.04,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-08,DE01,Hardware,Driver-based commercial,4005280.42,1396155.0,1177298.09,460135.77,47562.91,669599.41,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-09,DE01,Hardware,Driver-based commercial,4958918.62,1728572.86,1457607.16,569691.91,58887.42,829027.84,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-10,DE01,Hardware,Driver-based commercial,5149646.26,1795056.43,1513668.98,591603.13,61152.32,860913.52,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-11,DE01,Hardware,Driver-based commercial,5340373.9,1861540.0,1569730.79,613514.36,63417.22,892799.21,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-12,DE01,Hardware,Driver-based commercial,5626465.36,1961265.36,1653823.51,646381.2,66814.57,940627.74,0.045,0.34858,0.29394,0.11488
2025,2024-10,2024-10,2025-01,DE01,Software,Driver-based commercial,645748.77,509586.76,481217.78,110548.07,7737.47,362932.24,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-02,DE01,Software,Driver-based commercial,675100.99,532749.8,503091.32,115572.99,8089.17,379429.16,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-03,DE01,Software,Driver-based commercial,726467.37,573285.11,541370.0,124366.58,8704.65,408298.77,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-04,DE01,Software,Driver-based commercial,741143.48,584866.63,552306.77,126879.04,8880.5,416547.23,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-05,DE01,Software,Driver-based commercial,755819.59,596448.14,563243.54,129391.49,9056.35,424795.69,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-06,DE01,Software,Driver-based commercial,770495.7,608029.66,574180.31,131903.95,9232.2,433044.15,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-07,DE01,Software,Driver-based commercial,697115.15,550122.07,519496.47,119341.67,8352.95,391801.85,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-08,DE01,Software,Driver-based commercial,616396.56,486423.73,459344.25,105523.16,7385.76,346435.32,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-09,DE01,Software,Driver-based commercial,763157.64,602238.9,568711.92,130647.72,9144.28,428919.92,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-10,DE01,Software,Driver-based commercial,792509.86,625401.94,590585.46,135672.64,9495.98,445416.84,0.12,0.78914,0.74521,0.17119
2025,2024-10,2024-10,2025-11,DE01,Software,Driver-based commercial,821862.08,648564.97,612458.99,140697.55,9847.68,461913.76,0.12,0.78914,0.74521,0.17119
