month,entity,division,customer,customer_name,customer_segment,risk_score,payment_terms_days,current,overdue_1_30,overdue_31_60,overdue_61_90,overdue_90_plus,total_ar,overdue_ar,overdue_pct,weighted_age_days
2023-09,DE01,Hardware,C008,Redwood DE01,Core,2.225305,45,413874.87,0.0,0.0,0.0,0.0,413874.87,0.0,0.0,0.0
2023-09,DE01,Hardware,C009,Pioneer DE01,Strategic,1.306745,45,789156.06,0.0,0.0,0.0,0.0,789156.06,0.0,0.0,0.0
2023-09,DE01,Hardware,C010,Keystone DE01,Growth,3.8942900000000003,45,322676.77,0.0,0.0,0.0,0.0,322676.77,0.0,0.0,0.0
2023-09,DE01,Hardware,C011,Axiom DE01,Strategic,1.0,45,1426307.65,0.0,0.0,0.0,0.0,1426307.65,0.0,0.0,0.0
2023-09,DE01,Hardware,C012,Northstar DE01,Growth,2.752895,45,444061.92,0.0,0.0,0.0,0.0,444061.92,0.0,0.0,0.0
2023-09,DE01,Hardware,C013,Kestrel DE01,Core,1.8694799999999998,45,789280.31,0.0,0.0,0.0,0.0,789280.31,0.0,0.0,0.0
2023-09,DE01,Hardware,C014,Helix DE01,Core,2.0470550000000003,45,567420.99,0.0,0.0,0.0,0.0,567420.99,0.0,0.0,0.0
2023-09,DE01,Software,C001,Meridian DE01,Growth,3.922925,30,52337.71,0.0,0.0,0.0,0.0,52337.71,0.0,0.0,0.0
2023-09,DE01,Software,C002,Orion DE01,Core,1.8911449999999999,30,72896.73,0.0,0.0,0.0,0.0,72896.73,0.0,0.0,0.0
2023-09,DE01,Software,C003,Atlas DE01,Growth,2.7558400000000005,30,40590.2,0.0,0.0,0.0,0.0,40590.2,0.0,0.0,0.0
2023-09,DE01,Software,C004,Nimbus DE01,Strategic,1.0,30,226662.44999999998,0.0,0.0,0.0,0.0,226662.44999999998,0.0,0.0,0.0
2023-09,DE01,Software,C005,Summit DE01,Core,2.047655,30,79949.59,0.0,0.0,0.0,0.0,79949.59,0.0,0.0,0.0
2023-09,DE01,Software,C006,Cobalt DE01,Core,2.081205,30,86756.78,0.0,0.0,0.0,0.0,86756.78,0.0,0.0,0.0
2023-09,DE01,Software,C007,Vertex DE01,Core,2.185245,30,60760.54,0.0,0.0,0.0,0.0,60760.54,0.0,0.0,0.0
2023-09,ES01,Events,C022,Vector ES01,Strategic,1.0,30,477988.52,0.0,0.0,0.0,0.0,477988.52,0.0,0.0,0.0
2023-09,ES01,Events,C023,Redwood ES01,Growth,2.795945,30,330286.16,0.0,0.0,0.0,0.0,330286.16,0.0,0.0,0.0
2023-09,ES01,Events,C024,Pioneer ES01,Strategic,1.02279,30,206077.25,0.0,0.0,0.0,0.0,206077.25,0.0,0.0,0.0
2023-09,ES01,Events,C025,Keystone ES01,Core,2.0810400000000002,30,192639.40999999997,0.0,0.0,0.0,0.0,192639.40999999997,0.0,0.0,0.0
2023-09,ES01,Events,C026,Axiom ES01,Core,2.21812,30,109324.8,0.0,0.0,0.0,0.0,109324.8,0.0,0.0,0.0
2023-09,ES01,Hardware,C015,Nova ES01,Strategic,1.134235,45,532187.98,0.0,0.0,0.0,0.0,532187.98,0.0,0.0,0.0
2023-09,ES01,Hardware,C016,Meridian ES01,Core,2.18475,45,335423.83,0.0,0.0,0.0,0.0,335423.83,0.0,0.0,0.0
2023-09,ES01,Hardware,C017,Orion ES01,Strategic,1.2359149999999999,45,766207.57,0.0,0.0,0.0,0.0,766207.57,0.0,0.0,0.0
2023-09,ES01,Hardware,C018,Atlas ES01,Strategic,1.285565,45,671223.32,0.0,0.0,0.0,0.0,671223.32,0.0,0.0,0.0
2023-09,ES01,Hardware,C019,Nimbus ES01,Core,2.209905,45,461683.4,0.0,0.0,0.0,0.0,461683.4,0.0,0.0,0.0
2023-09,ES01,Hardware,C020,Summit ES01,Strategic,1.0,45,1045073.88,0.0,0.0,0.0,0.0,1045073.88,0.0,0.0,0.0
