month,cash,trade_receivables_gross,credit_loss_allowance,trade_receivables,inventory_gross,inventory_provision,inventory_legal_transfer_value,unrealized_ic_markup_reserve,inventory,ppe_gross,cip,accumulated_depreciation,trade_payables,tax_payable,debt,share_capital,retained_earnings,assets,liabilities,equity,balance_check,contract_liabilities
2023-09,50737034.56,26217822.39,45391.86,26172430.53,39133405.14,46310.649999999994,39133405.14,2898770.7511111107,36188323.73888889,104000000.0,0.0,-23602222.22,51861724.07,544093.3200000001,41475000.0,93120000.0,4841172.618888889,193495566.6088889,95534393.99,97961172.61888888,1.4901161193847656e-08,1653576.6
2023-10,22450557.630000003,49708930.870000005,86580.52,49622350.35,40385730.6,50173.23,40385730.6,2991535.6,37344021.77,104000000.0,0.0,-24324444.44,39763323.71000001,1979759.0,41475000.0,93120000.0,9249631.149999999,189092485.31,86722854.16000001,102369631.15,-1.4901161193847656e-08,3504771.45
2023-11,29345431.010000005,51129789.51,92991.51000000001,51036798.0,41692906.47,55931.79,41692906.47,3088363.4422222218,38548611.23777778,104000000.0,0.0,-25046666.660000004,40464541.18000001,3543070.37,41475000.0,93120000.0,14091119.567777775,197884173.5877778,90673054.02000001,107211119.56777778,0.0,5190442.470000001
2023-12,32542030.46,53693027.56,97459.98000000001,53595567.580000006,43831838.91,61310.08,43831838.91,3246802.8822222217,40523725.94777778,104000000.0,0.0,-25768888.880000003,43680898.83,1163578.31,40956562.5,93120000.0,19451585.997777782,204892435.10777777,92320849.11,112571585.99777779,-1.4901161193847656e-08,6519809.470000001
2024-01,30620610.52,40884517.53,75835.36000000002,40808682.17,32769855.52,17583.2,32769855.52,2427396.705185185,30324875.614814814,104000000.0,0.0,-26491111.1,12980008.330000002,2229359.41,40956562.5,93120000.0,21879168.964814812,179263057.20481482,64263888.24,114999168.96481481,0.0,8097958.0
2024-02,46358528.65,39225231.46000001,72185.56000000001,39153045.900000006,33278326.82,37228.33,33278326.82,2465061.2459259257,30776037.244074076,104000000.0,0.0,-27213333.32,22908712.87,3237927.54,40956562.5,93120000.0,24828868.89407407,193074278.4740741,75125409.58,117948868.89407407,2.9802322387695312e-08,8022206.670000001
2024-03,55430215.07999999,45342505.85000001,82150.21000000002,45260355.64000001,35856105.61,66025.76,35856105.61,2656007.8229629626,33134072.02703704,104000000.0,0.0,-27935555.54,38675884.13,1011364.31,40444605.47000001,93120000.0,28903239.41703704,209889087.20703706,87865847.79000002,122023239.41703704,0.0,7733993.880000001
2024-04,57633583.080000006,45255690.52000001,82359.96,45173330.56000001,36964938.54000001,80697.56,36964938.54000001,2738143.595555556,34146097.384444445,104000000.0,0.0,-28657777.759999998,35967580.35,2255138.49,40444605.47000001,93120000.0,32744840.234444443,212295233.26444447,86430393.03000002,125864840.23444444,1.4901161193847656e-08,7763068.720000001
2024-05,61489975.730000004,43735231.97,80667.51000000001,43654564.46,37030819.88,71771.4,37030819.88,2743023.6948148147,34216024.78518519,104000000.0,0.0,-29379999.979999997,33210073.330000006,3421270.2399999998,40444605.47000001,93120000.0,36385202.70518518,213980564.9951852,84475362.29000002,129505202.70518517,0.0,7399413.25
2024-06,63041416.75000001,47384108.43,86230.27000000002,47297878.16,38960858.35,105543.43999999999,38960858.35,2885989.5074074073,35969325.4025926,104000000.0,0.0,-30102222.199999996,38723836.91000001,1071960.73,39939047.900000006,93120000.0,40798617.6925926,220206398.1125926,86287780.42000002,133918617.69259259,0.0,6552934.880000001
2024-07,64103966.470000006,44397836.44,81783.69,44316052.75,35066579.019999996,128392.12,35066579.019999996,2597524.3718518517,32340662.52814815,104000000.0,0.0,-30824444.419999994,27025495.85,2311910.12,39939047.900000006,93120000.0,44497657.74814815,213936237.32814816,76318579.58,137617657.74814814,0.0,7042125.71
2024-08,71592750.3,37455432.95,69838.19,37385594.760000005,29079419.51,105316.14,29079419.51,2154031.0748148146,26820072.295185186,104000000.0,0.0,-31546666.639999993,18302877.510000005,3309412.15,39939047.900000006,93120000.0,46972297.75518519,208251750.7151852,68159452.96000001,140092297.7551852,0.0,6608115.4
2024-09,79377253.49,47592874.150000006,93942.15000000002,47498932.00000001,37760320.980000004,176510.71000000002,37760320.980000004,2797060.8133333335,34786749.45666667,104000000.0,0.0,-32268888.859999992,40978006.09000001,1125041.73,39439809.81,93120000.0,51947947.00666667,233394046.0866667,88326099.08000001,145067947.00666666,2.9802322387695312e-08,6783241.45
2024-10,83109610.77,49896769.260000005,89598.57000000002,49807170.690000005,40502333.96,201898.96,40502333.96,3000172.885925926,37300262.114074074,104000000.0,0.0,-32991111.07999999,41568380.53,2845050.54,39439809.81,93120000.0,57170484.96407407,241225932.4940741,90935447.53,150290484.96407408,2.9802322387695312e-08,7082206.65
2024-11,86405537.72,51083095.17000001,93053.93000000002,50990041.24000001,41136890.52,186171.41,41136890.52,3047177.0755555555,37903542.03444445,104000000.0,0.0,-33713333.29999999,38555937.19,4489309.24,39439809.81,93120000.0,62342572.11444444,245585787.6944445,90123215.58000001,155462572.11444443,5.960464477539063e-08,7638159.34
2024-12,89335331.22999999,54000239.28000001,98662.67000000001,53901576.61000001,43623598.51,121122.80000000002,43623598.51,3231377.667407407,40271098.04259259,104000000.0,0.0,-34435555.51999999,43629327.699999996,1405117.6099999999,38946812.18000001,93120000.0,68226843.44259259,253072450.36259258,91725606.92000002,161346843.4425926,-2.9802322387695312e-08,7744349.430000001
2025-01,85969263.37,41129855.54,77390.00000000003,41052465.54,32920829.59,71151.19000000002,32920829.59,2438579.9696296295,30411098.430370368,104000000.0,0.0,-35157777.73999999,12920637.62,2506358.79,38946812.18000001,93120000.0,70967217.10037036,226275049.60037038,62187832.50000001,164087217.10037035,2.9802322387695312e-08,7814023.910000002
2025-02,102647643.0,44464842.64,82507.29000000002,44382335.35,34847466.1,88737.53000000001,34847466.1,2581293.7851851853,32177434.784814816,104000000.0,225502.03,-35879999.959999986,28370062.35,3905188.13,38946812.18000001,93120000.0,75231426.21481481,247552915.2048148,79201488.99000001,168351426.2148148,-2.9802322387695312e-08,7979426.330000001
2025-03,111055399.00999999,50235655.55,91575.73000000003,50144079.82,38988748.410000004,91325.80000000002,38988748.410000004,2888055.437777778,36009367.17222223,104000000.0,696864.49,-36602222.179999985,43709556.29000001,1258281.73,38459977.02,93120000.0,80658210.20222223,265303488.3122222,91525278.11000001,173778210.20222223,-2.9802322387695312e-08,8097463.07
