month,legal_revenue,legal_ebit,legal_net_income,group_revenue,group_ebit,group_net_income,revenue_elimination,ebit_consolidation_adjustment,net_income_consolidation_adjustment,revenue_check,ebit_check
2023-09,81383931.07,10476238.470000004,7820028.330000004,26447102.24,7544093.39,4887883.25,-54936828.83,-2932145.0800000047,-2932145.080000004,-3.725290298461914e-09,0.0
2023-10,47977398.13,6205175.03,4586568.41,30605907.93,6097219.75,4478613.13,-17371490.200000003,-107955.28000000026,-107955.28000000026,0.0,0.0
2023-11,49027440.5,6731010.5,4994528.19,31418460.86,6640385.58,4903903.2700000005,-17608979.64,-90624.91999999993,-90624.91999999993,0.0,0.0
2023-12,51834324.91,7394512.109999999,5499755.959999999,32969249.099999998,7262044.699999999,5367288.55,-18865075.81,-132467.41000000015,-132467.40999999922,0.0,0.0
2024-01,27396267.3,2930478.039999999,1693680.2499999988,26386001.26,3755844.12,2519046.33,-1010266.0399999991,825366.080000001,825366.0800000012,0.0,0.0
2024-02,38686883.05,4337816.319999999,3147172.9699999997,24423529.13,4256739.510000001,3066096.1600000006,-14263353.919999998,-81076.80999999866,-81076.80999999912,0.0,0.0
2024-03,47110968.04,6118891.140000001,4523037.08,29341195.68,5873562.06,4277708.0,-17769772.36,-245329.080000001,-245329.08000000007,0.0,0.0
2024-04,44035839.300000004,5477685.190000001,4046658.3400000012,28390650.26,5414316.16,3983289.31,-15645189.040000003,-63369.03000000119,-63369.03000000119,0.0,0.0
2024-05,44134952.08,5474511.659999999,4045595.139999999,27814020.02,5392974.21,3964057.6900000004,-16320932.059999999,-81537.44999999925,-81537.44999999879,0.0,0.0
2024-06,47678943.37,6430435.799999999,4773672.1099999985,30176698.37,6308720.909999999,4651957.22,-17502244.999999996,-121714.88999999966,-121714.88999999873,0.0,0.0
2024-07,39446629.449999996,5125356.969999998,3700301.989999998,28891306.02,5408480.06,3983425.08,-10555323.429999996,283123.0900000017,283123.0900000022,0.0,0.0
2024-08,31977530.99,3646359.3199999984,2454988.1899999985,24964385.47,4038788.47,2847417.3400000003,-7013145.52,392429.15000000177,392429.15000000177,0.0,0.0
2024-09,55767345.97,8024430.500000001,5981045.760000001,31248788.92,7373516.680000001,5330131.94,-24518557.049999997,-650913.8200000003,-650913.8200000003,0.0,0.0
2024-10,51222212.93,7475487.370000001,5590021.960000001,32319326.68,7306255.42,5420790.01,-18902886.25,-169231.95000000112,-169231.95000000112,0.0,0.0
2024-11,51612741.02,7614722.980000001,5702846.3500000015,32874141.89,7501283.609999999,5589406.9799999995,-18738599.130000003,-113439.37000000197,-113439.37000000197,0.0,0.0
2024-12,55223544.839999996,8276012.559999999,6221555.289999998,34513809.53,8088807.39,6034350.12,-20709735.309999995,-187205.169999999,-187205.16999999806,0.0,0.0
2025-01,29081178.93,3413422.369999999,2155425.079999999,26851132.56,4264944.6,3006947.3099999996,-2230046.370000001,851522.2300000004,851522.2300000004,0.0,0.0
2025-02,46652561.92,6751411.01,5053076.39,30351728.35,6614141.9799999995,4915807.36,-16300833.57,-137269.03000000026,-137269.02999999933,0.0,0.0
2025-03,51773204.43,7741367.800000002,5814796.6000000015,32515923.1,7485053.07,5558481.87,-19257281.33,-256314.73000000138,-256314.73000000138,0.0,0.0
2025-04,49334062.91,7798847.299999999,5859208.179999999,33187680.47,7780014.859999999,5840375.739999999,-16146382.439999998,-18832.43999999948,-18832.43999999948,0.0,0.0
2025-05,48991734.78,7479541.52,5626673.289999999,31898258.57,7415397.7,5562529.470000001,-17093476.21,-64143.81999999937,-64143.819999998435,0.0,0.0
2025-06,52928735.2,8154891.139999999,6140018.669999999,34097255.339999996,8015907.34,6001034.869999999,-18831479.860000007,-138983.79999999888,-138983.7999999998,0.0,0.0
2025-07,42550376.19,6195723.57,4609231.03,30824127.4,6475113.74,4888621.2,-11726248.79,279390.1699999999,279390.1699999999,0.0,0.0
2025-08,37220014.08,5418948.769999999,3911778.0899999985,29224922.7,5818864.63,4311693.95,-7995091.379999999,399915.86000000127,399915.86000000173,0.0,0.0
2025-09,61009290.79,9635209.900000004,7262673.940000003,34416737.56,8931242.95,6558706.989999999,-26592553.229999997,-703966.9500000048,-703966.9500000039,0.0,0.0
2025-10,54389747.94,8941743.92,6741223.49,35648134.21,8853223.48,6652703.05,-18741613.729999997,-88520.43999999948,-88520.44000000041,0.0,0.0
2025-11,56159806.02,9240121.03,6972357.17,35865903.06,9093536.57,6825772.71,-20293902.96,-146584.45999999903,-146584.45999999996,0.0,0.0
2025-12,59761284.59,10111084.67,7631600.51,38938157.14,9976597.09,7497112.93,-20823127.450000003,-134487.58000000007,-134487.58000000007,0.0,0.0
2026-01,32485383.490000002,4332985.09,2901892.61,29526889.73,5190136.07,3759043.5900000003,-2958493.7600000016,857150.9800000004,857150.9800000004,0.0,0.0
2026-02,50580217.72,7517380.210000003,5652618.280000003,32708257.92,7339545.34,5474783.409999999,-17871959.799999997,-177834.8700000029,-177834.87000000384,0.0,0.0
2026-03,57756996.35,7597846.519999997,5722958.399999997,34253544.87,7169336.529999999,5294448.409999999,-23503451.480000004,-428509.98999999743,-428509.98999999743,0.0,0.0
2026-04,54763403.14,6784551.539999999,5098724.549999999,34677391.81,6658327.84,4972500.85,-20086011.33,-126223.69999999925,-126223.69999999925,0.0,0.0
2026-05,52277993.75,6884335.289999999,5185849.96,33529948.88,6864718.12,5166232.79,-18748044.87,-19617.169999998994,-19617.169999999925,0.0,0.0
2026-06,53162654.28,8074212.94,6081138.05,36946904.17,8194623.880000001,6201548.99,-16215750.11,120410.94000000041,120410.94000000041,0.0,0.0
2026-07,46235654.29,6914246.459999999,5178166.739999998,33916204.36,7208953.180000001,5472873.460000001,-12319449.93,294706.7200000016,294706.72000000253,0.0,0.0
2026-08,40810420.9,5864521.889999999,4267883.249999999,31646903.11,6244772.109999999,4648133.47,-9163517.79,380250.22000000067,380250.22000000067,0.0,0.0
