month,entity,division,functional_currency,current_fx_to_eur,constant_currency_fx_to_eur,reported_revenue,constant_currency_revenue,revenue_fx_effect,reported_ebit,constant_currency_ebit,ebit_fx_effect
2026-08,CN01,Hardware,CNY,0.1280547928164919,0.1198442025367023,0.0,0.0,0.0,-657916.96,-615732.78,-42184.18
2026-08,CZ01,Hardware,CZK,0.041358529211923,0.0407886584221781,0.0,0.0,0.0,-554457.39,-546817.63,-7639.76
2026-08,DE01,Hardware,EUR,1.0,1.0,4773516.57,4773516.57,0.0,648111.75,648111.75,0.0
2026-08,DE01,Software,EUR,1.0,1.0,910941.37,910941.37,0.0,482346.78,482346.78,-0.0
2026-08,ES01,Events,EUR,1.0,1.0,2683425.27,2683425.27,0.0,584959.4,584959.4,-0.0
2026-08,ES01,Hardware,EUR,1.0,1.0,4431395.46,4431395.46,0.0,757385.37,757385.37,0.0
2026-08,ES01,Spare Parts,EUR,1.0,1.0,1825550.86,1825550.86,0.0,573276.92,573276.92,0.0
2026-08,JP01,Hardware,JPY,0.0054317743278825,0.0058210767328791,2846036.46,3050015.63,-203979.17,473098.05,507005.61,-33907.56
2026-08,JP01,Software,JPY,0.0054317743278825,0.0058210767328791,757262.89,811536.92,-54274.03,406723.46,435873.87,-29150.41
2026-08,JP01,Spare Parts,JPY,0.0054317743278825,0.0058210767328791,2564095.0,2747867.06,-183772.06,728576.17,780794.18,-52218.01
2026-08,US01,Events,USD,0.8625824074264236,0.8597396217145662,3706920.59,3694703.81,12216.78,830414.24,827677.47,2736.77
2026-08,US01,Hardware,USD,0.8625824074264236,0.8597396217145662,5283171.0,5265759.42,17411.58,600277.49,598299.17,1978.32
2026-08,US01,Software,USD,0.8625824074264236,0.8597396217145662,1144602.53,1140830.3,3772.23,574718.31,572824.23,1894.08
