month,events_contract_liabilities,software_contract_liabilities,contract_liabilities,customer_advances
2023-09,783212.39,870364.21,1653576.6,1653576.6
2023-10,2617071.79,887699.66,3504771.45,2804400.14
2023-11,4299570.67,890871.8,5190442.47,2851122.99
2023-12,5612650.1,907159.37,6519809.47,2829341.21
2024-01,7190197.08,907760.92,8097958.0,3243308.3
2024-02,7108739.89,913466.78,8022206.67,1841717.84
2024-03,6809558.93,924434.95,7733993.88,2859846.7
2024-04,6828236.32,934832.4,7763068.720000001,2507405.82
2024-05,6452864.21,946549.04,7399413.25,1911821.52
2024-06,5570844.25,982090.63,6552934.88,2530988.79
2024-07,6044891.33,997234.38,7042125.71,2729159.05
2024-08,5642919.41,965195.99,6608115.4,2399409.27
2024-09,5795685.65,987555.8,6783241.45,2804764.65
2024-10,6086551.9,995654.75,7082206.65,2691623.18
2024-11,6627009.02,1011150.3200000001,7638159.34,2802286.13
2024-12,6679322.19,1065027.24,7744349.430000001,2842960.42
2025-01,6754229.34,1059794.57,7814023.91,2288571.0
2025-02,6930315.33,1049111.0,7979426.33,2742428.01
2025-03,7035333.87,1062129.2,8097463.07,3182716.96
2025-04,6827974.07,1067153.14,7895127.21,3253143.25
2025-05,6904492.78,1086549.89,7991042.67,2699217.68
2025-06,7073938.88,1088001.76,8161940.64,2689079.33
2025-07,6868834.84,1096790.41,7965625.25,2319239.7399999998
2025-08,6408262.34,1120413.46,7528675.8,2658168.15
2025-09,6252386.19,1135993.38,7388379.57,3243882.13
2025-10,6282251.03,1162195.63,7444446.66,3070043.21
2025-11,6553339.25,1161754.85,7715094.1,2641961.36
2025-12,7327482.03,1193689.16,8521171.19,3941844.7
2026-01,7211463.24,1166801.28,8378264.5200000005,2897050.06
2026-02,6976539.75,1201019.58,8177559.33,3229177.72
2026-03,6383436.11,1234657.27,7618093.380000001,2977448.84
2026-04,6339015.63,1250222.15,7589237.779999999,2801953.58
2026-05,5936028.49,1300256.73,7236285.220000001,2797514.99
2026-06,6102264.45,1278692.64,7380957.09,3178004.21
2026-07,6204327.15,1301127.77,7505454.92,3430880.45
2026-08,6566319.4799999995,1316597.25,7882916.7299999995,3644563.24
