month,service_month,entity,division,customer,product,customer_segment,product_family,quality_tier,advance_amount,source_revenue,advance_share
2023-09,2023-10,DE01,Software,C001,SW-ANL-BI-E,Growth,Analytics,Essential,598.72,2357.16,0.254
2023-09,2023-10,DE01,Software,C001,SW-ANL-FIN-P,Growth,Analytics,Professional,1367.31,3240.08,0.42200000000000004
2023-09,2023-10,DE01,Software,C001,SW-ANL-FIN-X,Growth,Analytics,Premium,1354.2,2397.66,0.5648
2023-09,2023-10,DE01,Software,C001,SW-ANL-PRD-P,Growth,Analytics,Professional,729.67,1729.08,0.42200000000000004
2023-09,2023-10,DE01,Software,C001,SW-AUT-MON-E,Growth,Automation,Essential,741.99,3004.01,0.24699999999999997
2023-09,2023-10,DE01,Software,C001,SW-AUT-ORC-X,Growth,Automation,Premium,1289.46,2342.77,0.5503999999999999
2023-09,2023-10,DE01,Software,C001,SW-AUT-RPA-E,Growth,Automation,Essential,653.96,2647.6,0.24699999999999997
2023-09,2023-10,DE01,Software,C001,SW-AUT-RPA-P,Growth,Automation,Professional,697.54,1697.18,0.41100000000000003
2023-09,2023-10,DE01,Software,C001,SW-PLT-API-E,Growth,Platform,Essential,770.12,2730.92,0.28200000000000003
2023-09,2023-10,DE01,Software,C001,SW-PLT-API-P,Growth,Platform,Professional,1631.55,3501.18,0.46600000000000014
2023-09,2023-10,DE01,Software,C001,SW-PLT-API-X,Growth,Platform,Premium,1612.56,2590.87,0.6224
2023-09,2023-10,DE01,Software,C001,SW-PLT-CORE-E,Growth,Platform,Essential,633.06,2244.91,0.28200000000000003
2023-09,2023-10,DE01,Software,C001,SW-PLT-CORE-P,Growth,Platform,Professional,1341.19,2878.09,0.46600000000000014
2023-09,2023-10,DE01,Software,C001,SW-PLT-EDGE-P,Growth,Platform,Professional,1534.77,3293.49,0.46600000000000014
2023-09,2023-10,DE01,Software,C001,SW-PLT-WF-E,Growth,Platform,Essential,678.75,2406.92,0.28200000000000003
2023-09,2023-10,DE01,Software,C001,SW-SEC-CMP-X,Growth,Security,Premium,1858.8,3057.23,0.608
2023-09,2023-10,DE01,Software,C001,SW-SEC-IAM-E,Growth,Security,Essential,728.48,2649.0,0.275
2023-09,2023-10,DE01,Software,C001,SW-SEC-IAM-P,Growth,Security,Professional,772.63,1698.08,0.45500000000000007
2023-09,2023-10,DE01,Software,C001,SW-SEC-KMS-E,Growth,Security,Essential,833.61,3031.32,0.275
2023-09,2023-10,DE01,Software,C001,SW-SEC-PAM-E,Growth,Security,Essential,781.04,2840.16,0.275
2023-09,2023-10,DE01,Software,C002,SW-ANL-BI-E,Core,Analytics,Essential,1039.51,3535.75,0.294
2023-09,2023-10,DE01,Software,C002,SW-ANL-BI-P,Core,Analytics,Professional,1396.16,3022.0,0.462
2023-09,2023-10,DE01,Software,C002,SW-ANL-BI-X,Core,Analytics,Premium,1352.5,2236.27,0.6048
2023-09,2023-10,DE01,Software,C002,SW-ANL-OPS-P,Core,Analytics,Professional,1698.42,3676.24,0.462
2023-09,2023-10,DE01,Software,C002,SW-ANL-PRD-P,Core,Analytics,Professional,1597.67,3458.16,0.462
2023-09,2023-10,DE01,Software,C002,SW-AUT-ORC-E,Core,Automation,Essential,1063.07,3704.09,0.287
2023-09,2023-10,DE01,Software,C002,SW-AUT-ORC-P,Core,Automation,Professional,1427.82,3165.9,0.451
2023-09,2023-10,DE01,Software,C002,SW-AUT-RPA-E,Core,Automation,Essential,1139.79,3971.4,0.287
2023-09,2023-10,DE01,Software,C002,SW-AUT-RPA-P,Core,Automation,Professional,1530.86,3394.37,0.451
