customer,customer_name,entity,division,customer_size,segment,portfolio_breadth
C001,Meridian DE01,DE01,Software,0.6845,Growth,0.8448
C002,Orion DE01,DE01,Software,1.0253,Core,0.8682
C003,Atlas DE01,DE01,Software,0.6976,Growth,0.8514
C004,Nimbus DE01,DE01,Software,2.011,Strategic,1.1981
C005,Summit DE01,DE01,Software,1.0067,Core,0.9628
C006,Cobalt DE01,DE01,Software,1.0537,Core,0.9064
C007,Vertex DE01,DE01,Software,0.8993,Core,1.0693
C008,Redwood DE01,DE01,Hardware,0.9277,Core,0.9093
C009,Pioneer DE01,DE01,Hardware,1.4093,Strategic,0.8498
C010,Keystone DE01,DE01,Hardware,0.7306,Growth,0.7586
C011,Axiom DE01,DE01,Hardware,2.1,Strategic,1.0392
C012,Northstar DE01,DE01,Hardware,0.6703,Growth,1.1122
C013,Kestrel DE01,DE01,Hardware,1.3372,Core,0.8697
C014,Helix DE01,DE01,Hardware,0.9727,Core,0.8596
C015,Nova ES01,ES01,Hardware,1.4379,Strategic,0.7434
C016,Meridian ES01,ES01,Hardware,0.865,Core,0.9468
C017,Orion ES01,ES01,Hardware,1.4331,Strategic,1.0476
C018,Atlas ES01,ES01,Hardware,1.4341,Strategic,0.68
C019,Nimbus ES01,ES01,Hardware,1.2217,Core,0.9083
C020,Summit ES01,ES01,Hardware,1.7932,Strategic,1.2959
C021,Cobalt ES01,ES01,Hardware,1.0468,Core,0.8614
C022,Vector ES01,ES01,Events,2.1,Strategic,1.08
C023,Redwood ES01,ES01,Events,0.7973,Growth,1.1892
C024,Pioneer ES01,ES01,Events,1.7206,Strategic,1.2169
C025,Keystone ES01,ES01,Events,1.1256,Core,0.8942
C026,Axiom ES01,ES01,Events,0.8768,Core,0.8491
C027,Cobalt ES01,ES01,Spare Parts,0.9204,Core,0.9435
C028,Vertex ES01,ES01,Spare Parts,0.8075,Growth,1.2777
C029,Nova ES01,ES01,Spare Parts,0.9527,Core,0.7576
C030,Meridian ES01,ES01,Spare Parts,0.6817,Growth,0.8253
C031,Orion ES01,ES01,Spare Parts,0.5736,Growth,0.9616
C032,Atlas ES01,ES01,Spare Parts,1.021,Core,1.1535
C033,Nimbus ES01,ES01,Spare Parts,0.7532,Growth,0.783
C034,Kestrel US01,US01,Software,0.6358,Growth,1.1974
C035,Helix US01,US01,Software,0.9336,Core,1.1068
C036,Vector US01,US01,Software,0.7015,Growth,1.1319
C037,Redwood US01,US01,Software,0.8781,Core,1.35
C038,Pioneer US01,US01,Software,1.7518,Strategic,1.1022
C039,Keystone US01,US01,Software,1.6493,Strategic,0.8874
C040,Axiom US01,US01,Software,0.55,Growth,1.1519
C041,Summit US01,US01,Hardware,0.6354,Growth,1.1444
C042,Cobalt US01,US01,Hardware,0.5637,Growth,0.8236
C043,Vertex US01,US01,Hardware,1.282,Core,0.72
C044,Nova US01,US01,Hardware,1.1138,Core,0.9169
C045,Meridian US01,US01,Hardware,2.0303,Strategic,0.812
C046,Orion US01,US01,Hardware,1.1935,Core,1.2938
C047,Atlas US01,US01,Hardware,1.1558,Core,1.2097
C048,Northstar US01,US01,Events,0.7967,Growth,0.739
C049,Kestrel US01,US01,Events,1.4343,Strategic,0.852
C050,Helix US01,US01,Events,0.55,Growth,0.7978
C051,Vector US01,US01,Events,0.7426,Growth,1.165
C052,Redwood US01,US01,Events,0.7334,Growth,0.7781
C053,Atlas JP01,JP01,Software,0.8541,Core,1.0528
C054,Nimbus JP01,JP01,Software,1.075,Core,1.0095
C055,Summit JP01,JP01,Software,1.395,Strategic,1.0922
C056,Cobalt JP01,JP01,Software,1.3162,Core,1.0064
C057,Vertex JP01,JP01,Software,1.2118,Core,0.9447
C058,Nova JP01,JP01,Software,1.2363,Core,1.1084
C059,Meridian JP01,JP01,Software,0.55,Growth,1.1256
C060,Keystone JP01,JP01,Hardware,0.802,Growth,1.1204
C061,Axiom JP01,JP01,Hardware,1.2952,Core,1.1099
C062,Northstar JP01,JP01,Hardware,0.821,Growth,1.0657
C063,Kestrel JP01,JP01,Hardware,0.8321,Growth,0.9543
C064,Helix JP01,JP01,Hardware,0.6686,Growth,0.68
C065,Vector JP01,JP01,Hardware,0.55,Growth,1.0194
C066,Redwood JP01,JP01,Hardware,0.8253,Growth,0.9966
C067,Orion JP01,JP01,Spare Parts,0.8872,Core,0.8779
C068,Atlas JP01,JP01,Spare Parts,1.2314,Core,0.8263
C069,Nimbus JP01,JP01,Spare Parts,0.6832,Growth,1.1369
C070,Summit JP01,JP01,Spare Parts,1.2619,Core,0.9217
C071,Cobalt JP01,JP01,Spare Parts,0.8175,Growth,0.9183
C072,Vertex JP01,JP01,Spare Parts,1.5154,Strategic,0.8922
C073,Nova JP01,JP01,Spare Parts,0.9791,Core,1.1367
