month,entity,gross_debt,interest_expense,implied_annual_interest_rate,contractual_maturity
2023-09,CN01,13825000.0,36166.67,0.03139240795660036,2032-06
2023-09,CZ01,13825000.0,36166.67,0.03139240795660036,2031-12
2023-09,DE01,7900000.0,20666.67,0.031392410126582275,2029-12
2023-09,ES01,1975000.0,5166.67,0.0313924253164557,2028-06
2023-09,JP01,1975000.0,5166.67,0.0313924253164557,2028-12
2023-09,US01,1975000.0,5166.67,0.0313924253164557,2029-06
2023-10,CN01,13825000.0,35884.07,0.031147113200723324,2032-06
2023-10,CZ01,13825000.0,35884.07,0.031147113200723324,2031-12
2023-10,DE01,7900000.0,20505.18,0.031147108860759495,2029-12
2023-10,ES01,1975000.0,5126.3,0.03114713924050633,2028-06
2023-10,JP01,1975000.0,5126.3,0.03114713924050633,2028-12
2023-10,US01,1975000.0,5126.3,0.03114713924050633,2029-06
2023-11,CN01,13825000.0,36043.54,0.031285532007233274,2032-06
2023-11,CZ01,13825000.0,36043.54,0.031285532007233274,2031-12
2023-11,DE01,7900000.0,20596.31,0.03128553417721519,2029-12
2023-11,ES01,1975000.0,5149.08,0.031285549367088605,2028-06
2023-11,JP01,1975000.0,5149.08,0.031285549367088605,2028-12
2023-11,US01,1975000.0,5149.08,0.031285549367088605,2029-06
2023-12,CN01,13652187.5,36183.15,0.03180426579989471,2032-06
2023-12,CZ01,13652187.5,36183.15,0.03180426579989471,2031-12
2023-12,DE01,7801250.0,20676.09,0.031804272392244835,2029-12
2023-12,ES01,1950312.5,5169.02,0.03180425701009454,2028-06
2023-12,JP01,1950312.5,5169.02,0.03180425701009454,2028-12
2023-12,US01,1950312.5,5169.02,0.03180425701009454,2029-06
2024-01,CN01,13652187.5,35839.84,0.031502503170279486,2032-06
2024-01,CZ01,13652187.5,35839.84,0.031502503170279486,2031-12
2024-01,DE01,7801250.0,20479.91,0.03150250536772953,2029-12
2024-01,ES01,1950312.5,5119.98,0.031502520749879824,2028-06
2024-01,JP01,1950312.5,5119.98,0.031502520749879824,2028-12
2024-01,US01,1950312.5,5119.98,0.031502520749879824,2029-06
2024-02,CN01,13652187.5,35911.21,0.031565235974088404,2032-06
