entity,division,product,revenue,variable_production_cost,variable_selling_cost,fixed_production_cost,marginal_contribution,gross_profit,opex,quantity,mc_pct,gross_margin_pct,operating_contribution,name,product_family,product_subfamily,product_type,quality_tier,quality_score,generation,strategic_role
DE01,Hardware,HW-CTL-MCU-E,1139496.86,795649.52,67686.16,59538.66,276161.23,216622.5,133178.8949978626,60.0,0.2423536559811143,0.19010363925004584,83443.6050021374,Aureon Compact Controller Essential,Control Systems,Controllers,Compact Controller,Essential,1,G1 Legacy,Harvest
DE01,Hardware,HW-CTL-MCU-P,753267.6,420842.5,41429.75,41429.75,290995.4,249565.66999999998,86225.51752441513,31.0,0.3863107878262652,0.3313107718956716,163340.15247558485,Aureon Compact Controller Professional,Control Systems,Controllers,Compact Controller,Professional,2,G2,Core
DE01,Hardware,HW-CTL-MCU-X,1224951.02,838853.99,61982.55,74109.59,324114.57,250005.05,141045.1009886168,34.0,0.2645939018851546,0.20409391552651632,108959.9490113832,Aureon Compact Controller Premium,Control Systems,Controllers,Compact Controller,Premium,3,G2,Premium
DE01,Hardware,HW-CTL-RCK-E,1893076.31,925777.93,112448.74,98913.18,854849.61,755936.38,219965.93855733814,93.0,0.45156637663486476,0.39931638043687734,535970.4414426619,Aureon Rack Controller Essential,Control Systems,Controllers,Rack Controller,Essential,1,G2,Volume
DE01,Hardware,HW-CTL-RCK-P,1591963.34,925824.6,87558.0,87558.0,578580.87,491022.85,185735.1054877821,61.0,0.36343856385537116,0.30843854105333857,305287.7445122179,Aureon Rack Controller Professional,Control Systems,Controllers,Rack Controller,Professional,2,G2,Core
DE01,Hardware,HW-CTL-RCK-X,347078.4,245023.79,17562.17,20998.24,84492.43,63494.22,38334.35502995762,9.0,0.24343903279489587,0.1829391284505172,25159.864970042378,Aureon Rack Controller Premium,Control Systems,Controllers,Rack Controller,Premium,3,G2,Premium
DE01,Hardware,HW-CTL-RDN-E,1455350.95,735858.99,86447.86,76042.04,633044.11,557001.99,169142.80318618822,67.0,0.4349769449080306,0.38272692232756644,387859.1868138118,Aureon Redundant Controller Essential,Control Systems,Resilient Control,Redundant Controller,Essential,1,G2,Volume
DE01,Hardware,HW-CTL-RDN-P,1671743.52,1006787.12,91945.94,91945.94,573010.51,481064.64,195385.33463263008,60.0,0.3427622139070711,0.28776222802406914,285679.3053673699,Aureon Redundant Controller Professional,Control Systems,Resilient Control,Redundant Controller,Professional,2,G2,Core
DE01,Hardware,HW-CTL-RDN-X,1236039.98,906854.41,62543.63,74780.44,266642.01,191861.53,143237.69135908296,30.0,0.21572280372354946,0.15522275420249756,48623.838640917034,Aureon Redundant Controller Premium,Control Systems,Resilient Control,Redundant Controller,Premium,3,G2,Premium
DE01,Hardware,HW-CTL-SAF-E,2263427.78,1183931.76,134447.63,118264.05,945048.48,826784.4400000001,262485.27715955954,98.0,0.4175297698254813,0.36527979699886876,564299.1628404405,Aureon Safety Controller Essential,Control Systems,Resilient Control,Safety Controller,Essential,1,G2,Volume
DE01,Hardware,HW-CTL-SAF-P,355433.76,221294.25,19548.85,19548.85,114590.65,95041.78,41541.38507326004,12.0,0.3223966400940642,0.2673966029563427,53500.39492673996,Aureon Safety Controller Professional,Control Systems,Resilient Control,Safety Controller,Professional,2,G2,Core
DE01,Hardware,HW-EDG-AI-E,1714458.34,895335.4,101838.81,89580.49,717284.13,627703.72,199452.9953362289,63.0,0.4183736129744628,0.3661236352934653,428250.7246637711,Aureon AI Edge Appliance Essential,Edge Appliances,Compute,AI Edge Appliance,Essential,1,G2,Volume
