month,entity,product_family,opening_backlog,bookings,recognized_revenue,ending_backlog,book_to_bill,backlog_coverage_months,project_units,rollforward_gap
2023-09,ES01,Customer Experience,0.0,156334.46,156334.46,0.0,1.0,0.0,1.0,0.0
2023-10,ES01,Customer Experience,0.0,463151.75400928175,443550.38,19601.374009281746,1.0441919901168426,0.06535045629518407,2.0,0.0
2023-11,ES01,Customer Experience,19601.374009281746,1145791.8744306474,1053647.06,111746.18843992893,1.087453206988161,0.202740911935105,5.0,0.0
2023-12,ES01,Customer Experience,111746.18843992893,767377.650213713,688613.33,190510.5086536419,1.1143810565120966,0.2614734696182899,4.0,0.0
2024-01,ES01,Customer Experience,190510.5086536419,1162440.2095555083,1037552.3099999999,315398.4082091503,1.1203678102316676,0.3403809273291869,4.0,0.0
2024-02,ES01,Customer Experience,315398.4082091503,493537.96046775725,446887.77,362048.5986769076,1.1043890515682657,0.4998247125599746,2.0,0.0
2024-03,ES01,Customer Experience,362048.5986769076,413626.78801096533,386863.94,388811.4466878729,1.0691789677036463,0.6233270102543886,2.0,0.0
2024-04,ES01,Customer Experience,388811.4466878729,367959.2879363606,360474.93,396295.80462423357,1.0207624922386713,0.995529134966124,2.0,0.0
2024-05,ES01,Customer Experience,396295.80462423357,184639.44901453372,190856.73,390078.5236387673,0.9674243555075773,1.2473257931675463,1.0,0.0
2024-06,ES01,Customer Experience,390078.5236387673,514158.15197036316,559907.37,344329.3056091304,0.9182914523349874,0.929582105145633,3.0,0.0
2024-07,ES01,Customer Experience,344329.3056091304,432848.049555573,490884.82,286292.53516470344,0.8817711037704791,0.6917233943183475,2.0,0.0
2024-10,ES01,Customer Experience,286292.53516470344,468257.08295351564,541893.69,212655.92811821913,0.8641124478742606,0.40056095955007615,3.0,0.0
2024-11,ES01,Customer Experience,212655.92811821913,514598.4974237217,592625.24,134629.18554194085,0.8683371255394416,0.24848444986411689,3.0,0.0
2024-12,ES01,Customer Experience,134629.18554194085,346897.9998481225,388149.68,93377.50539006334,0.8937222358346978,0.1839747101440477,2.0,0.0
2025-01,ES01,Customer Experience,93377.50539006334,650282.2465850016,694802.38,48857.37197506486,0.9359240343779501,0.08747559180062572,3.0,0.0
2025-02,ES01,Customer Experience,48857.37197506486,1883499.706271956,1906914.31,25442.768247020897,0.987721208234027,0.025529002067427743,9.0,0.0
2025-03,ES01,Customer Experience,25442.768247020897,338914.10532510624,325800.46,38556.413572127116,1.0402505426944646,0.03951103778038716,2.0,0.0
2025-04,ES01,Customer Experience,38556.413572127116,640395.3164554305,590485.4,88466.33002755756,1.0845235402186582,0.09400643741200707,3.0,0.0
2025-05,ES01,Customer Experience,88466.33002755756,824147.3905516244,740497.48,172116.24057918193,1.1129644770048703,0.31165735994034427,4.0,0.0
2025-06,ES01,Customer Experience,172116.24057918193,234614.40315802212,209345.05,197385.59373720404,1.1207067143838467,0.3844355280966775,1.0,0.0
2025-07,ES01,Customer Experience,197385.59373720404,385639.9097834555,348545.77,234479.7335206595,1.1064254481798916,0.5417787579894077,2.0,0.0
2025-08,ES01,Customer Experience,234479.7335206595,198882.50645478567,185427.1,247935.1399754452,1.0725644010761408,1.0006558430964985,1.0,0.0
2025-09,ES01,Customer Experience,247935.1399754452,369329.6555372749,360350.56,256914.23551272013,1.0249176677768308,0.8618165203814021,2.0,0.0
2025-10,ES01,Customer Experience,256914.23551272013,830713.3668494961,854961.56,232666.04236221616,0.9716382650577835,0.4983069775733476,4.0,0.0
2025-11,ES01,Customer Experience,232666.04236221616,650609.3265361456,705770.18,177505.18889836175,0.9218430375397068,0.2771956030697306,3.0,0.0
2025-12,ES01,Customer Experience,177505.18889836175,1088366.6369017102,1231110.67,34761.15580007201,0.8840526391520189,0.03735292043228759,5.0,0.0
2026-01,ES01,Customer Experience,34761.15580007201,518334.9341999281,553096.0900000001,0.0,0.9371516876930517,0.0,3.0,0.0
2026-02,ES01,Customer Experience,0.0,1584577.72,1584577.72,0.0,1.0,0.0,7.0,0.0
2026-03,ES01,Customer Experience,0.0,589397.45,589397.45,0.0,1.0,0.0,3.0,0.0
2026-04,ES01,Customer Experience,0.0,546460.2,546460.2,0.0,1.0,0.0,2.0,0.0
2026-05,ES01,Customer Experience,0.0,179291.78,179291.78,0.0,1.0,0.0,1.0,0.0
2026-06,ES01,Customer Experience,0.0,1024682.8807689034,988831.8300000001,35851.05076890334,1.0362559635331554,0.06272843105097908,4.0,0.0
2026-07,ES01,Customer Experience,35851.05076890334,194339.16816646673,179695.43,50494.788935370074,1.0814919898990571,0.11239221461518321,1.0,0.0
2026-08,ES01,Customer Experience,50494.788935370074,1170563.9191968588,1053219.76,167838.9481322288,1.1114146958246005,0.22663104298737236,4.0,0.0
2023-09,ES01,Deployment & Integration,0.0,312967.14745184174,272400.96,40566.18745184172,1.1489208681637602,0.14892086816376018,2.0,0.0
2023-10,ES01,Deployment & Integration,40566.18745184172,885436.243310538,796047.28,129955.15076237964,1.1122910228529868,0.24325960939835445,5.0,0.0
2023-11,ES01,Deployment & Integration,129955.15076237964,1285456.0690998225,1210499.21,204912.00986220222,1.061922270151521,0.2697455922411053,7.0,0.0
2023-12,ES01,Deployment & Integration,204912.00986220222,799598.0731767068,794486.8200000001,210023.26303890895,1.0064334021006247,0.22494191228190957,5.0,0.0
2024-01,ES01,Deployment & Integration,210023.26303890895,289467.25112985825,303005.75,196484.7641687672,0.9553193334775273,0.255397050203663,2.0,0.0
2024-03,ES01,Deployment & Integration,196484.7641687672,668082.2144152637,728292.8099999999,136274.16858403094,0.9173263902128374,0.2239159707545105,5.0,0.0
2024-04,ES01,Deployment & Integration,136274.16858403094,694889.5674119935,772996.46,58167.27599602449,0.8989556917401582,0.09671468692967598,5.0,0.0
2024-05,ES01,Deployment & Integration,58167.27599602449,117160.81228865506,129695.82,45632.268284679536,0.9033507193111933,0.08393504373117146,1.0,0.0
2024-06,ES01,Deployment & Integration,45632.268284679536,988122.7417153205,1033755.01,0.0,0.9558577536812329,0.0,7.0,0.0
2024-07,ES01,Deployment & Integration,0.0,694739.38,694739.38,0.0,1.0,0.0,4.0,0.0
2024-08,ES01,Deployment & Integration,0.0,608301.7365639443,591993.11,16308.626563944272,1.0275486763079797,0.021084310814789054,3.0,0.0
2024-09,ES01,Deployment & Integration,16308.626563944272,1617573.4776405774,1494713.79,139168.31420452148,1.082196129093435,0.15010354347507454,9.0,0.0
2024-10,ES01,Deployment & Integration,139168.31420452148,352214.12622430874,312176.18,179206.26042883022,1.128254328130701,0.2241121235831513,2.0,0.0
