month,factory,factory_name,produced_units,capacity_units,utilization,capacity_increase_pct,actual_fixed_factory_cost,absorbed_fixed_cost,absorption_variance,under_absorption,over_absorption,fixed_cost_absorption_pct
2023-09,CZ01,Brno Smart Manufacturing,8413.0,14500.0,0.5802,0.0,620000.0,2132578.18,-1512578.18,0.0,1512578.18,3.4396
2023-09,CN01,Suzhou Manufacturing Hub,9392.0,21000.0,0.4472,0.0,760000.0,1875845.04,-1115845.04,0.0,1115845.04,2.4682
2023-10,CZ01,Brno Smart Manufacturing,2497.09,14500.0,0.1722,0.0,620000.0,701356.06,-81356.06,0.0,81356.06,1.1312
2023-10,CN01,Suzhou Manufacturing Hub,2809.62,21000.0,0.1338,0.0,760000.0,568857.49,191142.51,191142.51,0.0,0.7485
2023-11,CZ01,Brno Smart Manufacturing,2614.62,14500.0,0.1803,0.0,620000.0,736674.42,-116674.42,0.0,116674.42,1.1882
2023-11,CN01,Suzhou Manufacturing Hub,3003.65,21000.0,0.143,0.0,760000.0,639219.77,120780.23,120780.23,0.0,0.8411
2023-12,CZ01,Brno Smart Manufacturing,2718.23,14500.0,0.1875,0.0,620000.0,803927.88,-183927.88,0.0,183927.88,1.2967
2023-12,CN01,Suzhou Manufacturing Hub,3261.04,21000.0,0.1553,0.0,760000.0,654337.59,105662.41,105662.41,0.0,0.861
2024-01,CZ01,Brno Smart Manufacturing,39.02,14500.0,0.0027,0.0,620000.0,37897.95,582102.05,582102.05,0.0,0.0611
2024-01,CN01,Suzhou Manufacturing Hub,34.73,21000.0,0.0017,0.0,760000.0,38310.43,721689.57,721689.57,0.0,0.0504
2024-02,CZ01,Brno Smart Manufacturing,2135.32,14500.0,0.1473,0.0,620000.0,612404.19,7595.81,7595.81,0.0,0.9877
2024-02,CN01,Suzhou Manufacturing Hub,2611.37,21000.0,0.1244,0.0,760000.0,469675.35,290324.65,290324.65,0.0,0.618
2024-03,CZ01,Brno Smart Manufacturing,2454.92,14500.0,0.1693,0.0,620000.0,697427.07,-77427.07,0.0,77427.07,1.1249
2024-03,CN01,Suzhou Manufacturing Hub,2960.16,21000.0,0.141,0.0,760000.0,631220.6,128779.4,128779.4,0.0,0.8306
2024-04,CZ01,Brno Smart Manufacturing,2219.08,14500.0,0.153,0.0,620000.0,655351.18,-35351.18,0.0,35351.18,1.057
2024-04,CN01,Suzhou Manufacturing Hub,2555.04,21000.0,0.1217,0.0,760000.0,566426.97,193573.03,193573.03,0.0,0.7453
2024-05,CZ01,Brno Smart Manufacturing,2376.5,14500.0,0.1639,0.0,620000.0,722180.77,-102180.77,0.0,102180.77,1.1648
2024-05,CN01,Suzhou Manufacturing Hub,2750.28,21000.0,0.131,0.0,760000.0,586230.55,173769.45,173769.45,0.0,0.7714
2024-06,CZ01,Brno Smart Manufacturing,2422.74,14500.0,0.1671,0.0,620000.0,696191.57,-76191.57,0.0,76191.57,1.1229
2024-06,CN01,Suzhou Manufacturing Hub,2812.22,21000.0,0.1339,0.0,760000.0,611315.13,148684.87,148684.87,0.0,0.8044
2024-07,CZ01,Brno Smart Manufacturing,1443.87,14500.0,0.0996,0.0,620000.0,425823.2,194176.8,194176.8,0.0,0.6868
2024-07,CN01,Suzhou Manufacturing Hub,1638.56,21000.0,0.078,0.0,760000.0,360290.09,399709.91,399709.91,0.0,0.4741
2024-08,CZ01,Brno Smart Manufacturing,1139.73,14500.0,0.0786,0.0,620000.0,365111.13,254888.87,254888.87,0.0,0.5889
2024-08,CN01,Suzhou Manufacturing Hub,1211.9,21000.0,0.0577,0.0,760000.0,249581.14,510418.86,510418.86,0.0,0.3284
2024-09,CZ01,Brno Smart Manufacturing,3436.29,14500.0,0.237,0.0,620000.0,958555.86,-338555.86,0.0,338555.86,1.5461
