shock,driver,shock_display,entity,division,base_revenue,base_gross_profit,base_opex,revenue_impact,gross_profit_impact,opex_benefit,ebit_impact,interest_expense_impact,net_income_impact,ending_cash_impact,net_debt_impact,methodology
Price +1%,price,+1.0%,DE01,Hardware,70900879.98,21618694.6,8875403.63,709008.8,709008.8,0.0,709008.8,0.0,538846.69,441854.28,-441854.28,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,DE01,Software,12682512.98,9284449.44,2394111.61,126825.13,126825.13,0.0,126825.13,0.0,96387.1,84820.65,-84820.65,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,ES01,Events,39495582.03,15740965.42,6075387.0,394955.82,394955.82,0.0,394955.82,0.0,300166.42,270149.78,-270149.78,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,ES01,Hardware,65639207.43,19605619.36,6286665.1,656392.07,656392.07,0.0,656392.07,0.0,498857.98,409063.54,-409063.54,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,ES01,Spare Parts,27145826.08,11879965.31,2785776.63,271458.26,271458.26,0.0,271458.26,0.0,206308.28,173298.95,-173298.95,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,JP01,Hardware,45476721.26,15105942.24,5478903.6,454767.21,454767.21,0.0,454767.21,0.0,345623.08,283410.93,-283410.93,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,JP01,Software,10855712.31,7943121.51,1962091.69,108557.12,108557.12,0.0,108557.12,0.0,82503.41,72603.0,-72603.0,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,JP01,Spare Parts,38202288.57,16778355.84,4949694.98,382022.89,382022.89,0.0,382022.89,0.0,290337.39,243883.41,-243883.41,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,US01,Events,31032349.0,12630230.1,7935654.38,310323.49,310323.49,0.0,310323.49,0.0,235845.85,212261.27,-212261.27,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,US01,Hardware,78677838.12,23975937.15,11925533.61,786778.38,786778.38,0.0,786778.38,0.0,597951.57,490320.29,-490320.29,Revenue shock with unchanged unit costs.
Price +1%,price,+1.0%,US01,Software,15962926.44,11708288.71,3620542.78,159629.26,159629.26,0.0,159629.26,0.0,121318.24,106760.05,-106760.05,Revenue shock with unchanged unit costs.
