vintage,month,horizon_month,entity,division,scenario,revenue_forecast,gross_profit_forecast,marginal_contribution_forecast,opex_forecast,bias_correction,active_action_count,action_opex_reduction_pct,action_revenue_impact_forecast,action_gross_profit_impact_forecast,action_opex_impact_forecast,action_ebit_impact_forecast,personnel_cost_forecast,non_people_opex_forecast,workforce_fte_forecast,workforce_hires_forecast,workforce_attrition_forecast,workforce_target_fte
2026-08,2026-09,1,DE01,Hardware,Base,5836246.13,1744273.37,2062682.06,673041.79,1.05396,12,0.008042,9857.43,25214.09,1408.05,26622.14,499362.47,173679.32,43.6747,3.0637,0.3757,46.1814
2026-08,2026-09,1,DE01,Hardware,Upside,5853001.4,1819136.23,2117502.47,674497.63,1.05396,12,0.008042,9885.73,25024.32,1412.1,26436.42,500319.69,174177.94,43.7476,3.1366,0.3757,46.314
2026-08,2026-09,1,DE01,Hardware,Downside,5808797.67,1632078.38,1980187.01,670656.85,1.05396,12,0.008042,9811.07,25485.78,1401.43,26887.21,497794.36,172862.49,43.5553,2.9443,0.3757,45.9642
2026-08,2026-09,1,DE01,Software,Base,1035994.04,757293.2,803714.7,182643.32,1.06211,8,0.004394,1233.34,1505.63,250.37,1756.0,125914.02,56729.3,10.6542,0.8431,0.0908,11.344
2026-08,2026-09,1,DE01,Software,Upside,1038968.28,771907.94,814730.52,183044.73,1.06211,8,0.004394,1236.89,1497.8,251.09,1748.89,126152.57,56892.16,10.6721,0.861,0.0908,11.3766
2026-08,2026-09,1,DE01,Software,Downside,1031121.66,735211.58,786970.75,181985.72,1.06211,8,0.004394,1227.54,1516.64,249.19,1765.83,125523.23,56462.49,10.6249,0.8137,0.0908,11.2907
2026-08,2026-09,1,ES01,Events,Base,3877586.26,1520678.53,1732309.77,556759.04,1.13636,9,0.004394,4616.24,11646.76,766.72,12413.48,383034.36,173724.68,50.3751,5.8585,0.4118,55.1684
2026-08,2026-09,1,ES01,Events,Upside,3888718.42,1571514.69,1769812.37,558221.06,1.13636,9,0.004394,4629.5,11541.58,768.92,12310.5,383997.64,174223.42,50.4622,5.9456,0.4118,55.3268
2026-08,2026-09,1,ES01,Events,Downside,3859349.58,1444347.39,1675737.08,554363.96,1.13636,9,0.004394,4594.53,11798.34,763.11,12561.45,381456.33,172907.63,50.2324,5.7158,0.4118,54.909
2026-08,2026-09,1,ES01,Hardware,Base,5442090.19,1592976.41,1890010.41,488699.17,1.06388,12,0.008042,9191.7,23636.94,1312.96,24949.9,326749.43,161949.74,41.1101,3.0759,0.3519,43.6267
2026-08,2026-09,1,ES01,Hardware,Upside,5457713.88,1662687.18,1941032.69,489943.9,1.06388,12,0.008042,9218.09,23460.35,1316.73,24777.08,327529.22,162414.68,41.179,3.1447,0.3519,43.752
2026-08,2026-09,1,ES01,Hardware,Downside,5416495.48,1488516.15,1813243.67,486660.04,1.06388,12,0.008042,9148.47,23889.69,1306.78,25196.47,325471.96,161188.07,40.9972,2.963,0.3519,43.4215
2026-08,2026-09,1,ES01,Spare Parts,Base,2266084.69,987663.15,1066179.87,217644.52,1.01939,8,0.004394,2697.76,3946.74,298.72,4245.46,149960.65,67683.87,20.6042,1.0728,0.1807,21.4819
2026-08,2026-09,1,ES01,Spare Parts,Upside,2272590.39,1017710.66,1088289.19,218212.63,1.01939,8,0.004394,2705.51,3931.49,299.57,4231.06,150334.45,67878.18,20.6381,1.1067,0.1807,21.5436
2026-08,2026-09,1,ES01,Spare Parts,Downside,2255427.07,942508.29,1032808.67,216713.84,1.01939,8,0.004394,2685.07,3967.76,297.31,4265.07,149348.29,67365.54,20.5486,1.0172,0.1807,21.3809
2026-08,2026-09,1,JP01,Hardware,Base,3462393.65,1133088.89,1317308.01,389823.56,0.98578,13,0.008042,5847.99,14589.58,835.34,15424.92,286787.1,103036.46,27.1291,0.8819,0.2428,27.8507
2026-08,2026-09,1,JP01,Hardware,Upside,3472333.84,1177783.97,1350099.34,390678.97,0.98578,13,0.008042,5864.78,14475.94,837.74,15313.68,287346.7,103332.27,27.1731,0.9258,0.2428,27.9306
2026-08,2026-09,1,JP01,Hardware,Downside,3446109.67,1066066.18,1267927.0,388422.22,0.98578,13,0.008042,5820.48,14752.49,831.41,15583.9,285870.35,102551.87,27.0571,0.8098,0.2428,27.7197
2026-08,2026-09,1,JP01,Software,Base,877086.03,640915.88,680339.74,147819.6,1.07769,9,0.004394,1044.17,1274.9,211.97,1486.87,99791.82,48027.77,8.9589,0.7816,0.0757,9.5984
2026-08,2026-09,1,JP01,Software,Upside,879604.06,653288.28,689665.6,148153.86,1.07769,9,0.004394,1047.16,1268.27,212.57,1480.84,99988.2,48165.65,8.974,0.7968,0.0757,9.6259
2026-08,2026-09,1,JP01,Software,Downside,872961.01,622222.32,666164.54,147272.01,1.07769,9,0.004394,1039.25,1284.22,210.97,1495.19,99470.12,47801.89,8.934,0.7568,0.0757,9.5532
2026-08,2026-09,1,JP01,Spare Parts,Base,3135138.94,1367690.84,1476701.52,376458.29,1.01685,9,0.004394,3732.36,5459.12,413.27,5872.39,282817.36,93640.94,28.495,1.4475,0.2502,29.6793
2026-08,2026-09,1,JP01,Spare Parts,Upside,3144139.61,1409265.32,1507294.57,377307.04,1.01685,9,0.004394,3743.08,5438.01,414.46,5852.47,283397.27,93909.77,28.5419,1.4943,0.2502,29.7645
2026-08,2026-09,1,JP01,Spare Parts,Downside,3120394.07,1305212.98,1430524.62,375067.88,1.01685,9,0.004394,3714.81,5488.2,411.33,5899.53,281867.35,93200.53,28.4182,1.3707,0.2502,29.5397
2026-08,2026-09,1,US01,Events,Base,2773558.08,1134333.19,1285465.86,602517.78,1.13636,10,0.007049,3301.9,8191.61,879.79,9071.4,478587.45,123930.32,34.9735,4.0997,0.2856,38.3278
2026-08,2026-09,1,US01,Events,Upside,2781520.69,1170829.11,1312423.85,603737.29,1.13636,10,0.007049,3311.38,8115.98,882.31,8998.29,479451.17,124286.12,35.034,4.1602,0.2856,38.4378
