vintage,month,horizon_month,entity,division,actual_revenue,revenue_forecast,error,abs_pct_error,bias_pct
2024-02,2024-03,1,DE01,Hardware,4700386.7,4603630.78,-96755.91999999993,0.020584672320683728,-0.020584672320683728
2024-02,2024-03,1,DE01,Software,652706.84,620234.68,-32472.159999999916,0.04974999189528934,-0.04974999189528934
2024-02,2024-03,1,ES01,Events,2949319.55,2637845.61,-311473.93999999994,0.10560874626148935,-0.10560874626148935
2024-02,2024-03,1,ES01,Hardware,4260610.45,4225682.35,-34928.10000000056,0.00819790976196863,-0.00819790976196863
2024-02,2024-03,1,ES01,Spare Parts,1799538.48,1767114.13,-32424.350000000093,0.018018147630830376,-0.018018147630830376
2024-02,2024-03,1,JP01,Hardware,2883752.68,2787360.36,-96392.3200000003,0.033426001011987026,-0.033426001011987026
2024-02,2024-03,1,JP01,Software,551253.9,512353.01,-38900.890000000014,0.07056800867984792,-0.07056800867984792
2024-02,2024-03,1,JP01,Spare Parts,2513563.58,2454261.82,-59301.76000000024,0.023592703392050357,-0.023592703392050357
2024-02,2024-03,1,US01,Events,2918724.6,1893790.04,-1024934.56,0.35115836554089414,-0.35115836554089414
2024-02,2024-03,1,US01,Hardware,5288639.29,5250560.46,-38078.830000000075,0.007200118577192674,-0.007200118577192674
2024-02,2024-03,1,US01,Software,822699.61,775948.69,-46750.92000000004,0.056826233331993485,-0.056826233331993485
2024-02,2024-04,2,DE01,Hardware,4672484.31,4710116.98,37632.67000000086,0.00805410302169658,0.00805410302169658
2024-02,2024-04,2,DE01,Software,626176.52,638051.52,11875.0,0.018964300992953233,0.018964300992953233
2024-02,2024-04,2,ES01,Events,2336125.27,2696678.72,360553.4500000002,0.15433823461016719,0.15433823461016719
2024-02,2024-04,2,ES01,Hardware,4223652.46,4323426.26,99773.79999999981,0.023622634898326795,0.023622634898326795
2024-02,2024-04,2,ES01,Spare Parts,1836768.87,1810158.29,-26610.580000000075,0.014487712871571082,-0.014487712871571082
2024-02,2024-04,2,JP01,Hardware,3124271.45,2851834.56,-272436.89000000013,0.08720013429050799,-0.08720013429050799
2024-02,2024-04,2,JP01,Software,530663.66,527070.84,-3592.820000000065,0.006770427807323503,-0.006770427807323503
2024-02,2024-04,2,JP01,Spare Parts,2562409.57,2514043.83,-48365.73999999976,0.018875101219669486,-0.018875101219669486
2024-02,2024-04,2,US01,Events,2236500.89,1936028.13,-300472.76000000024,0.13434949270241525,-0.13434949270241525
2024-02,2024-04,2,US01,Hardware,5444249.79,5372010.74,-72239.04999999981,0.013268871338836901,-0.013268871338836901
2024-02,2024-04,2,US01,Software,797347.47,798238.57,891.0999999999767,0.0011175805198202695,0.0011175805198202695
2024-02,2024-05,3,DE01,Hardware,4877671.87,4817176.66,-60495.20999999996,0.01240247634779909,-0.01240247634779909
2024-02,2024-05,3,DE01,Software,643139.87,656122.79,12982.920000000042,0.02018677523444479,0.02018677523444479
2024-02,2024-05,3,ES01,Events,1436485.98,2755743.01,1319257.0299999998,0.91839185927871,0.91839185927871
2024-02,2024-05,3,ES01,Hardware,4613178.84,4421696.56,-191482.28000000026,0.04150766459338053,-0.04150766459338053
2024-02,2024-05,3,ES01,Spare Parts,1889660.71,1853523.85,-36136.85999999987,0.01912346476209471,-0.01912346476209471
2024-02,2024-05,3,JP01,Hardware,3106416.27,2916655.99,-189760.2799999998,0.06108655875666007,-0.06108655875666007
2024-02,2024-05,3,JP01,Software,527950.87,541998.85,14047.979999999981,0.026608498627912067,0.026608498627912067
2024-02,2024-05,3,JP01,Spare Parts,2642776.48,2574272.23,-68504.25,0.025921318173680735,-0.025921318173680735
2024-02,2024-05,3,US01,Events,1642528.15,1978432.19,335904.04000000004,0.20450428201184867,0.20450428201184867
2024-02,2024-05,3,US01,Hardware,5626967.02,5494115.09,-132851.9299999997,0.023609864697589734,-0.023609864697589734
2024-02,2024-05,3,US01,Software,807243.96,820846.75,13602.790000000037,0.016850903412148215,0.016850903412148215
2024-02,2024-06,4,DE01,Hardware,5032465.07,4924812.24,-107652.83000000007,0.021391669589869617,-0.021391669589869617
2024-02,2024-06,4,DE01,Software,670652.19,674451.49,3799.3000000000466,0.005665082522134233,0.005665082522134233
2024-02,2024-06,4,ES01,Events,2724133.55,2815039.18,90905.63000000035,0.033370474806567525,0.033370474806567525
2024-02,2024-06,4,ES01,Hardware,4766498.26,4520495.48,-246002.77999999933,0.05161079823828559,-0.05161079823828559
2024-02,2024-06,4,ES01,Spare Parts,1974395.35,1897212.72,-77182.63000000012,0.03909178068110833,-0.03909178068110833
2024-02,2024-06,4,JP01,Hardware,3291351.73,2981826.1,-309525.6299999999,0.09404210044728337,-0.09404210044728337
2024-02,2024-06,4,JP01,Software,562793.99,557139.52,-5654.469999999972,0.01004713998456162,-0.01004713998456162
2024-02,2024-06,4,JP01,Spare Parts,2724647.34,2634949.65,-89697.68999999994,0.03292084398709741,-0.03292084398709741
2024-02,2024-06,4,US01,Events,1780288.9,2021002.73,240713.83000000007,0.13521054363704682,0.13521054363704682
2024-02,2024-06,4,US01,Hardware,5806770.37,5616876.25,-189894.1200000001,0.032702192079277985,-0.032702192079277985
2024-02,2024-06,4,US01,Software,842701.62,843776.99,1075.3699999999953,0.0012760981757694917,0.0012760981757694917
2024-02,2024-07,5,DE01,Hardware,4687258.09,4468574.6,-218683.49000000022,0.04665488560712052,-0.04665488560712052
2024-02,2024-07,5,DE01,Software,678345.04,615316.49,-63028.55000000005,0.09291517779801271,-0.09291517779801271
2024-02,2024-07,5,ES01,Events,2820459.66,2552186.49,-268273.1699999999,0.09511682574463763,-0.09511682574463763
2024-02,2024-07,5,ES01,Hardware,4245864.9799999995,4101714.0,-144150.97999999952,0.03395091004518932,-0.03395091004518932
2024-02,2024-07,5,ES01,Spare Parts,1787908.84,1723519.13,-64389.710000000196,0.03601397820707693,-0.03601397820707693
2024-02,2024-07,5,JP01,Hardware,2833772.61,2705587.89,-128184.71999999974,0.04523465275500695,-0.04523465275500695
2024-02,2024-07,5,JP01,Software,568421.79,508290.27,-60131.52000000002,0.10578679610435064,-0.10578679610435064
2024-02,2024-07,5,JP01,Spare Parts,2476933.34,2393714.78,-83218.56000000006,0.033597416069340025,-0.033597416069340025
2024-02,2024-07,5,US01,Events,2547279.48,1832292.74,-714986.74,0.28068641294122937,-0.28068641294122937
2024-02,2024-07,5,US01,Hardware,5386066.04,5096525.38,-289540.66000000015,0.0537573542265739,-0.0537573542265739
2024-02,2024-07,5,US01,Software,858996.15,769795.75,-89200.40000000002,0.10384260744358402,-0.10384260744358402
2024-02,2024-08,6,DE01,Hardware,4132235.82,3962504.08,-169731.73999999976,0.0410750371937872,-0.0410750371937872
2024-02,2024-08,6,DE01,Software,686357.47,548615.1,-137742.37,0.20068605066686315,-0.20068605066686315
2024-02,2024-08,6,ES01,Events,2011089.91,2261318.53,250228.61999999988,0.12442438239869638,0.12442438239869638
2024-02,2024-08,6,ES01,Hardware,3662272.09,3637190.81,-25081.279999999795,0.006848557229946231,-0.006848557229946231
