scenario,month,horizon_month,cash,trade_receivables_gross,credit_loss_allowance,trade_receivables,inventory_gross,inventory_provision,unrealized_ic_markup_reserve,inventory,ppe_gross,cip,accumulated_depreciation,trade_payables,tax_payable,debt,contract_liabilities,share_capital,retained_earnings,assets,liabilities,equity,balance_check
Base,2026-09,1,174508393.08,55601488.08,103467.97,55498020.11,47291745.26,136725.31,3503092.24,43651927.71,121700000.0,1050000.0,-50248055.44,42997916.24,1307788.52,35664130.97,3827283.86,93120000.0,169243165.87,346160285.46,83797119.59,262363165.87,-0.0
Base,2026-10,2,180390807.61,57997250.91,107926.21,57889324.7,49162309.0,142133.3,3641652.52,45378523.18,121700000.0,1437629.43,-51091527.66,44683597.77,3202745.8,35664130.97,3995511.98,93120000.0,175038770.74,355704757.26,87545986.52,268158770.74,0.0
Base,2026-11,3,186761921.3,60413276.64,112422.15,60300854.49,51036571.38,147551.99,3780486.77,47108532.62,121700000.0,1770709.17,-51934999.88,46371540.86,5206696.68,35664130.97,4165449.54,93120000.0,181179199.65,365707017.7,91407818.05,274299199.65,0.0
Base,2026-12,4,186570878.83,63856018.46,118828.7,63737189.76,53937821.4,155939.8,3995394.18,49786487.42,121700000.0,2002366.11,-52778472.1,49005635.34,1615015.51,35218329.33,4408076.1,93120000.0,187651393.74,371018450.02,90247056.28,280771393.74,0.0
Base,2027-01,5,208984842.58,47775873.42,88905.4,47686968.02,40349865.49,116655.62,2988878.92,37244330.95,123800000.0,0.0,-53621944.32,36658747.17,2937332.97,35218329.33,3301999.31,93120000.0,192857788.45,364094197.23,78116408.78,285977788.45,0.0
Base,2027-02,6,213467115.47,50109561.42,93248.13,50016313.29,42315099.82,122337.32,3134451.84,39058310.66,123800000.0,0.0,-54494583.21,38442721.05,4388118.51,35218329.33,3467475.34,93120000.0,197210511.98,371847156.21,81516644.23,290330511.98,-0.0
Base,2027-03,7,212013178.5,54097283.71,100668.82,53996614.89,45676304.6,132054.91,3383429.97,42160819.72,123800000.0,0.0,-55367222.1,41494759.79,1331673.95,34778100.21,3747969.24,93120000.0,202130887.82,376603391.01,81352503.19,295250887.82,0.0
Base,2027-04,8,218766953.29,55369399.19,103036.08,55266363.11,46743955.72,135141.6,3462515.24,43146298.88,123800000.0,0.0,-56239860.99,42463092.77,3070611.68,34778100.21,3840798.24,93120000.0,207467151.39,384739754.29,84152602.9,300587151.39,0.0
Base,2027-05,9,225822683.03,56649296.22,105417.82,56543878.4,47817815.71,138246.24,3542060.42,44137509.05,123800000.0,0.0,-57112499.88,43437026.16,4883842.03,34778100.21,3934419.62,93120000.0,213038182.58,393191570.6,87033388.02,306158182.58,0.0
Base,2027-06,10,227457502.31,57937017.92,107814.12,57829203.8,48897913.66,141368.91,3622067.68,45134477.07,123800000.0,0.0,-57985138.77,44416588.09,1489282.09,34343373.96,4028840.94,93120000.0,218837959.33,396236044.41,84278085.08,311957959.33,0.0
Base,2027-07,11,240373146.25,52589698.21,97863.38,52491834.83,44378565.08,128303.01,3287301.12,40962960.95,123800000.0,0.0,-58857777.66,40310015.26,3105928.45,34343373.96,3661557.38,93120000.0,224229289.32,398770164.37,81420875.05,317349289.32,0.0
Base,2027-08,12,252631716.62,46651679.86,86813.41,46564866.45,39362045.3,113799.73,2915707.06,36332538.51,123800000.0,0.0,-59730416.55,35752180.45,4422189.44,34343373.96,3252198.1,93120000.0,228708763.08,399598705.03,77769941.95,321828763.08,0.0
Downside,2026-09,1,174086899.63,55339988.65,118428.55,55221560.1,48297637.14,153596.79,3577602.75,44566437.6,121700000.0,1050000.0,-50248055.44,43899118.64,1271390.87,35664130.97,3809283.77,93120000.0,168612917.64,346376841.89,84643924.25,261732917.64,0.0
Downside,2026-10,2,179493287.2,57452999.79,122950.43,57330049.36,49971986.31,158921.58,3701628.61,46111436.12,121700000.0,1437629.43,-51091527.66,45406019.51,2984735.72,35664130.97,3958017.77,93120000.0,173847970.48,354980874.45,88012903.97,266967970.48,0.0
Downside,2026-11,3,185339265.11,59564889.9,127469.92,59437419.98,51633270.31,164204.82,3824686.69,47644378.8,121700000.0,1770709.17,-51934999.88,46900097.72,4790114.57,35664130.97,4106953.91,93120000.0,179375476.01,363956773.18,91461297.17,272495476.01,0.0
Downside,2026-12,4,185068278.32,62663181.22,134100.31,62529080.91,54311864.29,172723.32,4023101.06,50116039.91,121700000.0,2002366.11,-52778472.1,49331312.13,1474955.07,35218329.33,4325732.77,93120000.0,185166963.85,368637293.15,90350329.3,278286963.85,-0.0
Downside,2027-01,5,206718352.31,46662917.52,99859.47,46563058.05,40438642.49,128603.51,2995455.0,37314583.98,123800000.0,0.0,-53621944.32,36728965.1,2624655.52,35218329.33,3225078.07,93120000.0,189857022.0,360774050.02,77797028.02,282977022.0,0.0
Downside,2027-02,6,210678013.03,48712061.1,104244.67,48607816.43,42208800.95,134232.99,3126577.85,38947990.11,123800000.0,0.0,-54494583.21,38335367.68,3882270.26,35218329.33,3370771.28,93120000.0,193612497.81,367539236.36,80806738.55,286732497.81,0.0
