scenario,month,horizon_month,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,net_cash_movement,opening_cash,ending_cash,cash_flow_identity_gap
Base,2026-09,1,-7241857.56,-526376.48,-451444.7,-7768234.04,-8219678.74,187180210.49,178960531.75,-0.0
Base,2026-10,2,7002791.28,-387629.43,0.0,6615161.85,6615161.85,178960531.75,185575693.6,-0.0
Base,2026-11,3,7554570.05,-333079.74,0.0,7221490.31,7221490.31,185575693.6,192797183.91,0.0
Base,2026-12,4,842423.62,-231656.94,-445801.64,610766.68,164965.04,192797183.91,192962148.95,-0.0
Base,2027-01,5,23219523.58,-97633.89,0.0,23121889.69,23121889.69,192962148.95,216084038.64,-0.0
Base,2027-02,6,5215360.35,-0.0,0.0,5215360.35,5215360.35,216084038.64,221299398.99,0.0
Base,2027-03,7,-763914.33,-0.0,-440229.12,-763914.33,-1204143.45,221299398.99,220095255.54,-0.0
Base,2027-04,8,7578898.4,-0.0,0.0,7578898.4,7578898.4,220095255.54,227674153.94,0.0
Base,2027-05,9,7903463.02,-0.0,0.0,7903463.02,7903463.02,227674153.94,235577616.96,0.0
Base,2027-06,10,2341617.91,-0.0,-434726.25,2341617.91,1906891.66,235577616.96,237484508.62,-0.0
Base,2027-07,11,13701386.05,-0.0,0.0,13701386.05,13701386.05,237484508.62,251185894.67,-0.0
Base,2027-08,12,12944910.52,-0.0,0.0,12944910.52,12944910.52,251185894.67,264130805.19,0.0
Downside,2026-09,1,-7662190.12,-526376.48,-451444.7,-8188566.6,-8640011.3,187180210.49,178540199.19,-0.0
Downside,2026-10,2,6519076.16,-387629.43,0.0,6131446.73,6131446.73,178540199.19,184671645.92,-0.0
Downside,2026-11,3,7017807.2,-333079.74,0.0,6684727.46,6684727.46,184671645.92,191356373.38,0.0
Downside,2026-12,4,752291.45,-231656.94,-445801.64,520634.51,74832.87,191356373.38,191431206.25,0.0
Downside,2027-01,5,22436276.68,-97633.89,0.0,22338642.79,22338642.79,191431206.25,213769849.04,-0.0
Downside,2027-02,6,4670959.73,-0.0,0.0,4670959.73,4670959.73,213769849.04,218440808.77,0.0
Downside,2027-03,7,-780975.53,-0.0,-440229.12,-780975.53,-1221204.65,218440808.77,217219604.12,-0.0
Downside,2027-04,8,6839075.88,-0.0,0.0,6839075.88,6839075.88,217219604.12,224058680.0,-0.0
Downside,2027-05,9,7091525.99,-0.0,0.0,7091525.99,7091525.99,224058680.0,231150205.99,0.0
Downside,2027-06,10,2218842.51,-0.0,-434726.25,2218842.51,1784116.26,231150205.99,232934322.25,-0.0
Downside,2027-07,11,12572970.35,-0.0,0.0,12572970.35,12572970.35,232934322.25,245507292.6,-0.0
Downside,2027-08,12,11823594.33,-0.0,0.0,11823594.33,11823594.33,245507292.6,257330886.93,0.0
Upside,2026-09,1,-6945718.34,-526376.48,-451444.7,-7472094.82,-7923539.52,187180210.49,179256670.97,-0.0
Upside,2026-10,2,7342256.58,-387629.43,0.0,6954627.15,6954627.15,179256670.97,186211298.12,0.0
Upside,2026-11,3,7930473.05,-333079.74,0.0,7597393.31,7597393.31,186211298.12,193808691.43,0.0
Upside,2026-12,4,921301.66,-231656.94,-445801.64,689644.72,243843.08,193808691.43,194052534.51,-0.0
Upside,2027-01,5,23739799.46,-97633.89,0.0,23642165.57,23642165.57,194052534.51,217694700.08,0.0
Upside,2027-02,6,5595216.89,-0.0,0.0,5595216.89,5595216.89,217694700.08,223289916.97,-0.0
Upside,2027-03,7,-735822.21,-0.0,-440229.12,-735822.21,-1176051.33,223289916.97,222113865.64,-0.0
Upside,2027-04,8,8090174.02,-0.0,0.0,8090174.02,8090174.02,222113865.64,230204039.66,0.0
Upside,2027-05,9,8460122.41,-0.0,0.0,8460122.41,8460122.41,230204039.66,238664162.07,-0.0
Upside,2027-06,10,2409429.03,-0.0,-434726.25,2409429.03,1974702.78,238664162.07,240638864.85,0.0
Upside,2027-07,11,14434430.46,-0.0,0.0,14434430.46,14434430.46,240638864.85,255073295.31,0.0
Upside,2027-08,12,13671758.79,-0.0,0.0,13671758.79,13671758.79,255073295.31,268745054.1,0.0
