scenario,month,horizon_month,revenue,gross_profit_before_asset_quality,inventory_provision_expense,unrealized_ic_profit_adjustment,gross_profit,opex,credit_loss_expense,depreciation,ebit,interest,ebt,tax,net_income,operating_forecast_revenue_rounding_gap,operating_forecast_gp_rounding_gap,operating_forecast_opex_rounding_gap,ebit_identity_gap,net_income_identity_gap
Base,2026-09,1,36323531.42,13394414.85,34963.45,747741.56,12611709.84,4809955.71,14592.94,786805.55,7000355.64,72231.15,6928124.49,1854101.39,5074023.1,0.0,0.0,0.0,0.0,0.0
Base,2026-10,2,37903984.1,14094375.43,6176.64,132095.78,13956103.01,5023777.77,4541.43,843472.22,8084311.59,71328.26,8012983.33,1970991.32,6041992.01,0.0,0.0,-0.01,-0.0,0.0
Base,2026-11,3,39498970.55,14809054.04,6174.55,132051.3,14670828.19,5237146.85,4582.33,843472.22,8585626.79,71328.26,8514298.53,2091305.61,6422992.92,0.0,0.0,0.0,0.0,0.0
Base,2026-12,4,41755697.3,15662650.21,9856.47,210794.22,15441999.52,5526940.02,6479.9,843472.22,9065107.38,71328.26,8993779.12,2226618.33,6767160.79,0.0,0.0,0.01,0.0,-0.0
Base,2027-01,5,31245217.5,11725782.01,-46161.04,-987217.3,12759160.35,5094858.71,-30269.92,843472.22,6851099.34,70436.66,6780662.68,1385683.46,5394979.22,0.0,0.0,0.0,0.0,0.0
Base,2027-02,6,32776081.13,12306224.51,6676.59,142787.92,12156760.0,5121049.66,4392.32,872638.89,6158679.13,70436.66,6088242.47,1518703.83,4569538.64,0.0,0.0,-0.02,0.0,0.0
Base,2027-03,7,35389456.06,13293888.41,11419.04,244212.04,13038257.33,5184486.97,7505.75,872638.89,6973625.72,70436.66,6903189.06,1740518.22,5162670.84,0.0,0.0,0.0,-0.0,0.0
Base,2027-04,8,36226864.12,13615074.08,3627.33,77575.42,13533871.33,5187340.89,2393.92,872638.89,7471497.63,69556.2,7401941.43,1817129.15,5584812.28,0.0,0.0,0.02,-0.0,0.0
Base,2027-05,9,37069647.28,13938615.54,3648.44,78026.79,13856940.31,5190564.04,2408.54,872638.89,7791328.84,69556.2,7721772.64,1894005.54,5827767.1,0.0,0.0,0.02,-0.0,0.0
Base,2027-06,10,37917839.0,14264530.34,3669.64,78480.27,14182380.43,5204060.81,2423.24,872638.89,8103257.49,69556.2,8033701.29,1968985.87,6064715.42,0.0,0.0,0.0,-0.0,0.0
Base,2027-07,11,34423270.43,12956256.48,-15353.12,-328347.59,13299957.19,5058250.39,-10066.07,872638.89,7379133.98,68686.75,7310447.23,1690203.31,5620243.92,0.0,0.0,-0.01,0.0,0.0
Base,2027-08,12,30540999.98,11500718.33,-17042.2,-364470.74,11882231.27,4900038.74,-11177.82,872638.89,6120731.46,68686.75,6052044.71,1378844.95,4673199.76,0.0,0.0,0.02,0.0,0.0
Downside,2026-09,1,36152698.16,12683550.57,54920.5,822670.59,11805959.48,4792768.56,29717.09,786805.55,6196668.28,72231.15,6124437.13,1687618.87,4436818.26,0.0,0.0,0.02,-0.0,0.0
Downside,2026-10,2,37548289.92,13292212.29,6058.98,117799.78,13168353.53,4984548.98,4610.56,843472.22,7335721.77,71328.26,7264393.51,1787887.08,5476506.43,0.0,0.0,-0.01,0.0,0.0
Downside,2026-11,3,38944284.48,13909359.24,5995.73,116569.95,13786793.56,5172917.63,4610.92,843472.22,7765792.79,71328.26,7694464.53,1890793.87,5803670.66,0.0,0.0,0.01,0.0,0.0
Downside,2026-12,4,40975696.43,14642254.54,10014.87,194710.63,14437529.04,5433894.84,6706.25,843472.22,8153455.73,71328.26,8082127.47,2004054.21,6078073.26,0.0,0.0,0.0,0.0,-0.0
Downside,2027-01,5,30517349.09,10910570.23,-51868.03,-1008426.49,11970864.75,5008169.4,-34637.47,843472.22,6153860.6,70436.66,6083423.94,1210838.07,4872585.87,0.0,0.0,0.0,0.0,0.0
Downside,2027-02,6,31861992.42,11397075.61,6618.42,128676.41,11261780.78,5028388.49,4435.21,872638.89,5356318.19,70436.66,5285881.53,1322746.78,3963134.75,0.0,0.0,0.01,0.0,0.0
Downside,2027-03,7,34240684.86,12254162.16,11734.46,228143.27,12014284.43,5084189.85,7855.5,872638.89,6049600.19,70436.66,5979163.53,1515055.22,4464108.31,0.0,0.0,0.01,0.0,-0.0
Downside,2027-04,8,34886061.96,12491501.2,3147.41,61192.48,12427161.31,5080861.76,2118.23,872638.89,6471542.43,69556.2,6401986.23,1573026.65,4828959.58,0.0,0.0,-0.01,-0.0,0.0
Downside,2027-05,9,35529762.96,12728503.01,3136.91,60988.28,12664377.82,5077655.91,2111.92,872638.89,6711971.1,69556.2,6642414.9,1630676.48,5011738.42,0.0,0.0,-0.01,-0.0,0.0
Downside,2027-06,10,36171797.04,12965171.52,3126.44,60784.64,12901260.44,5074856.76,2105.62,872638.89,6951659.17,69556.2,6882102.97,1688148.72,5193954.25,0.0,0.0,-0.01,0.0,0.0
Downside,2027-07,11,32683705.35,11720967.42,-17302.99,-336407.4,12074677.81,4930456.84,-11553.67,872638.89,6283135.75,68686.75,6214449.0,1424404.39,4790044.61,0.0,0.0,-0.01,-0.0,0.0
Downside,2027-08,12,28861244.96,10355523.44,-18946.73,-368365.34,10742835.51,4774728.81,-12655.83,872638.89,5108123.64,68686.75,5039436.89,1134072.56,3905364.33,0.0,0.0,0.0,-0.0,0.0
Upside,2026-09,1,36427812.59,13868068.28,27804.59,696415.66,13143848.03,4820562.37,9648.26,786805.55,7526831.85,72231.15,7454600.7,1965232.61,5489368.09,0.0,0.0,-0.03,0.0,0.0
Upside,2026-10,2,38121933.51,14628841.79,6360.31,140230.85,14482250.63,5047839.28,4625.26,843472.22,8586313.87,71328.26,8514985.61,2093488.49,6421497.12,0.0,0.0,0.0,-0.0,0.0
Upside,2026-11,3,39840140.79,15408728.27,6393.52,140963.24,15261371.51,5276644.39,4690.19,843472.22,9136564.71,71328.26,9065236.45,2225748.02,6839488.43,0.0,0.0,0.0,0.0,-0.0
Upside,2026-12,4,42237271.68,16343439.12,9977.81,219988.86,16113472.45,5584350.01,6539.75,843472.22,9679110.47,71328.26,9607782.21,2376229.27,7231552.94,0.0,0.0,0.0,0.0,-0.0
Upside,2027-01,5,31696309.42,12270399.9,-44110.41,-972538.08,13287048.39,5148391.51,-28839.97,843472.22,7324024.63,70436.66,7253587.97,1503543.88,5750044.09,0.0,0.0,0.03,-0.0,0.0
