vintage,month,horizon_month,entity,division,scenario,revenue_forecast,gross_profit_forecast,marginal_contribution_forecast,opex_forecast,bias_correction,active_action_count,action_opex_reduction_pct,action_revenue_impact_forecast,action_gross_profit_impact_forecast,action_opex_impact_forecast,action_ebit_impact_forecast,personnel_cost_forecast,non_people_opex_forecast,workforce_fte_forecast,workforce_hires_forecast,workforce_attrition_forecast,workforce_target_fte
2024-02,2024-03,1,DE01,Hardware,Base,4603630.78,1287291.92,1540592.77,548833.67,1.0,0,0.0,0.0,0.0,0.0,0.0,410724.77,138108.91,39.566,0.0,0.366,38.2261
2024-02,2024-03,1,DE01,Hardware,Upside,4616847.34,1346389.77,1583797.18,549230.17,1.0,0,0.0,0.0,-0.0,0.0,0.0,410724.77,138505.4,39.566,0.0,0.366,38.3358
2024-02,2024-03,1,DE01,Hardware,Downside,4581979.44,1198762.02,1475614.27,548184.13,1.0,0,0.0,0.0,0.0,0.0,0.0,410724.77,137459.37,39.566,0.0,0.366,38.0463
2024-02,2024-03,1,DE01,Software,Base,620234.68,454579.27,482428.94,110457.89,1.0,0,0.0,0.0,0.0,0.0,0.0,76344.96,34112.93,7.0788,0.0,0.0655,6.958
2024-02,2024-03,1,DE01,Software,Upside,622015.31,463348.5,489038.87,110555.82,1.0,0,0.0,0.0,0.0,0.0,0.0,76344.96,34210.86,7.0788,0.0,0.0655,6.978
2024-02,2024-03,1,DE01,Software,Downside,617317.66,441329.62,472381.83,110297.45,1.0,0,0.0,0.0,0.0,0.0,0.0,76344.96,33952.49,7.0788,0.0,0.0655,6.9253
2024-02,2024-03,1,ES01,Events,Base,2637845.61,1018325.32,1163629.33,396351.77,1.0,0,0.0,0.0,-0.0,0.0,0.0,277648.71,118703.06,42.0194,0.0,0.3887,40.236
2024-02,2024-03,1,ES01,Events,Upside,2645418.6,1052993.86,1189191.51,396692.56,1.0,0,0.0,0.0,0.0,0.0,0.0,277648.71,119043.85,42.0194,0.0,0.3887,40.3515
2024-02,2024-03,1,ES01,Events,Downside,2625439.56,966278.13,1125076.12,395793.5,1.0,0,0.0,0.0,0.0,0.0,0.0,277648.71,118144.79,42.0194,0.0,0.3887,40.0467
2024-02,2024-03,1,ES01,Hardware,Base,4225682.35,1158911.25,1391388.45,381134.04,1.0,0,0.0,0.0,0.0,0.0,0.0,254363.58,126770.46,36.3596,0.0,0.3364,35.0874
2024-02,2024-03,1,ES01,Hardware,Upside,4237813.86,1213092.13,1430980.62,381497.98,1.0,0,0.0,0.0,0.0,0.0,0.0,254363.58,127134.4,36.3596,0.0,0.3364,35.1882
2024-02,2024-03,1,ES01,Hardware,Downside,4205808.54,1077756.22,1331851.42,380537.82,1.0,0,0.0,0.0,0.0,0.0,0.0,254363.58,126174.25,36.3596,0.0,0.3364,34.9224
2024-02,2024-03,1,ES01,Spare Parts,Base,1767114.13,736198.18,797769.33,170673.55,1.0,0,0.0,0.0,0.0,0.0,0.0,117660.12,53013.42,18.1025,0.0,0.1675,17.5137
2024-02,2024-03,1,ES01,Spare Parts,Upside,1772187.33,759577.98,814946.02,170825.74,1.0,0,0.0,0.0,0.0,0.0,0.0,117660.12,53165.62,18.1025,0.0,0.1675,17.564
2024-02,2024-03,1,ES01,Spare Parts,Downside,1758803.21,701077.31,771856.42,170424.22,1.0,0,0.0,0.0,-0.0,0.0,0.0,117660.12,52764.09,18.1025,0.0,0.1675,17.4314
2024-02,2024-03,1,JP01,Hardware,Base,2787360.36,875097.08,1024215.51,329850.16,1.0,0,0.0,0.0,0.0,0.0,0.0,246229.35,83620.81,25.3745,0.0,0.2348,24.3017
2024-02,2024-03,1,JP01,Hardware,Upside,2795362.59,911153.75,1050636.97,330090.22,1.0,0,0.0,0.0,0.0,0.0,0.0,246229.35,83860.87,25.3745,0.0,0.2348,24.3714
2024-02,2024-03,1,JP01,Hardware,Downside,2774251.12,821044.89,984442.96,329456.88,1.0,0,0.0,0.0,0.0,0.0,0.0,246229.35,83227.53,25.3745,0.0,0.2348,24.1874
2024-02,2024-03,1,JP01,Software,Base,512353.01,375309.29,398357.96,87358.08,1.0,0,0.0,0.0,0.0,0.0,0.0,59178.65,28179.42,5.89,0.0,0.0545,5.7805
2024-02,2024-03,1,JP01,Software,Upside,513823.92,382552.66,403817.73,87438.98,1.0,0,0.0,0.0,0.0,0.0,0.0,59178.65,28260.33,5.89,0.0,0.0545,5.7971
2024-02,2024-03,1,JP01,Software,Downside,509943.36,364365.2,390059.16,87225.54,1.0,0,0.0,0.0,0.0,0.0,0.0,59178.65,28046.89,5.89,0.0,0.0545,5.7534
2024-02,2024-03,1,JP01,Spare Parts,Base,2454261.82,1022970.66,1108779.9,300483.51,1.0,0,0.0,0.0,0.0,0.0,0.0,226855.65,73627.86,25.1623,0.0,0.2328,24.3396
2024-02,2024-03,1,JP01,Spare Parts,Upside,2461307.76,1055443.19,1132638.08,300694.89,1.0,0,0.0,0.0,0.0,0.0,0.0,226855.65,73839.24,25.1623,0.0,0.2328,24.4094
2024-02,2024-03,1,JP01,Spare Parts,Downside,2442719.18,974190.58,1072786.93,300137.23,1.0,0,0.0,0.0,-0.0,0.0,0.0,226855.65,73281.58,25.1623,0.0,0.2328,24.2251
2024-02,2024-03,1,US01,Events,Base,1893790.04,704372.96,809246.94,515534.33,1.0,0,0.0,0.0,-0.0,0.0,0.0,430313.77,85220.56,29.0843,0.0,0.2691,28.629
2024-02,2024-03,1,US01,Events,Upside,1899226.92,729185.87,827523.71,515778.99,1.0,0,0.0,0.0,-0.0,0.0,0.0,430313.77,85465.22,29.0843,0.0,0.2691,28.7112
2024-02,2024-03,1,US01,Events,Downside,1884883.36,667132.33,781691.44,515133.53,1.0,0,0.0,0.0,0.0,0.0,0.0,430313.77,84819.76,29.0843,0.0,0.2691,28.4944
