month,entity,division,journal_id,journal_type,account,debit,credit,counterparty,description,cash_flow_category,product,customer,functional_currency,fx_to_eur,local_debit,local_credit,local_rounding_adjustment,reporting_debit_from_local,reporting_credit_from_local
2023-09,DE01,Corporate,OPEN-DE01,opening,1000_CASH,15000000.0,0.0,EXTERNAL,Opening cash,opening,,,EUR,1.0,15000000.0,0.0,0.0,15000000.0,0.0
2023-09,DE01,Corporate,OPEN-DE01,opening,1500_PPE,9000000.0,0.0,EXTERNAL,Opening PPE,,,,EUR,1.0,9000000.0,0.0,0.0,9000000.0,0.0
2023-09,DE01,Corporate,OPEN-DE01,opening,1590_ACCUM_DEP,0.0,1980000.0,EXTERNAL,Opening accumulated depreciation,,,,EUR,1.0,0.0,1980000.0,0.0,0.0,1980000.0
2023-09,DE01,Corporate,OPEN-DE01,opening,2500_DEBT,0.0,8000000.0,EXTERNAL,Opening borrowings,,,,EUR,1.0,0.0,8000000.0,0.0,0.0,8000000.0
2023-09,DE01,Corporate,OPEN-DE01,opening,3000_SHARE_CAPITAL,0.0,14020000.0,EXTERNAL,Opening equity,,,,EUR,1.0,0.0,14020000.0,0.0,0.0,14020000.0
2023-09,ES01,Corporate,OPEN-ES01,opening,1000_CASH,7000000.0,0.0,EXTERNAL,Opening cash,opening,,,EUR,1.0,7000000.0,0.0,0.0,7000000.0,0.0
2023-09,ES01,Corporate,OPEN-ES01,opening,1500_PPE,9000000.0,0.0,EXTERNAL,Opening PPE,,,,EUR,1.0,9000000.0,0.0,0.0,9000000.0,0.0
2023-09,ES01,Corporate,OPEN-ES01,opening,1590_ACCUM_DEP,0.0,1980000.0,EXTERNAL,Opening accumulated depreciation,,,,EUR,1.0,0.0,1980000.0,0.0,0.0,1980000.0
2023-09,ES01,Corporate,OPEN-ES01,opening,2500_DEBT,0.0,2000000.0,EXTERNAL,Opening borrowings,,,,EUR,1.0,0.0,2000000.0,0.0,0.0,2000000.0
2023-09,ES01,Corporate,OPEN-ES01,opening,3000_SHARE_CAPITAL,0.0,12020000.0,EXTERNAL,Opening equity,,,,EUR,1.0,0.0,12020000.0,0.0,0.0,12020000.0
2023-09,CZ01,Corporate,OPEN-CZ01,opening,1000_CASH,9000000.0,0.0,EXTERNAL,Opening cash,opening,,,CZK,0.0410165863262419,219423428.57,0.0,0.0,9000000.0,0.0
2023-09,CZ01,Corporate,OPEN-CZ01,opening,1500_PPE,34000000.0,0.0,EXTERNAL,Opening PPE,,,,CZK,0.0410165863262419,828932952.38,0.0,0.0,34000000.0,0.0
2023-09,CZ01,Corporate,OPEN-CZ01,opening,1590_ACCUM_DEP,0.0,7480000.0,EXTERNAL,Opening accumulated depreciation,,,,CZK,0.0410165863262419,0.0,182365249.52,0.0,0.0,7480000.0
2023-09,CZ01,Corporate,OPEN-CZ01,opening,2500_DEBT,0.0,14000000.0,EXTERNAL,Opening borrowings,,,,CZK,0.0410165863262419,0.0,341325333.33,0.0,0.0,14000000.0
2023-09,CZ01,Corporate,OPEN-CZ01,opening,3000_SHARE_CAPITAL,0.0,21520000.0,EXTERNAL,Opening equity,,,,CZK,0.0410165863262419,0.0,524665798.1,0.0,0.0,21520000.0
2023-09,CN01,Corporate,OPEN-CN01,opening,1000_CASH,9000000.0,0.0,EXTERNAL,Opening cash,opening,,,CNY,0.1282599401453607,70170000.0,0.0,0.0,9000000.0,0.0
2023-09,CN01,Corporate,OPEN-CN01,opening,1500_PPE,34000000.0,0.0,EXTERNAL,Opening PPE,,,,CNY,0.1282599401453607,265086666.67,0.0,0.0,34000000.0,0.0
