month,entity,functional_currency,closing_fx_to_eur,historical_equity_fx_to_eur,retained_earnings_effective_fx_to_eur,translated_assets,translated_liabilities,translated_share_capital,translated_retained_earnings,translated_other_equity,translated_equity_before_cta,fx_translation_reserve,translated_equity,translation_balance_check
2023-09,CN01,CNY,0.1296752392673494,0.1296752392673494,0.12967523927407779,60205933.07,36624064.16,21520000.0,2061868.91,0.0,23581868.91,0.0,23581868.91,0.0
2023-09,CZ01,CZK,0.0404256507741159,0.0404256507741159,0.04042565077177529,63086010.29,39045689.14,21520000.0,2520321.15,0.0,24040321.15,0.0,24040321.15,0.0
2023-09,DE01,EUR,1.0,1.0,1.0,61753031.85,47203142.41,14020000.0,529889.44,0.0,14549889.44,0.0,14549889.44,0.0
2023-09,ES01,EUR,1.0,1.0,1.0,28905638.73,15851286.82,12020000.0,1034351.91,0.0,13054351.91,0.0,13054351.91,0.0
2023-09,JP01,JPY,0.0063120521101377,0.0063120521101377,0.006312052110042203,26499336.21,13527456.45,12020000.0,951879.76,0.0,12971879.76,0.0,12971879.76,0.0
2023-09,US01,USD,0.924584446497981,0.924584446497981,0.9245844539358498,29660328.97,16998696.87,12020000.01,641632.2,0.0,12661632.21,-0.11,12661632.1,-0.0
2023-10,CN01,CNY,0.1291582340014103,0.1296752392673494,0.1296616193770709,51723665.14,28180250.64,21520000.0,2117433.61,0.0,23637433.61,-94019.11,23543414.5,0.0
2023-10,CZ01,CZK,0.0399542341084508,0.0404256507741159,0.04036726314496052,54458902.91,30346794.69,21520000.0,2872450.23,0.0,24392450.23,-280342.01,24112108.22,-0.0
2023-10,DE01,EUR,1.0,1.0,1.0,61756048.34,46627299.23,14020000.0,1108749.11,0.0,15128749.11,0.0,15128749.11,0.0
2023-10,ES01,EUR,1.0,1.0,1.0,39089265.97,24286406.68,12020000.0,2782859.29,0.0,14802859.29,0.0,14802859.29,0.0
2023-10,JP01,JPY,0.0063456056275515,0.0063120521101377,0.0063294110202305074,31279341.28,17212767.39,12020000.0,1977618.16,0.0,13997618.16,68955.73,14066573.89,0.0
2023-10,US01,USD,0.9122708536100288,0.924584446497981,0.9179465127733858,34380640.63,21147211.5,12020000.01,1382056.35,0.0,13402056.36,-168627.23,13233429.13,0.0
2023-11,CN01,CNY,0.1275308621501031,0.1296752392673494,0.12954952778702028,52008374.89,28645959.63,21520000.0,2233077.41,0.0,23753077.41,-390662.15,23362415.26,0.0
2023-11,CZ01,CZK,0.0399694673554059,0.0404256507741159,0.040321456223970396,55052489.71,30561058.77,21520000.0,3242579.77,0.0,24762579.77,-271148.83,24491430.94,0.0
2023-11,DE01,EUR,1.0,1.0,1.0,65381688.11,49617028.01,14020000.0,1744660.1,0.0,15764660.1,0.0,15764660.1,0.0
2023-11,ES01,EUR,1.0,1.0,1.0,41852726.55,25325565.18,12020000.0,4507161.37,0.0,16527161.37,-0.0,16527161.37,-0.0
2023-11,JP01,JPY,0.0063303031461145,0.0063120521101377,0.006329736355913955,32475562.88,17307604.01,12020000.0,3112924.79,0.0,15132924.79,35034.08,15167958.87,-0.0
2023-11,US01,USD,0.9248922708586008,0.924584446497981,0.9207756868565974,36331891.92,21958352.56,12020000.01,2339079.57,0.0,14359079.58,14459.78,14373539.36,0.0
2023-12,CN01,CNY,0.1294088038663293,0.1296752392673494,0.1295397642756931,53211496.14,29338757.47,21520000.0,2399380.13,0.0,23919380.13,-46641.46,23872738.67,0.0
