entity,division,fy_budget_revenue,fy_budget_gross_profit,fy_budget_opex,fy_budget_depreciation,fy_budget_ebit,ytd_budget_revenue,ytd_budget_gross_profit,ytd_budget_opex,ytd_budget_depreciation,ytd_budget_ebit,ytd_actual_revenue,ytd_actual_gross_profit,ytd_actual_opex,ytd_actual_depreciation,ytd_actual_ebit,latest_fy_revenue,latest_fy_gross_profit,latest_fy_opex,latest_fy_depreciation,latest_fy_ebit,fc_1_fy_revenue,fc_1_fy_gross_profit,fc_1_fy_opex,fc_1_fy_depreciation,fc_1_fy_ebit,fc_3_fy_revenue,fc_3_fy_gross_profit,fc_3_fy_opex,fc_3_fy_depreciation,fc_3_fy_ebit,fc_6_fy_revenue,fc_6_fy_gross_profit,fc_6_fy_opex,fc_6_fy_depreciation,fc_6_fy_ebit,ytd_revenue_variance,latest_fy_revenue_vs_budget,ytd_gross_profit_variance,latest_fy_gross_profit_vs_budget,ytd_opex_variance,latest_fy_opex_vs_budget,ytd_depreciation_variance,latest_fy_depreciation_vs_budget,ytd_ebit_variance,latest_fy_ebit_vs_budget,budget_year,close_month
CN01,Hardware,0.0,-1728439.08,0.0,2833333.32,-4561772.4,0.0,-1152292.72,0.0,1888888.88,-3041181.6,0.0,-1521675.72,0.0,1888888.88,-3410564.6,0.0,-2554312.013333333,0.0,2833333.32,-5387645.333333334,0.0,-1808863.836666667,0.0,2833333.32,-4642197.156666666,0.0,-955747.0966666667,0.0,2833333.32,-3789080.416666667,0.0,-2440184.163333333,0.0,2833333.3199999994,-5273517.483333333,0.0,0.0,-369383.0,-825872.9333333331,0.0,0.0,0.0,0.0,-369383.0,-825872.9333333336,2026,2026-08
CZ01,Hardware,0.0,644040.84,0.0,2833333.32,-2189292.48,0.0,429360.56,0.0,1888888.88,-1459528.32,0.0,-602937.26,0.0,2405555.52,-3008492.7800000003,0.0,-1046480.3800000001,0.0,3608333.2800000003,-4654813.66,0.0,-431638.0266666667,0.0,3608333.2800000003,-4039971.3066666666,0.0,122178.62666666665,0.0,3608333.2800000003,-3486154.6533333333,0.0,-1045390.7733333332,0.0,3608333.28,-4653724.053333333,0.0,0.0,-1032297.8200000001,-1690521.2200000002,0.0,0.0,516666.64000000013,774999.9600000004,-1548964.4600000002,-2465521.18,2026,2026-08
DE01,Hardware,68055298.8,18815206.18,6330416.8100000005,686311.24,11798478.13,43174866.980000004,11936528.65,4016070.88,435401.75,7485056.02,43518373.89,11781942.75,4128979.96,430481.69739909144,7222481.092600909,68250405.98,18506784.97,6478523.01,644146.6912202921,11384115.268779708,67666548.14,18246304.64,6424464.0600000005,647779.2026751899,11174061.37732481,68478803.81,18278961.11,6502881.0,649635.4666727434,11126444.643327257,71423236.14,19223138.76,6782375.76,651489.2510062377,11789273.748993762,343506.9099999964,195107.18000000715,-154585.90000000037,-308421.2100000009,112909.08000000007,148106.19999999925,-4920.052600908559,-42164.54877970787,-262574.9273990905,-414362.86122029275,2026,2026-08
DE01,Software,10297575.19,7542999.91,2090771.42,104431.98,5347796.52,6532870.28,4785344.03,1326403.38,66252.54000000001,3392688.11,7000541.99,5028826.17,1435296.18,69518.30260090857,3524011.6873990917,11359208.32,8162736.3100000005,2328822.73,105853.30877970783,5728060.271220293,10510617.969999999,7552192.98,2154799.48,102220.79732481003,5295172.70267519,11044276.8,7932651.5,2264220.95,100364.53332725656,5568066.0166727435,11391461.23,8222969.66,2335253.46,98510.74899376239,5789205.451006237,467671.70999999996,1061633.1300000008,243482.13999999966,619736.4000000004,108892.80000000005,238051.31000000006,3265.762600908565,1421.3287797078374,131323.5773990918,380263.75122029334,2026,2026-08
ES01,Events,35443164.17,14403717.07,4716491.61,220903.53,9466321.93,22485448.240000002,9137842.01,2992182.85,140143.1,6005516.07,26482450.79,10662274.5,3572713.7199999997,159124.8413529735,6930435.938647027,41011751.41,16487649.46,5534169.29,234737.24961452076,10718742.92038548,41861198.44,16950625.18,5651306.9399999995,238268.75295962463,11061049.487040376,44468189.36,17940226.83,6002868.220000001,246830.1336920589,11690528.47630794,43139121.07,17048685.560000002,5822861.57,239116.51382375113,10986707.476176249,3997002.549999997,5568587.239999995,1524432.4900000002,2083932.3900000006,580530.8699999996,817677.6799999997,18981.741352973506,13833.719614520756,924919.8686470268,1252420.9903854802,2026,2026-08
ES01,Hardware,62709000.980000004,16906141.23,5832862.31,398545.55,10674733.36,39783129.65,10725401.42,3700418.02,252840.73,6772142.67,39955046.3,10515880.120000001,3791078.27,241688.29203911213,6483113.557960888,62834773.03,16577022.280000001,5964652.220000001,364813.30896833236,10247556.751031667,62037250.56,16237713.620000001,5890351.529999999,361990.32460065465,9985371.765399344,62350565.56,16199786.06,5920940.49,356507.65619566827,9922337.913804332,66323033.83,17198818.880000003,6297281.7,365753.3220189963,10535783.857981004,171916.6499999985,125772.04999999702,-209521.29999999888,-329118.94999999925,90660.25,131789.91000000108,-11152.43796088788,-33732.241031667625,-289029.11203911155,-427176.6089683324,2026,2026-08
ES01,Spare Parts,25671487.5,10915458.27,2388108.34,163396.1,8363953.859999999,16286212.5,6924860.63,1515036.48,103659.89,5306164.28,16405303.14,6937859.510000001,1556482.6199999999,99186.86660791434,5282190.023392086,26067776.43,11032426.860000001,2474417.61,150449.44141714685,8407559.808582854,25962976.229999997,10968662.510000002,2465186.38,149740.92243972074,8353735.20756028,26023854.13,10951656.940000001,2471447.0,146662.2101122728,8333547.729887727,25991040.48,10933950.22,2467463.83,145130.1641572525,8321356.225842748,119090.6400000006,396288.9299999997,12998.88000000082,116968.59000000171,41446.1399999999,86309.27000000002,-4473.023392085655,-12946.658582853153,-23974.256607914343,43605.94858285412,2026,2026-08
JP01,Hardware,43651494.79,13482498.43,4061131.08,393518.22,9027849.120000001,27692883.8,8553412.98,2576416.49,249651.35,5727345.14,28243864.86,8416365.67,2678642.6799999997,247943.47858603476,5489779.511413965,43245700.99,12887757.55,4103817.0,368118.77707997576,8415821.772920024,43899986.269999996,13009495.1,4168099.4699999997,373682.20473963465,8467713.425260365,46716945.989999995,13766579.75,4437273.37,380708.1434545897,8948598.23654541,45736334.809999995,13618984.06,4342495.54,373668.4176842818,8902820.10231572,550981.0599999987,-405793.799999997,-137047.31000000052,-594740.879999999,102226.18999999948,42685.919999999925,-1707.8714139652438,-25399.442920024216,-237565.6285860343,-612027.3470799774,2026,2026-08
JP01,Software,8433089.78,6175133.46,1712175.3599999999,76913.31,4386044.77,5350024.7,3917557.7800000003,1086218.78,48794.46,2782544.54,5846078.96,4197561.79,1198613.18,51704.29122276923,2947244.3187772306,9523919.9,6840397.4399999995,1952570.44,79025.34203836555,4808801.657961634,8821814.7,6336126.4399999995,1808624.03,75480.17056152824,4452022.239438471,9209744.559999999,6612977.63,1888121.6099999999,73394.12075932752,4651461.899240673,9524651.18,6874350.180000001,1952596.0100000002,74538.7726417425,4847215.397358258,496054.2599999998,1090830.120000001,280004.0099999998,665263.9799999995,112394.3999999999,240395.08000000007,2909.8312227692295,2112.032038365549,164699.77877723053,422756.88796163443,2026,2026-08
JP01,Spare Parts,35723749.31,15184282.55,3323013.15,323040.23,11538229.18,22663453.87,9633039.47,2108148.13,204939.5,7319951.85,22766690.95,9651626.65,2160224.78,200352.23019119605,7291049.639808804,36145917.78,15328553.46,3431251.3099999996,302855.88088165876,11594446.269118343,35930711.269999996,15205434.26,3411636.02,300837.6246988372,11492960.615301164,36074998.1,15218089.28,3425997.44,295897.7357860828,11496194.104213916,36183739.57,15245620.760000002,3435256.86,301792.8096739757,11508571.090326026,103237.07999999821,422168.4699999988,18587.179999999702,144270.91000000015,52076.64999999991,108238.15999999968,-4587.269808803947,-20184.349118341226,-28902.21019119583,56217.08911834285,2026,2026-08
