month,factory,factory_name,produced_units,capacity_units,utilization,capacity_increase_pct,actual_fixed_factory_cost,absorbed_fixed_cost,absorption_variance,under_absorption,over_absorption,fixed_cost_absorption_pct,fixed_factory_cost,capacity_headroom_units,fixed_cost_per_produced_unit,headroom_pct,utilization_check,absorption_rollforward_gap
2023-09,CZ01,Brno Smart Manufacturing,8413.0,14500.0,0.5802,0.0,620000.0,2132578.17,-1512578.17,0.0,1512578.17,3.4396,620000.0,6087.0,73.69547129442529,0.41979310344827586,6.896551724033806e-06,0.0
2023-09,CN01,Suzhou Manufacturing Hub,9392.0,21000.0,0.4472,0.0,760000.0,1875845.04,-1115845.04,0.0,1115845.04,2.4682,760000.0,11608.0,80.9199318568995,0.5527619047619048,3.809523809522597e-05,0.0
2023-10,CZ01,Brno Smart Manufacturing,2500.6,14500.0,0.1725,0.0,620000.0,702776.77,-82776.77,0.0,82776.77,1.1335,620000.0,11999.4,247.94049428137248,0.8275448275862068,-4.482758620688587e-05,-1.4551915228366852e-11
2023-10,CN01,Suzhou Manufacturing Hub,2813.47,21000.0,0.134,0.0,760000.0,570061.05,189938.95,189938.95,0.0,0.7501,760000.0,18186.53,270.12905771165146,0.866025238095238,-2.523809523810594e-05,-5.820766091346741e-11
2023-11,CZ01,Brno Smart Manufacturing,2522.26,14500.0,0.1739,0.0,620000.0,701916.66,-81916.66,0.0,81916.66,1.1321,620000.0,11977.74,245.81129621847072,0.8260510344827586,4.8965517241400525e-05,-2.9103830456733704e-11
2023-11,CN01,Suzhou Manufacturing Hub,2899.13,21000.0,0.1381,0.0,760000.0,610637.71,149362.29,149362.29,0.0,0.8035,760000.0,18100.87,262.14760980018144,0.8619461904761905,-4.619047619047745e-05,2.9103830456733704e-11
2023-12,CZ01,Brno Smart Manufacturing,2662.26,14500.0,0.1836,0.0,620000.0,782414.4,-162414.4,0.0,162414.4,1.262,620000.0,11837.74,232.88484220173837,0.8163958620689655,4.137931034486897e-06,-2.9103830456733704e-11
2023-12,CN01,Suzhou Manufacturing Hub,3196.84,21000.0,0.1522,0.0,760000.0,636962.86,123037.14,123037.14,0.0,0.8381,760000.0,17803.16,237.73476307854006,0.8477695238095238,3.0476190476191878e-05,1.4551915228366852e-11
2024-01,CZ01,Brno Smart Manufacturing,42.21,14500.0,0.0029,0.0,620000.0,38917.04,581082.96,581082.96,0.0,0.0628,620000.0,14457.79,14688.46244965648,0.9970889655172415,1.1034482758620883e-05,0.0
2024-01,CN01,Suzhou Manufacturing Hub,36.61,21000.0,0.0017,0.0,760000.0,39118.71,720881.29,720881.29,0.0,0.0515,760000.0,20963.39,20759.35536738596,0.9982566666666667,4.3333333333333375e-05,0.0
2024-02,CZ01,Brno Smart Manufacturing,2122.26,14500.0,0.1464,0.0,620000.0,607866.17,12133.83,12133.83,0.0,0.9804,620000.0,12377.74,292.1413964358749,0.8536372413793103,-3.724137931032656e-05,-4.18367562815547e-11
2024-02,CN01,Suzhou Manufacturing Hub,2597.52,21000.0,0.1237,0.0,760000.0,465821.44,294178.56,294178.56,0.0,0.6129,760000.0,18402.48,292.5867750777665,0.8763085714285714,-8.571428571427231e-06,0.0
2024-03,CZ01,Brno Smart Manufacturing,2470.53,14500.0,0.1704,0.0,620000.0,703112.81,-83112.81,0.0,83112.81,1.1341,620000.0,12029.47,250.95829639793888,0.8296186206896551,-1.862068965516328e-05,-5.820766091346741e-11
2024-03,CN01,Suzhou Manufacturing Hub,2977.78,21000.0,0.1418,0.0,760000.0,635805.27,124194.73,124194.73,0.0,0.8366,760000.0,18022.22,255.2236901315745,0.8582009523809524,-9.523809523792615e-07,-1.4551915228366852e-11
2024-04,CZ01,Brno Smart Manufacturing,2181.97,14500.0,0.1505,0.0,620000.0,606450.69,13549.31,13549.31,0.0,0.9781,620000.0,12318.03,284.14689477857166,0.8495193103448276,-1.931034482760552e-05,5.638867150992155e-11
2024-04,CN01,Suzhou Manufacturing Hub,2618.76,21000.0,0.1247,0.0,760000.0,565482.65,194517.35,194517.35,0.0,0.7441,760000.0,18381.239999999998,290.2136889214743,0.8752971428571428,2.857142857151662e-06,-2.9103830456733704e-11
2024-05,CZ01,Brno Smart Manufacturing,2300.4,14500.0,0.1586,0.0,620000.0,682300.47,-62300.47,0.0,62300.47,1.1005,620000.0,12199.6,269.5183446357155,0.841351724137931,4.827586206898604e-05,2.9103830456733704e-11
2024-05,CN01,Suzhou Manufacturing Hub,2632.24,21000.0,0.1253,0.0,760000.0,555873.99,204126.01,204126.01,0.0,0.7314,760000.0,18367.760000000002,288.72747165911926,0.8746552380952382,4.4761904761908555e-05,0.0
2024-06,CZ01,Brno Smart Manufacturing,2482.38,14500.0,0.1712,0.0,620000.0,716607.0,-96607.0,0.0,96607.0,1.1558,620000.0,12017.619999999999,249.76031066959933,0.8288013793103448,-1.37931034480121e-06,0.0
2024-06,CN01,Suzhou Manufacturing Hub,2842.74,21000.0,0.1354,0.0,760000.0,606209.87,153790.13,153790.13,0.0,0.7976,760000.0,18157.260000000002,267.34769975446227,0.8646314285714287,-3.142857142857114e-05,0.0
2024-07,CZ01,Brno Smart Manufacturing,1421.92,14500.0,0.0981,0.0,620000.0,429558.85,190441.15,190441.15,0.0,0.6928,620000.0,13078.08,436.03015640823673,0.9019365517241379,-3.6551724137925956e-05,2.9103830456733704e-11
2024-07,CN01,Suzhou Manufacturing Hub,1622.91,21000.0,0.0773,0.0,760000.0,368898.72,391101.28,391101.28,0.0,0.4854,760000.0,19377.09,468.29460660172157,0.9227185714285714,-1.8571428571423354e-05,0.0
2024-08,CZ01,Brno Smart Manufacturing,1093.07,14500.0,0.0754,0.0,620000.0,297748.45,322251.55,322251.55,0.0,0.4802,620000.0,13406.93,567.2097852836507,0.9246158620689655,-1.5862068965519227e-05,0.0
2024-08,CN01,Suzhou Manufacturing Hub,1219.3,21000.0,0.0581,0.0,760000.0,233028.57,526971.43,526971.43,0.0,0.3066,760000.0,19780.7,623.3084556712869,0.9419380952380952,-3.809523809523985e-05,-1.1641532182693481e-10
