month,seller,buyer,division,invoice,manufacturing_cost,markup,ending_ic_balance
2023-08,CN01,DE01,Hardware,2365799.11,2190554.73,175244.38,391255.69
2023-08,CZ01,DE01,Hardware,7206597.56,6672775.51,533822.04,627649.95
2023-08,CN01,ES01,Hardware,1575581.41,1458871.68,116709.73,506748.24
2023-08,CZ01,ES01,Hardware,6454033.88,5975957.3,478076.58,773196.04
2023-08,CN01,ES01,Spare Parts,941735.98,871977.76,69758.22,506748.24
2023-08,CZ01,ES01,Spare Parts,2279804.18,2110929.8,168874.38,773196.04
2023-08,CN01,JP01,Hardware,3397979.18,3146277.02,251702.16,708605.32
2023-08,CZ01,JP01,Hardware,835622.3,773724.35,61897.95,348241.04
2023-08,CN01,JP01,Spare Parts,3298678.65,3054332.08,244346.57,708605.32
2023-08,CZ01,JP01,Spare Parts,1148798.03,1063701.88,85096.15,348241.04
2023-08,CN01,US01,Hardware,7110674.24,6583957.63,526716.61,639074.89
2023-08,CZ01,US01,Hardware,3824410.62,3541120.94,283289.68,576689.03
2023-09,CN01,DE01,Hardware,1250974.34,1158309.58,92664.77,391255.69
2023-09,CZ01,DE01,Hardware,3903215.15,3614088.1,289127.05,627649.95
2023-09,CN01,ES01,Hardware,1039322.77,962335.9,76986.87,506748.24
2023-09,CZ01,ES01,Hardware,4235146.89,3921432.3,313714.58,773196.04
2023-09,CN01,ES01,Spare Parts,453947.07,420321.36,33625.71,506748.24
2023-09,CZ01,ES01,Spare Parts,1110711.71,1028436.77,82274.94,773196.04
2023-09,CN01,JP01,Hardware,3022946.06,2799024.13,223921.93,708605.32
2023-09,CZ01,JP01,Hardware,935614.64,866309.86,69304.79,348241.04
2023-09,CN01,JP01,Spare Parts,1634385.37,1513319.79,121065.58,708605.32
2023-09,CZ01,JP01,Spare Parts,583726.68,540487.66,43239.01,348241.04
2023-09,CN01,US01,Hardware,3922795.62,3632218.16,290577.45,639074.89
2023-09,CZ01,US01,Hardware,2035045.39,1884301.29,150744.1,576689.03
2023-10,CN01,DE01,Hardware,1000130.98,926047.2,74083.78,391255.69
2023-10,CZ01,DE01,Hardware,3152222.7,2918724.72,233497.98,627649.95
2023-10,CN01,ES01,Hardware,980987.15,908321.43,72665.71,506748.24
2023-10,CZ01,ES01,Hardware,3339216.58,3091867.21,247349.38,773196.04
2023-10,CN01,ES01,Spare Parts,367718.97,340480.53,27238.44,506748.24
2023-10,CZ01,ES01,Spare Parts,849674.12,786735.29,62938.82,773196.04
2023-10,CN01,JP01,Hardware,1995464.66,1847652.46,147812.2,708605.32
2023-10,CZ01,JP01,Hardware,582595.34,539440.13,43155.21,348241.04
2023-10,CN01,JP01,Spare Parts,1193118.26,1104739.13,88379.13,708605.32
2023-10,CZ01,JP01,Spare Parts,417813.1,386863.98,30949.12,348241.04
2023-10,CN01,US01,Hardware,2770515.75,2565292.36,205223.39,639074.89
2023-10,CZ01,US01,Hardware,1611933.43,1492530.95,119402.48,576689.03
2023-11,CN01,DE01,Hardware,843974.01,781457.42,62516.59,391255.69
2023-11,CZ01,DE01,Hardware,3201285.08,2964152.85,237132.23,627649.95
2023-11,CN01,ES01,Hardware,750206.88,694636.0,55570.88,506748.24
2023-11,CZ01,ES01,Hardware,2928579.37,2711647.56,216931.81,773196.04
2023-11,CN01,ES01,Spare Parts,394163.77,364966.46,29197.32,506748.24
2023-11,CZ01,ES01,Spare Parts,811469.56,751360.7,60108.86,773196.04
2023-11,CN01,JP01,Hardware,1958960.17,1813852.0,145108.16,708605.32
2023-11,CZ01,JP01,Hardware,471690.86,436750.8,34940.06,348241.04
2023-11,CN01,JP01,Spare Parts,1292796.95,1197034.21,95762.74,708605.32
2023-11,CZ01,JP01,Spare Parts,443990.15,411101.99,32888.16,348241.04
2023-11,CN01,US01,Hardware,2928248.94,2711341.61,216907.33,639074.89
2023-11,CZ01,US01,Hardware,1762102.75,1631576.62,130526.13,576689.03
2023-12,CN01,DE01,Hardware,1042250.44,965046.7,77203.74,391255.69
2023-12,CZ01,DE01,Hardware,3563698.89,3299721.19,263977.7,627649.95
2023-12,CN01,ES01,Hardware,893891.58,827677.39,66214.19,506748.24
2023-12,CZ01,ES01,Hardware,3077843.88,2849855.44,227988.44,773196.04
2023-12,CN01,ES01,Spare Parts,400161.02,370519.47,29641.56,506748.24
2023-12,CZ01,ES01,Spare Parts,881029.13,815767.71,65261.42,773196.04
2023-12,CN01,JP01,Hardware,2484068.1,2300063.06,184005.04,708605.32
2023-12,CZ01,JP01,Hardware,526164.0,487188.89,38975.11,348241.04
2023-12,CN01,JP01,Spare Parts,1411216.7,1306682.13,104534.57,708605.32
2023-12,CZ01,JP01,Spare Parts,410590.03,380175.95,30414.08,348241.04
2023-12,CN01,US01,Hardware,2890663.29,2676540.09,214123.21,639074.89
2023-12,CZ01,US01,Hardware,1790281.27,1657667.84,132613.43,576689.03
2024-01,CN01,DE01,Hardware,117482.66,108780.24,8702.42,391255.69
2024-01,CZ01,DE01,Hardware,427023.56,395392.19,31631.38,627649.95
2024-01,CN01,ES01,Hardware,14315.12,13254.74,1060.38,506748.24
2024-01,CZ01,ES01,Hardware,59169.86,54786.91,4382.95,773196.04
2024-01,CN01,ES01,Spare Parts,33497.85,31016.53,2481.32,506748.24
2024-01,CZ01,ES01,Spare Parts,82407.73,76303.45,6104.28,773196.04
2024-01,CN01,JP01,Spare Parts,66306.63,61395.03,4911.6,708605.32
2024-01,CZ01,JP01,Spare Parts,17032.44,15770.78,1261.66,348241.04
2024-01,CN01,US01,Hardware,631570.72,584787.71,46783.02,639074.89
2024-01,CZ01,US01,Hardware,360573.52,333864.37,26709.15,576689.03
2024-02,CN01,DE01,Hardware,801991.72,742584.93,59406.79,391255.69
2024-02,CZ01,DE01,Hardware,2792364.6,2585522.78,206841.82,627649.95
2024-02,CN01,ES01,Hardware,616193.78,570549.79,45643.98,506748.24
2024-02,CZ01,ES01,Hardware,2250906.37,2084172.57,166733.81,773196.04
2024-02,CN01,ES01,Spare Parts,289530.04,268083.37,21446.67,506748.24
2024-02,CZ01,ES01,Spare Parts,709075.71,656551.58,52524.13,773196.04
2024-02,CN01,JP01,Hardware,726191.52,672399.56,53791.96,708605.32
2024-02,CZ01,JP01,Hardware,152041.55,140779.22,11262.34,348241.04
2024-02,CN01,JP01,Spare Parts,1153432.83,1067993.36,85439.47,708605.32
2024-02,CZ01,JP01,Spare Parts,319912.39,296215.18,23697.21,348241.04
2024-02,CN01,US01,Hardware,2445502.29,2264353.97,181148.32,639074.89
2024-02,CZ01,US01,Hardware,1572234.61,1455772.79,116461.82,576689.03
2024-03,CN01,DE01,Hardware,865878.87,801739.69,64139.18,391255.69
2024-03,CZ01,DE01,Hardware,3085434.33,2856883.64,228550.69,627649.95
2024-03,CN01,ES01,Hardware,876458.74,811535.87,64922.87,506748.24
2024-03,CZ01,ES01,Hardware,3239646.96,2999673.11,239973.85,773196.04
2024-03,CN01,ES01,Spare Parts,332131.47,307529.14,24602.33,506748.24
2024-03,CZ01,ES01,Spare Parts,878493.83,813420.21,65073.62,773196.04
2024-03,CN01,JP01,Hardware,2563856.97,2373941.64,189915.33,708605.32
2024-03,CZ01,JP01,Hardware,603608.27,558896.55,44711.72,348241.04
2024-03,CN01,JP01,Spare Parts,1240853.06,1148938.02,91915.04,708605.32
2024-03,CZ01,JP01,Spare Parts,344415.44,318903.18,25512.25,348241.04
2024-03,CN01,US01,Hardware,2670143.75,2472355.33,197788.43,639074.89
2024-03,CZ01,US01,Hardware,1719063.22,1591725.2,127338.02,576689.03
2024-04,CN01,DE01,Hardware,868701.57,804353.3,64348.26,391255.69
2024-04,CZ01,DE01,Hardware,2729166.09,2527005.64,202160.45,627649.95
2024-04,CN01,ES01,Hardware,905474.08,838401.92,67072.15,506748.24
2024-04,CZ01,ES01,Hardware,2845749.53,2634953.27,210796.26,773196.04
2024-04,CN01,ES01,Spare Parts,278630.7,257991.39,20639.31,506748.24
2024-04,CZ01,ES01,Spare Parts,850361.41,787371.68,62989.73,773196.04
2024-04,CN01,JP01,Hardware,1759333.51,1629012.51,130321.0,708605.32
2024-04,CZ01,JP01,Hardware,447706.31,414542.88,33163.43,348241.04
2024-04,CN01,JP01,Spare Parts,1213629.86,1123731.35,89898.51,708605.32
2024-04,CZ01,JP01,Spare Parts,313839.03,290591.69,23247.34,348241.04
2024-04,CN01,US01,Hardware,2691828.58,2492433.87,199394.71,639074.89
2024-04,CZ01,US01,Hardware,1763401.67,1632779.32,130622.35,576689.03
2024-05,CN01,DE01,Hardware,1014528.19,939377.96,75150.24,391255.69
2024-05,CZ01,DE01,Hardware,3361445.24,3112449.3,248995.94,627649.95
2024-05,CN01,ES01,Hardware,892713.47,826586.55,66126.92,506748.24
2024-05,CZ01,ES01,Hardware,3063351.97,2836437.01,226914.96,773196.04
2024-05,CN01,ES01,Spare Parts,292727.83,271044.29,21683.54,506748.24
2024-05,CZ01,ES01,Spare Parts,898824.48,832244.89,66579.59,773196.04
2024-05,CN01,JP01,Hardware,1947283.78,1803040.53,144243.24,708605.32
2024-05,CZ01,JP01,Hardware,496408.22,459637.24,36770.98,348241.04
2024-05,CN01,JP01,Spare Parts,1298704.97,1202504.61,96200.37,708605.32
2024-05,CZ01,JP01,Spare Parts,327873.52,303586.59,24286.93,348241.04
2024-05,CN01,US01,Hardware,2540350.75,2352176.62,188174.13,639074.89
2024-05,CZ01,US01,Hardware,1628612.33,1507974.38,120637.95,576689.03
2024-06,CN01,DE01,Hardware,893708.87,827508.22,66200.66,391255.69
2024-06,CZ01,DE01,Hardware,3167264.97,2932652.75,234612.22,627649.95
2024-06,CN01,ES01,Hardware,778888.93,721193.45,57695.48,506748.24
2024-06,CZ01,ES01,Hardware,3026158.08,2801998.22,224159.86,773196.04
2024-06,CN01,ES01,Spare Parts,283312.67,262326.54,20986.12,506748.24
2024-06,CZ01,ES01,Spare Parts,858970.12,795342.71,63627.42,773196.04
2024-06,CN01,JP01,Hardware,1875188.1,1736285.28,138902.82,708605.32
2024-06,CZ01,JP01,Hardware,392073.42,363030.94,29042.48,348241.04
2024-06,CN01,JP01,Spare Parts,1230973.89,1139790.64,91183.25,708605.32
2024-06,CZ01,JP01,Spare Parts,341348.29,316063.23,25285.06,348241.04
2024-06,CN01,US01,Hardware,2881385.84,2667949.86,213435.99,639074.89
2024-06,CZ01,US01,Hardware,1556690.33,1441379.93,115310.39,576689.03
2024-07,CN01,DE01,Hardware,623423.55,577244.03,46179.52,391255.69
2024-07,CZ01,DE01,Hardware,2321131.45,2149195.79,171935.66,627649.95
2024-07,CN01,ES01,Hardware,355069.78,328768.32,26301.47,506748.24
2024-07,CZ01,ES01,Hardware,1507819.05,1396128.75,111690.3,773196.04
2024-07,CN01,ES01,Spare Parts,157870.04,146175.97,11694.08,506748.24
2024-07,CZ01,ES01,Spare Parts,553687.86,512673.94,41013.92,773196.04
2024-07,CN01,JP01,Hardware,858616.98,795015.72,63601.26,708605.32
2024-07,CZ01,JP01,Hardware,176191.57,163140.34,13051.23,348241.04
2024-07,CN01,JP01,Spare Parts,698941.08,647167.67,51773.41,708605.32
2024-07,CZ01,JP01,Spare Parts,190044.3,175966.94,14077.36,348241.04
2024-07,CN01,US01,Hardware,1995173.77,1847383.12,147790.65,639074.89
2024-07,CZ01,US01,Hardware,1069416.61,990200.57,79216.05,576689.03
2024-08,CN01,DE01,Hardware,499248.0,462266.67,36981.33,391255.69
2024-08,CZ01,DE01,Hardware,1574735.35,1458088.28,116647.06,627649.95
2024-08,CN01,ES01,Hardware,304558.5,281998.61,22559.89,506748.24
2024-08,CZ01,ES01,Hardware,902967.37,836080.9,66886.47,773196.04
2024-08,CN01,ES01,Spare Parts,131319.36,121592.0,9727.36,506748.24
2024-08,CZ01,ES01,Spare Parts,437085.28,404708.59,32376.69,773196.04
2024-08,CN01,JP01,Hardware,478443.86,443003.57,35440.29,708605.32
2024-08,CZ01,JP01,Hardware,120818.18,111868.68,8949.49,348241.04
2024-08,CN01,JP01,Spare Parts,696072.83,644511.88,51560.95,708605.32
2024-08,CZ01,JP01,Spare Parts,185854.97,172087.94,13767.03,348241.04
2024-08,CN01,US01,Hardware,1353441.6,1253186.67,100254.93,639074.89
2024-08,CZ01,US01,Hardware,742614.62,687606.13,55008.49,576689.03
2024-09,CN01,DE01,Hardware,1493629.32,1382990.11,110639.21,391255.69
2024-09,CZ01,DE01,Hardware,4404853.2,4078567.78,326285.42,627649.95
2024-09,CN01,ES01,Hardware,1597467.54,1479136.61,118330.93,506748.24
2024-09,CZ01,ES01,Hardware,4822094.38,4464902.21,357192.18,773196.04
2024-09,CN01,ES01,Spare Parts,362394.3,335550.28,26844.02,506748.24
2024-09,CZ01,ES01,Spare Parts,1304831.72,1208177.52,96654.2,773196.04
2024-09,CN01,JP01,Hardware,3774180.02,3494611.13,279568.89,708605.32
