contract_id,issue_month,seller,buyer,division,transaction_currency,transaction_amount,original_reporting_eur,receivable_journal_id,payable_journal_id,payment_terms_months,settlement_month
IC-2023-09-CN01-DE01-Hardware,2023-09,CN01,DE01,Hardware,CNY,21357384.4602,2769523.94,ICSALE-2023-09-CN01-DE01-Hardware,ICBUY-2023-09-DE01-CN01-Hardware,1,2023-10
IC-2023-09-CN01-ES01-Hardware,2023-09,CN01,ES01,Hardware,CNY,17592545.2144,2281317.51,ICSALE-2023-09-CN01-ES01-Hardware,ICBUY-2023-09-ES01-CN01-Hardware,1,2023-10
IC-2023-09-CN01-ES01-Spare Parts,2023-09,CN01,ES01,Spare Parts,CNY,9045060.2338,1172920.35,ICSALE-2023-09-CN01-ES01-SpareParts,ICBUY-2023-09-ES01-CN01-SpareParts,1,2023-10
IC-2023-09-CN01-JP01-Hardware,2023-09,CN01,JP01,Hardware,CNY,45441218.4106,5892600.87,ICSALE-2023-09-CN01-JP01-Hardware,ICBUY-2023-09-JP01-CN01-Hardware,2,2023-11
IC-2023-09-CN01-JP01-Spare Parts,2023-09,CN01,JP01,Spare Parts,CNY,31628038.6539,4101373.48,ICSALE-2023-09-CN01-JP01-SpareParts,ICBUY-2023-09-JP01-CN01-SpareParts,2,2023-11
IC-2023-09-CN01-US01-Hardware,2023-09,CN01,US01,Hardware,CNY,72794767.5542,9439678.9,ICSALE-2023-09-CN01-US01-Hardware,ICBUY-2023-09-US01-CN01-Hardware,1,2023-10
IC-2023-09-CZ01-DE01-Hardware,2023-09,CZ01,DE01,Hardware,CZK,233189142.0295,9426822.82,ICSALE-2023-09-CZ01-DE01-Hardware,ICBUY-2023-09-DE01-CZ01-Hardware,2,2023-11
IC-2023-09-CZ01-ES01-Hardware,2023-09,CZ01,ES01,Hardware,CZK,208049841.5967,8410550.24,ICSALE-2023-09-CZ01-ES01-Hardware,ICBUY-2023-09-ES01-CZ01-Hardware,2,2023-11
IC-2023-09-CZ01-ES01-Spare Parts,2023-09,CZ01,ES01,Spare Parts,CZK,70715573.0398,2858723.06,ICSALE-2023-09-CZ01-ES01-SpareParts,ICBUY-2023-09-ES01-CZ01-SpareParts,1,2023-10
IC-2023-09-CZ01-JP01-Hardware,2023-09,CZ01,JP01,Hardware,CZK,38675385.555,1563477.63,ICSALE-2023-09-CZ01-JP01-Hardware,ICBUY-2023-09-JP01-CZ01-Hardware,2,2023-11
