month,entity,division,product,product_family,product_subfamily,product_type,quality_tier,generation,age_0_30,age_31_60,age_61_90,age_91_180,age_180_plus,inventory_value,monthly_usage,coverage_months,months_since_sale,slow_moving_value,obsolescence_risk_value,stock_status
2023-09,DE01,Hardware,HW-CTL-MCU-E,Control Systems,Controllers,Compact Controller,Essential,G1 Legacy,151234.30080000003,58740.247147367976,0.0,0.0,0.0,209974.547947368,75617.15040000001,2.776811170966421,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-MCU-P,Control Systems,Controllers,Compact Controller,Professional,G2,63634.1616,15249.78964373325,0.0,0.0,0.0,78883.95124373325,31817.0808,2.479295688362876,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-MCU-X,Control Systems,Controllers,Compact Controller,Premium,G2,170917.71120000002,11297.172910494817,0.0,0.0,0.0,182214.88411049484,85458.85560000001,2.1321942919920733,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-RCK-E,Control Systems,Controllers,Rack Controller,Essential,G2,140040.01440000001,54392.32378410926,0.0,0.0,0.0,194432.33818410928,70020.00720000001,2.7768111709664214,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-RCK-P,Control Systems,Controllers,Rack Controller,Professional,G2,176230.62000000002,42233.288161758246,0.0,0.0,0.0,218463.90816175827,88115.31000000001,2.4792956883628765,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-RDN-E,Control Systems,Resilient Control,Redundant Controller,Essential,G2,154219.5504,59899.73476606948,0.0,0.0,0.0,214119.2851660695,77109.7752,2.776811170966421,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-RDN-P,Control Systems,Resilient Control,Redundant Controller,Professional,G2,194138.424,46524.854784381925,0.0,0.0,0.0,240663.27878438192,97069.212,2.4792956883628756,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-RDN-X,Control Systems,Resilient Control,Redundant Controller,Premium,G2,139124.3904,9195.725143878371,0.0,0.0,0.0,148320.11554387838,69562.1952,2.132194291992073,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-SAF-E,Control Systems,Resilient Control,Safety Controller,Essential,G2,197164.908,76579.95152848336,0.0,0.0,0.0,273744.85952848336,98582.454,2.7768111709664214,0,0.0,0.0,Healthy
2023-09,DE01,Hardware,HW-CTL-SAF-P,Control Systems,Resilient Control,Safety Controller,Professional,G2,42561.7632,10199.83479544086,0.0,0.0,0.0,52761.59799544086,21280.8816,2.479295688362876,0,0.0,0.0,Healthy
