month,entity,division,journal_id,account,debit,credit,counterparty,description
2023-08,DE01,Software,REV-000000,1100_AR,1604026.83,0.0,EXTERNAL,External sale
2023-08,DE01,Software,REV-000000,4000_REVENUE,0.0,1604026.83,EXTERNAL,External sale
2023-08,DE01,Software,COGS-000000,5000_VARIABLE_COGS,460664.79,0.0,EXTERNAL,Variable cost of sales
2023-08,DE01,Software,COGS-000000,2100_AP,0.0,460664.79,EXTERNAL,Variable cost of sales
2023-08,DE01,Software,OPEX-000000,6000_OPEX,368926.17,0.0,EXTERNAL,Operating expenses
2023-08,DE01,Software,OPEX-000000,2100_AP,0.0,368926.17,EXTERNAL,Operating expenses
2023-08,DE01,Software,CAPEX-000000,1500_PPE,16040.27,0.0,EXTERNAL,Capital expenditure
2023-08,DE01,Software,CAPEX-000000,1000_CASH,0.0,16040.27,EXTERNAL,Capital expenditure
2023-08,DE01,Software,DEP-000000,6100_DEPRECIATION,190.96,0.0,EXTERNAL,Depreciation
2023-08,DE01,Software,DEP-000000,1590_ACCUM_DEP,0.0,190.96,EXTERNAL,Depreciation
2023-08,DE01,Software,COLL-000000,1000_CASH,1315302.0,0.0,EXTERNAL,Customer collections
2023-08,DE01,Software,COLL-000000,1100_AR,0.0,1315302.0,EXTERNAL,Customer collections
2023-08,DE01,Software,PAY-000000,2100_AP,647080.95,0.0,EXTERNAL,Supplier payments
2023-08,DE01,Software,PAY-000000,1000_CASH,0.0,647080.95,EXTERNAL,Supplier payments
2023-08,US01,Software,REV-000001,1100_AR,1543967.34,0.0,EXTERNAL,External sale
2023-08,US01,Software,REV-000001,4000_REVENUE,0.0,1543967.34,EXTERNAL,External sale
2023-08,US01,Software,COGS-000001,5000_VARIABLE_COGS,462464.37,0.0,EXTERNAL,Variable cost of sales
2023-08,US01,Software,COGS-000001,2100_AP,0.0,462464.37,EXTERNAL,Variable cost of sales
2023-08,US01,Software,OPEX-000001,6000_OPEX,355112.49,0.0,EXTERNAL,Operating expenses
2023-08,US01,Software,OPEX-000001,2100_AP,0.0,355112.49,EXTERNAL,Operating expenses
2023-08,US01,Software,CAPEX-000001,1500_PPE,15439.67,0.0,EXTERNAL,Capital expenditure
