scenario,month,horizon_month,opening_cash,revenue,ebitda,personnel_cost,non_people_opex,opening_ar,ending_ar,opening_inventory,ending_inventory,opening_ap,ending_ap,opening_contract_liabilities,ending_contract_liabilities,customer_cash,supplier_cash,payroll_cash,interest_cash,tax_accrual,tax_payment,ending_tax_payable,operating_cash_flow,capex,scheduled_debt_repayment,rcf_draw,rcf_drawn,rcf_limit,undrawn_rcf,ending_cash,gross_debt,net_debt,ebitda_ttm,interest_ttm,net_leverage,interest_coverage,minimum_operating_cash,strategic_liquidity_buffer,liquidity_headroom,liquidity_shortfall,deployable_cash,covenant_status,customer_cash_identity_gap,supplier_cash_identity_gap,payroll_cash_identity_gap,cash_rollforward_gap,rcf_identity_gap
Base,2026-09,1,183328995.33,36727210.57,8930089.37,3559010.14,1264433.49,48251717.06,57424478.62,37117841.32,47789801.12,27861237.19,43113950.74,8648972.97,3505259.38,22410735.42,19657357.31,3559010.14,72231.15,1937052.64,5079138.89,1432577.63,-5957002.07,526376.48,451444.7,0.0,0.0,35000000.0,35000000.0,176394172.08,35664130.97,-140730041.11,94996553.5,821544.59,-1.4814225982419458,115.63164636018114,36000000.0,15000000.0,175394172.08,0.0,125394172.08,PASS,0.0,0.0,0.0,-0.0,0.0
Base,2026-10,2,176394172.08,38314168.63,9366630.75,3757085.25,1310782.57,57424478.62,59899141.53,47789801.12,49679740.65,43113950.74,44804353.57,3505259.38,3660429.5,35994675.84,25389989.33,3757085.25,71328.26,2042039.27,0.0,3474616.9,6776273.0,387629.43,0.0,0.0,0.0,35000000.0,35000000.0,182782815.65,35664130.97,-147118684.68,95555626.73,825677.31,-1.5396129952210507,115.72998987946029,36000000.0,15000000.0,181782815.65,0.0,131782815.65,PASS,0.0,-0.0,0.0,0.0,0.0
Base,2026-11,3,182782815.65,39914929.19,9831442.46,3939234.47,1356960.23,59899141.53,62394759.29,49679740.65,51573392.22,44804353.57,46497036.26,3660429.5,3817260.28,37576142.21,26345221.14,3939234.47,71328.26,2153594.08,0.0,5628210.98,7220358.34,333079.74,0.0,0.0,0.0,35000000.0,35000000.0,189670094.25,35664130.97,-154005963.28,96513071.57,829810.03,-1.5957005696197428,116.30742950889613,36000000.0,15000000.0,188670094.25,0.0,138670094.25,PASS,0.0,-0.0,0.0,0.0,0.0
Base,2026-12,4,189670094.25,42196527.72,10405190.11,4159892.72,1434851.28,62394759.29,65950510.15,51573392.22,54504998.43,46497036.26,49138507.89,3817260.28,4040819.25,38864335.83,27921579.47,4159892.72,71328.26,2291293.51,6177213.5,1742290.99,534321.88,231656.94,445801.64,0.0,0.0,35000000.0,35000000.0,189526957.55,35218329.33,-154308628.22,96973953.51,833942.75,-1.5912378802220084,116.28370593784766,36000000.0,15000000.0,188526957.55,0.0,138526957.55,PASS,0.0,0.0,0.0,0.0,0.0
Base,2027-01,5,189526957.55,31575913.1,6815362.57,4089225.72,1073952.48,65950510.15,49343000.33,54504998.43,40774039.96,49138507.89,36758328.03,4040819.25,3027805.17,47170408.84,19320546.2,4089225.72,70436.66,1429948.89,0.0,3172239.88,23690200.26,97633.89,0.0,0.0,0.0,35000000.0,35000000.0,213119523.92,35218329.33,-177901194.59,98646182.91,838023.82,-1.8034270495018387,117.71286275609684,36000000.0,15000000.0,212119523.92,0.0,162119523.92,PASS,0.0,-0.0,0.0,-0.0,0.0
Base,2027-02,6,213119523.92,33123848.32,7382510.66,4062390.5,1126858.75,49343000.33,51753307.35,40774039.96,42759807.88,36758328.03,38547341.97,3027805.17,3180497.72,30866233.85,21875701.14,4062390.5,70436.66,1566064.43,0.0,4738304.31,4857705.55,0.0,0.0,0.0,0.0,35000000.0,35000000.0,217977229.47,35218329.33,-182758900.14,98583724.57,842104.89,-1.8538445462184874,117.0682248027321,36000000.0,15000000.0,216977229.47,0.0,166977229.47,PASS,0.0,0.0,0.0,0.0,0.0
Base,2027-03,7,217977229.47,35765890.94,8328268.98,4035731.38,1217020.35,51753307.35,55871914.09,42759807.88,46156201.11,38547341.97,41607895.44,3180497.72,3438813.62,31905600.1,23737730.34,4035731.38,70436.66,1793046.42,5094453.57,1436897.16,-1032751.85,0.0,440229.12,0.0,0.0,35000000.0,35000000.0,216504248.5,34778100.21,-181726148.29,99625872.05,846185.96,-1.8240858980767134,117.7351985962991,36000000.0,15000000.0,215504248.5,0.0,165504248.5,PASS,0.0,-0.0,0.0,0.0,0.0
Base,2027-04,8,216504248.5,36613167.7,8654049.03,4009247.21,1246139.8,55871914.09,57185836.59,46156201.11,47234930.26,41607895.44,42579081.54,3438813.62,3525049.18,35385480.76,24057414.51,4009247.21,69556.2,1871444.95,0.0,3308342.11,7249262.84,0.0,0.0,0.0,0.0,35000000.0,35000000.0,223753511.34,34778100.21,-188975411.13,101410801.26,850216.02,-1.8634643330102407,119.27651193869531,36000000.0,15000000.0,222753511.34,0.0,172753511.34,PASS,-0.0,0.0,0.0,0.0,0.0
Base,2027-05,9,223753511.34,37465921.77,8981873.99,3982936.82,1275460.8,57185836.59,58507798.66,47234930.26,48319927.07,42579081.54,43555892.51,3525049.18,3612065.16,36230975.68,24609296.8,3982936.82,69556.2,1950122.94,0.0,5258465.05,7569185.86,0.0,0.0,0.0,0.0,35000000.0,35000000.0,231322697.2,34778100.21,-196544596.99,102176619.47,854246.08,-1.923577018005644,119.61028778733173,36000000.0,15000000.0,230322697.2,0.0,180322697.2,PASS,-0.0,-0.0,0.0,-0.0,0.0
Base,2027-06,10,231322697.2,38324187.5,9301246.74,3967314.0,1304984.83,58507798.66,59837844.77,48319927.07,49411220.82,43555892.51,44538356.64,3612065.16,3699869.31,37081945.54,25164456.38,3967314.0,69556.2,2026772.4,5682485.21,1602752.24,2198133.75,0.0,434726.25,0.0,0.0,35000000.0,35000000.0,233086104.7,34343373.96,-198742730.74,102830598.07,850656.81,-1.9327197786471069,120.8837651814014,36000000.0,15000000.0,232086104.7,0.0,182086104.7,PASS,0.0,0.0,0.0,0.0,0.0
