month,entity,functional_currency,account,local_balance
2023-09,DE01,EUR,1000_CASH,15947726.09
2023-09,DE01,EUR,1500_PPE,9000000.0
2023-09,DE01,EUR,1590_ACCUM_DEP,-2042500.0
2023-09,DE01,EUR,2500_DEBT,-7900000.0
2023-09,DE01,EUR,3000_SHARE_CAPITAL,-14020000.0
2023-09,ES01,EUR,1000_CASH,4000000.0
2023-09,ES01,EUR,1500_PPE,9000000.0
2023-09,ES01,EUR,1590_ACCUM_DEP,-2042500.0
2023-09,ES01,EUR,2500_DEBT,-1975000.0
2023-09,ES01,EUR,3000_SHARE_CAPITAL,-12020000.0
2023-09,CZ01,CZK,1000_CASH,260666592.17
2023-09,CZ01,CZK,1500_PPE,828932952.38
2023-09,CZ01,CZK,1590_ACCUM_DEP,-188121728.33
2023-09,CZ01,CZK,2500_DEBT,-337058766.66
2023-09,CZ01,CZK,3000_SHARE_CAPITAL,-524665798.1
2023-09,CN01,CNY,1000_CASH,86104741.48
2023-09,CN01,CNY,1500_PPE,265086666.67
2023-09,CN01,CNY,1590_ACCUM_DEP,-60159946.29
2023-09,CN01,CNY,2500_DEBT,-107788916.66
2023-09,CN01,CNY,3000_SHARE_CAPITAL,-167784266.67
2023-09,US01,USD,1000_CASH,5341904.76
2023-09,US01,USD,1500_PPE,9615428.57
2023-09,US01,USD,1590_ACCUM_DEP,-2182168.1
2023-09,US01,USD,2500_DEBT,-2110052.38
2023-09,US01,USD,3000_SHARE_CAPITAL,-12841939.05
2023-09,JP01,JPY,1000_CASH,631180952.37
2023-09,JP01,JPY,1500_PPE,1420157142.86
2023-09,JP01,JPY,1590_ACCUM_DEP,-322296773.81
2023-09,JP01,JPY,2500_DEBT,-311645595.24
2023-09,JP01,JPY,3000_SHARE_CAPITAL,-1896698761.91
2023-09,DE01,EUR,1100_AR,5427488.89
2023-09,DE01,EUR,4000_EXTERNAL_REVENUE,0.0
2023-09,DE01,EUR,5050_SERVICE_DELIVERY,0.0
2023-09,DE01,EUR,2100_AP,-610095.48
2023-09,DE01,EUR,5400_FIXED_PRODUCTION,0.0
2023-09,DE01,EUR,5300_VARIABLE_SELLING,0.0
2023-09,DE01,EUR,6000_OPEX,0.0
2023-09,DE01,EUR,5000_EXTERNAL_COGS,0.0
2023-09,DE01,EUR,1200_INVENTORY,8593099.28
2023-09,ES01,EUR,1100_AR,7426785.35
2023-09,ES01,EUR,4000_EXTERNAL_REVENUE,0.0
2023-09,ES01,EUR,5000_EXTERNAL_COGS,0.0
2023-09,ES01,EUR,1200_INVENTORY,10653306.72
2023-09,ES01,EUR,5300_VARIABLE_SELLING,0.0
2023-09,ES01,EUR,2100_AP,-1332565.12
2023-09,ES01,EUR,6000_OPEX,0.0
2023-09,ES01,EUR,5050_SERVICE_DELIVERY,0.0
