month,inflation,industrial_index,energy_index,policy_rate,EUR,USD,JPY,CNY,CZK,macro_source,inflation_source,industrial_index_source,energy_index_source,policy_rate_source,USD_source,JPY_source,CNY_source,CZK_source
2023-09,0.043,100.33225689952133,117.7,0.045,1.0,0.9359957211623758,0.0063373268551769925,0.1282599401453607,0.041016586326241944,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2023-10,0.028999999999999998,100.89235896755358,115.7,0.045,1.0,0.9467414879333901,0.0063276030176914015,0.12953375502458417,0.040676261333885605,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2023-11,0.024,101.17997867529299,106.2,0.045,1.0,0.9252211068168001,0.006178785980896317,0.12806176768314753,0.04084171052509449,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2023-12,0.028999999999999998,99.86025935765981,99.6,0.045,1.0,0.9171743307040958,0.006360812041351973,0.12841976772243546,0.04085371360256651,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-01,0.027999999999999997,100.33314616495804,101.2,0.045,1.0,0.916999078832774,0.0062712366878748494,0.12787523097463638,0.040459918933035126,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-02,0.026000000000000002,100.46655660675694,102.2,0.045,1.0,0.9263793126265746,0.006196664424064306,0.12878197395783195,0.039632138267094226,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-03,0.024,100.89978454670015,104.2,0.045,1.0,0.9197770460440389,0.006143543903300619,0.1277189773796919,0.03953842838701004,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-04,0.024,100.82956075450615,109.6,0.045,1.0,0.9321608820905177,0.006059521817164029,0.12876981292199002,0.039560017255702795,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-05,0.026000000000000002,101.54328767542835,102.6,0.045,1.0,0.9248788198546493,0.005933437617994499,0.1278669068239665,0.04029252372222334,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
2024-06,0.025,102.36630715741299,103.8,0.0425,1.0,0.9294544102611766,0.0058888306548968575,0.12812168485140446,0.040357160873732534,official_public_sources_with_deterministic_fallback,Eurostat_HICP,deterministic_fallback,World_Bank_Pink_Sheet,ECB_MRO,ECB_EXR,ECB_EXR,ECB_EXR,ECB_EXR
