month,entity,division,action_revenue_impact,action_gross_profit_impact,action_opex_impact,action_ebit_impact,active_action_count
2023-09,DE01,Hardware,0.0,0.0,0.0,0.0,0
2023-09,DE01,Software,0.0,0.0,0.0,0.0,0
2023-09,ES01,Events,0.0,0.0,0.0,0.0,0
2023-09,ES01,Hardware,0.0,0.0,0.0,0.0,0
2023-09,ES01,Spare Parts,0.0,0.0,0.0,0.0,0
2023-09,JP01,Hardware,0.0,0.0,0.0,0.0,0
2023-09,JP01,Software,0.0,0.0,0.0,0.0,0
2023-09,JP01,Spare Parts,0.0,0.0,0.0,0.0,0
2023-09,US01,Events,0.0,0.0,0.0,0.0,0
2023-09,US01,Hardware,0.0,0.0,0.0,0.0,0
2023-09,US01,Software,0.0,0.0,0.0,0.0,0
2023-10,DE01,Hardware,0.0,0.0,0.0,0.0,0
2023-10,DE01,Software,0.0,0.0,0.0,0.0,0
2023-10,ES01,Events,0.0,0.0,0.0,0.0,0
2023-10,ES01,Hardware,0.0,0.0,0.0,0.0,0
2023-10,ES01,Spare Parts,0.0,0.0,0.0,0.0,0
2023-10,JP01,Hardware,0.0,0.0,0.0,0.0,0
2023-10,JP01,Software,0.0,0.0,0.0,0.0,0
2023-10,JP01,Spare Parts,0.0,0.0,0.0,0.0,0
2023-10,US01,Events,0.0,0.0,0.0,0.0,0
2023-10,US01,Hardware,0.0,0.0,0.0,0.0,0
2023-10,US01,Software,0.0,0.0,0.0,0.0,0
2023-11,DE01,Hardware,0.0,0.0,0.0,0.0,0
2023-11,DE01,Software,0.0,0.0,0.0,0.0,0
2023-11,ES01,Events,0.0,0.0,0.0,0.0,0
2023-11,ES01,Hardware,0.0,0.0,0.0,0.0,0
2023-11,ES01,Spare Parts,0.0,0.0,0.0,0.0,0
2023-11,JP01,Hardware,0.0,0.0,0.0,0.0,0
2023-11,JP01,Software,0.0,0.0,0.0,0.0,0
2023-11,JP01,Spare Parts,0.0,0.0,0.0,0.0,0
2023-11,US01,Events,0.0,0.0,0.0,0.0,0
2023-11,US01,Hardware,0.0,0.0,0.0,0.0,0
