snapshot_month,plan_id,action_id,scope_level,entity,division,trigger_metric,benefit_unit,baseline_metric_value,current_metric_value,observed_metric_improvement,expected_benefit_eur,directional_realized_benefit_eur,realization_pct,execution_status,attribution_method,portfolio_additive
2026-08,PLN-ACT-202608-CASH-CONVERSION-GROUP-ALL-ALL-FREE-CASH-FLOW-CYCLE-2,ACT-202608-CASH-CONVERSION-GROUP-ALL-ALL-FREE-CASH-FLOW-CYCLE-2,Group,All,All,Free cash flow,EUR,6992562.93,6992562.93,0.0,278470.78,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,ACT-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,Division,All,Events,Mix effect,EUR,-2731077.3311,-2731077.3311,0.0,478581.67,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,Division,All,Hardware,EBIT,EUR,1950798.4552,1950798.4552,0.0,288571.98,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,Division,All,Hardware,OPEX,EUR,2230893.64,2230893.64,0.0,112332.01,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-US01-ALL-OPEX,ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-US01-ALL-OPEX,Entity,US01,All,OPEX,EUR,1615053.88,1615053.88,0.0,98959.45,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-MONTHLY-P-L-VS-BUDGET-GROUP-ALL-ALL-OPEX,ACT-202608-MONTHLY-P-L-VS-BUDGET-GROUP-ALL-ALL-OPEX,Group,All,All,OPEX,EUR,4285345.9,4285345.9,0.0,249785.47,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-COMMERCIAL-DRIVERS-GROUP-ALL-ALL-MIX-EFFECT,ACT-202608-COMMERCIAL-DRIVERS-GROUP-ALL-ALL-MIX-EFFECT,Group,All,All,Mix effect,EUR,-2730725.9076,-2730725.9076,0.0,332025.4,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-FORECAST-DISCIPLINE-GROUP-ALL-ALL-ONE-MONTH-REVENUE-MAPE,ACT-202608-FORECAST-DISCIPLINE-GROUP-ALL-ALL-ONE-MONTH-REVENUE-MAPE,Group,All,All,One-month revenue MAPE,Non-financial,0.1255,0.1255,0.0,0.0,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-FX-TRANSLATION-ENTITY-JP01-ALL-REVENUE-FX-EFFECT,ACT-202608-FX-TRANSLATION-ENTITY-JP01-ALL-REVENUE-FX-EFFECT,Entity,JP01,All,Revenue FX effect,EUR,-459105.32,-459105.32,0.0,0.0,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-WORKFORCE-PRODUCTIVITY-GROUP-ALL-ALL-REVENUE-PER-FTE,ACT-202608-WORKFORCE-PRODUCTIVITY-GROUP-ALL-ALL-REVENUE-PER-FTE,Group,All,All,Revenue per FTE,Non-financial,99820.4944,99820.4944,0.0,0.0,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-CASH-CONVERSION-GROUP-ALL-ALL-FREE-CASH-FLOW,ACT-202608-CASH-CONVERSION-GROUP-ALL-ALL-FREE-CASH-FLOW,Group,All,All,Free cash flow,EUR,6992562.93,6992562.93,0.0,278470.78,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
2026-08,PLN-ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-CZ01-ALL-EBIT,ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-CZ01-ALL-EBIT,Entity,CZ01,All,EBIT,EUR,-527489.35,-527489.35,0.0,111604.9,0.0,0.0,Approved,Directional trigger improvement; non-additive,False
