change_id,action_id,change_month,change_type,field_name,previous_value,new_value,evidence
CHG-202608-ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-CZ01-ALL-EBIT-MIGRATED-SCHEMA-VERSION,ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-CZ01-ALL-EBIT,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT-MIGRATED-SCHEMA-VERSION,ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-US01-ALL-OPEX-MIGRATED-SCHEMA-VERSION,ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-US01-ALL-OPEX,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT-MIGRATED-SCHEMA-VERSION,ACT-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-MONTHLY-P-L-VS-BUDGET-GROUP-ALL-ALL-OPEX-MIGRATED-SCHEMA-VERSION,ACT-202608-MONTHLY-P-L-VS-BUDGET-GROUP-ALL-ALL-OPEX,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX-MIGRATED-SCHEMA-VERSION,ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-GROSS-PROFIT-MIGRATED-SCHEMA-VERSION,ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-GROSS-PROFIT,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-FORECAST-DISCIPLINE-GROUP-ALL-ALL-ONE-MONTH-REVENUE-MAPE-MIGRATED-SCHEMA-VERSION,ACT-202608-FORECAST-DISCIPLINE-GROUP-ALL-ALL-ONE-MONTH-REVENUE-MAPE,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-WORKFORCE-PRODUCTIVITY-GROUP-ALL-ALL-REVENUE-PER-FTE-MIGRATED-SCHEMA-VERSION,ACT-202608-WORKFORCE-PRODUCTIVITY-GROUP-ALL-ALL-REVENUE-PER-FTE,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-FX-TRANSLATION-ENTITY-JP01-ALL-REVENUE-FX-EFFECT-MIGRATED-SCHEMA-VERSION,ACT-202608-FX-TRANSLATION-ENTITY-JP01-ALL-REVENUE-FX-EFFECT,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-COMMERCIAL-DRIVERS-GROUP-ALL-ALL-MIX-EFFECT-MIGRATED-SCHEMA-VERSION,ACT-202608-COMMERCIAL-DRIVERS-GROUP-ALL-ALL-MIX-EFFECT,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
CHG-202608-ACT-202608-FY-OUTLOOK-GROUP-ALL-ALL-FY-EBIT-OUTLOOK-MIGRATED-SCHEMA-VERSION,ACT-202608-FY-OUTLOOK-GROUP-ALL-ALL-FY-EBIT-OUTLOOK,2026-08,Migrated,schema_version,0.16,0.17,Backward-compatible migration from the v0.16 action register.
