snapshot_month,action_id,action_key,review_id,origin_review_id,review_month,scope_level,entity,division,priority,owner_role,opened_month,last_seen_month,due_month,closed_month,cancelled_month,status,age_months,carry_forward_months,overdue_months,overdue,escalation_level,occurrence_count,action,expected_outcome,closure_evidence,trigger_metric,trigger_value,source_dataset
2026-08,ACT-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,DIVISION|ALL|EVENTS|MIX-EFFECT|PRICE-VOLUME-MIX-CSV,REV-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,REV-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,2026-08,Division,All,Events,P1,Commercial Director,2026-08,2026-08,2026-09,,,Open,0,0,0,False,None,1,"Correct the adverse events mix effect through portfolio, pricing and demand actions.",Return mix effect to the stated benchmark or tolerance.,,Mix effect,-3001569.2848,price_volume_mix.csv
2026-08,ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,DIVISION|ALL|HARDWARE|EBIT|BUDGET-PERFORMANCE-CSV,REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,2026-08,Division,All,Hardware,P1,CFO,2026-08,2026-08,2026-09,,,Open,0,0,0,False,None,1,"Own the integrated Hardware EBIT recovery bridge across revenue, margin and OPEX.",Return ebit to the stated benchmark or tolerance.,,EBIT,-1126183.105,budget_performance.csv
2026-08,ACT-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,DIVISION|ALL|HARDWARE|OPEX|BUDGET-PERFORMANCE-CSV,REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,2026-08,Division,All,Hardware,P1,Financial Controller,2026-08,2026-08,2026-09,,,Open,0,0,0,False,None,1,Review Hardware discretionary spend and commit an OPEX recovery plan without disrupting critical operations.,Return opex to the stated benchmark or tolerance.,,OPEX,438254.87,budget_performance.csv
2026-08,ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-CZ01-ALL-EBIT-CYCLE-2,ENTITY|CZ01|ALL|EBIT|BUDGET-PERFORMANCE-CSV,REV-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-CZ01-ALL-EBIT,REV-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-CZ01-ALL-EBIT,2026-08,Entity,CZ01,All,P1,CFO,2026-08,2026-08,2026-09,,,Open,0,0,0,False,None,1,"Own the integrated CZ01 EBIT recovery bridge across revenue, margin and OPEX.",Return ebit to the stated benchmark or tolerance.,,EBIT,-365698.36,budget_performance.csv
2026-08,ACT-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-US01-ALL-OPEX,ENTITY|US01|ALL|OPEX|BUDGET-PERFORMANCE-CSV,REV-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-US01-ALL-OPEX,REV-202608-MONTHLY-P-L-VS-BUDGET-ENTITY-US01-ALL-OPEX,2026-08,Entity,US01,All,P1,Financial Controller,2026-08,2026-08,2026-09,,,Open,0,0,0,False,None,1,Review US01 discretionary spend and commit an OPEX recovery plan without disrupting critical operations.,Return opex to the stated benchmark or tolerance.,,OPEX,325429.39,budget_performance.csv
2026-08,ACT-202608-MONTHLY-P-L-VS-BUDGET-GROUP-ALL-ALL-OPEX,GROUP|ALL|ALL|OPEX|BUDGET-PERFORMANCE-CSV,REV-202608-MONTHLY-P-L-VS-BUDGET-GROUP-ALL-ALL-OPEX,REV-202608-MONTHLY-P-L-VS-BUDGET-GROUP-ALL-ALL-OPEX,2026-08,Group,All,All,P1,Financial Controller,2026-08,2026-08,2026-09,,,Open,0,0,0,False,None,1,Review Group discretionary spend and commit an OPEX recovery plan without disrupting critical operations.,Return opex to the stated benchmark or tolerance.,,OPEX,940397.6,budget_performance.csv
2026-08,ACT-202608-COMMERCIAL-DRIVERS-GROUP-ALL-ALL-MIX-EFFECT,GROUP|ALL|ALL|MIX-EFFECT|PRICE-VOLUME-MIX-CSV,REV-202608-COMMERCIAL-DRIVERS-GROUP-ALL-ALL-MIX-EFFECT,REV-202608-COMMERCIAL-DRIVERS-GROUP-ALL-ALL-MIX-EFFECT,2026-08,Group,All,All,P2,Commercial Director,2026-08,2026-08,2026-10,,,Open,0,0,0,False,None,1,"Correct the adverse group mix effect through portfolio, pricing and demand actions.",Return mix effect to the stated benchmark or tolerance.,,Mix effect,-3016371.0072,price_volume_mix.csv
2026-08,ACT-202608-FORECAST-DISCIPLINE-GROUP-ALL-ALL-ONE-MONTH-REVENUE-MAPE,GROUP|ALL|ALL|ONE-MONTH-REVENUE-MAPE|FORECAST-ACCURACY-CSV,REV-202608-FORECAST-DISCIPLINE-GROUP-ALL-ALL-ONE-MONTH-REVENUE-MAPE,REV-202608-FORECAST-DISCIPLINE-GROUP-ALL-ALL-ONE-MONTH-REVENUE-MAPE,2026-08,Group,All,All,P2,FP&A Director,2026-08,2026-08,2026-10,,,Open,0,0,0,False,None,1,Recalibrate forecast drivers and document the largest sources of one-month forecast error.,Return one-month revenue mape to the stated benchmark or tolerance.,,One-month revenue MAPE,0.0749,forecast_accuracy.csv
2026-08,ACT-202608-FX-TRANSLATION-ENTITY-JP01-ALL-REVENUE-FX-EFFECT,ENTITY|JP01|ALL|REVENUE-FX-EFFECT|CONSTANT-CURRENCY-ANALYSIS-CSV,REV-202608-FX-TRANSLATION-ENTITY-JP01-ALL-REVENUE-FX-EFFECT,REV-202608-FX-TRANSLATION-ENTITY-JP01-ALL-REVENUE-FX-EFFECT,2026-08,Entity,JP01,All,P2,Treasury Director,2026-08,2026-08,2026-10,,,Open,0,0,0,False,None,1,"Review natural hedges, pricing clauses and exposure concentration behind the adverse jp01 FX translation effect.",Return revenue fx effect to the stated benchmark or tolerance.,,Revenue FX effect,-448146.37,constant_currency_analysis.csv
2026-08,ACT-202608-FY-OUTLOOK-GROUP-ALL-ALL-FY-EBIT-OUTLOOK-CYCLE-2,GROUP|ALL|ALL|FY-EBIT-OUTLOOK|FY-PLAN-BRIDGE-CSV,REV-202608-FY-OUTLOOK-GROUP-ALL-ALL-FY-EBIT-OUTLOOK,REV-202608-FY-OUTLOOK-GROUP-ALL-ALL-FY-EBIT-OUTLOOK,2026-08,Group,All,All,P2,CFO,2026-08,2026-08,2026-10,,,Open,0,0,0,False,None,1,"Approve a full-year EBIT recovery plan with quantified revenue, margin, cost and cash levers.",Return fy ebit outlook to the stated benchmark or tolerance.,,FY EBIT outlook,-6701429.3333,fy_plan_bridge.csv
