month,entity,division,revenue,variable_production_cost,variable_selling_cost,fixed_production_cost,marginal_contribution,gross_profit,opex,depreciation,ebit,interest,ebt,tax,net_income,factory_absorption_variance,inventory_provision_expense,credit_loss_expense
2023-09,DE01,Hardware,4807534.89,3000957.63,268810.66,264714.4,1537766.76,1273052.43,536073.02,55360.94807648699,681618.461923513,26573.255076713755,655045.2068467992,153902.75360575353,501142.4532410457,0.0,0.0,0.0
2023-09,DE01,Software,619954.0,121024.95,22093.74,27844.52,476835.16,448990.56,108261.3,7139.051923513012,333590.208076487,3426.744923286246,330163.46315320075,19846.476394246478,310316.98675895424,0.0,0.0,0.0
2023-09,ES01,Events,1316316.14,556948.09,91268.42,69378.8,668099.63,598720.83,173295.87,11077.438605385303,414347.52139461465,1329.2926326462364,413018.22876196844,59497.61575408361,353520.6130078848,0.0,0.0,0.0
2023-09,ES01,Hardware,4284186.7,2676110.54,239635.38,235233.6,1368440.92,1133207.56,364272.24,36053.50850082129,732881.8114991788,4326.421020098555,728555.3904790801,193645.64966540295,534909.7408136772,0.0,0.0,0.0
2023-09,ES01,Spare Parts,1826282.51,873622.39,139895.57,63643.67,812764.48,749120.78,166878.09,15369.05289379341,566873.6371062066,1844.2863472552092,565029.3507589514,82548.14458051344,482481.2061784379,0.0,0.0,0.0
2023-09,JP01,Hardware,3094816.25,1825974.53,177641.06,165770.66,1091200.8,925430.18,328703.19,31620.06500181549,565106.9249981845,3794.4078002178585,561312.5171979667,156676.52660375487,404635.99059421185,0.0,0.0,0.0
2023-09,JP01,Software,514024.04,100795.73,18313.75,23121.4,394914.42,371792.88,85767.13,5251.837991123319,280773.9120088767,630.2205589347982,280143.6914499419,26022.70851396413,254120.98293597775,0.0,0.0,0.0
2023-09,JP01,Spare Parts,2508351.93,1200539.04,191636.37,87726.61,1116176.55,1028450.0,288444.79,25628.09700706119,714377.1129929387,3075.371640847343,711301.7413520914,126986.49488228095,584315.2464698105,0.0,0.0,0.0
2023-09,US01,Events,1134485.99,591720.01,75292.08,62726.7,467473.89,404747.18,237633.12,9484.86208553622,157629.1979144638,1138.1834502643464,156491.01446419946,31966.383001392285,124524.63146280717,0.0,0.0,0.0
2023-09,US01,Hardware,5568954.21,3514775.92,311897.05,306550.51,1742281.37,1435730.95,748778.6900000001,46559.20223617422,640393.0577638256,5587.104268340906,634805.9534954848,156916.28170223243,477889.67179325235,0.0,0.0,0.0
2023-09,US01,Software,772195.58,149815.83,27578.93,34631.8,594800.85,560169.0,160859.06,6455.935678289558,392854.00432171044,774.712281394747,392079.2920403157,21758.135296375283,370321.15674394043,0.0,0.0,0.0
2023-10,DE01,Hardware,5038567.95,3133264.17,281546.33,277594.42,1623757.5,1346163.06,543243.9099999999,55554.68714434619,747364.462855654,26332.921706420097,721031.5411492338,167632.0107468419,553399.5304023919,0.0,0.0,0.0
2023-10,DE01,Software,629909.6,122456.39,22437.51,28302.04,485015.57,456713.5,108851.86000000002,6945.312855653808,340916.3271443462,3292.0782935799048,337624.2488507663,20956.949253158105,316667.29959760816,0.0,0.0,0.0
