review_id,review_month,scope_level,entity,division,category,metric,comparison,unit,actual_value,benchmark_value,variance,materiality_pct,favorable,severity,action_required,source_dataset,source_key,headline,explanation
REV-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,2026-08,Division,All,Events,Commercial Drivers,Mix effect,Prior year,EUR,-2731077.3311,0.0,-2731077.3311,0.519939,False,Critical,True,price_volume_mix.csv,2026-08|Events|mix_effect,Events mix reduced year-on-year revenue by €2.7m.,"The mix effect explains €2.7m of the revenue bridge versus the prior year. Price, volume and mix reconcile exactly to the reported revenue change."
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SOFTWARE-OPEX,2026-08,Division,All,Software,Monthly P&L vs Budget,OPEX,Budget,EUR,544448.05,403897.16,140550.89,0.347987,False,Critical,False,budget_performance.csv,2026-08|All|Software|opex,Software OPEX was €140.6k above budget.,Actual opex was €544.4k versus €403.9k budget. The variance represents 34.8% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,2026-08,Division,All,Hardware,Monthly P&L vs Budget,OPEX,Budget,EUR,2230893.64,1765011.63,465882.01,0.263954,False,Critical,True,budget_performance.csv,2026-08|All|Hardware|opex,Hardware OPEX was €465.9k above budget.,Actual opex was €2.2m versus €1.8m budget. The variance represents 26.4% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SPARE-PARTS-OPEX,2026-08,Division,All,Spare Parts,Monthly P&L vs Budget,OPEX,Budget,EUR,541681.91,435645.56,106036.35,0.243401,False,Critical,False,budget_performance.csv,2026-08|All|Spare Parts|opex,Spare Parts OPEX was €106.0k above budget.,Actual opex was €541.7k versus €435.6k budget. The variance represents 24.3% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-EVENTS-OPEX,2026-08,Division,All,Events,Monthly P&L vs Budget,OPEX,Budget,EUR,968322.3,782499.15,185823.15,0.237474,False,Critical,False,budget_performance.csv,2026-08|All|Events|opex,Events OPEX was €185.8k above budget.,Actual opex was €968.3k versus €782.5k budget. The variance represents 23.7% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,2026-08,Division,All,Hardware,Monthly P&L vs Budget,EBIT,Budget,EUR,1950798.4552,2427407.57,-476609.1148,0.196345,False,Critical,True,budget_performance.csv,2026-08|All|Hardware|ebit,Hardware ebit missed budget by €476.6k.,Actual ebit was €2.0m versus €2.4m budget. The variance represents 19.6% of the benchmark.
REV-202608-FX-TRANSLATION-DIVISION-ALL-HARDWARE-EBIT-FX-EFFECT,2026-08,Division,All,Hardware,FX Translation,EBIT FX effect,Prior-year FX,EUR,-88058.33,0.0,-88058.33,0.04319,False,Medium,False,constant_currency_analysis.csv,2026-08|All|Hardware|ebit_fx_effect,FX translation reduced hardware ebit by €88.1k.,Reported performance differs from the close translated at prior-year FX by €88.1k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-FX-TRANSLATION-DIVISION-ALL-SPARE-PARTS-REVENUE-FX-EFFECT,2026-08,Division,All,Spare Parts,FX Translation,Revenue FX effect,Prior-year FX,EUR,-187188.72,0.0,-187188.72,0.04007,False,Medium,False,constant_currency_analysis.csv,2026-08|All|Spare Parts|revenue_fx_effect,FX translation reduced spare parts revenue by €187.2k.,Reported performance differs from the close translated at prior-year FX by €187.2k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-FX-TRANSLATION-DIVISION-ALL-SPARE-PARTS-EBIT-FX-EFFECT,2026-08,Division,All,Spare Parts,FX Translation,EBIT FX effect,Prior-year FX,EUR,-56412.04,0.0,-56412.04,0.038621,False,Medium,False,constant_currency_analysis.csv,2026-08|All|Spare Parts|ebit_fx_effect,FX translation reduced spare parts ebit by €56.4k.,Reported performance differs from the close translated at prior-year FX by €56.4k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-FX-TRANSLATION-DIVISION-ALL-SOFTWARE-EBIT-FX-EFFECT,2026-08,Division,All,Software,FX Translation,EBIT FX effect,Prior-year FX,EUR,-29082.04,0.0,-29082.04,0.018523,False,Low,False,constant_currency_analysis.csv,2026-08|All|Software|ebit_fx_effect,FX translation reduced software ebit by €29.1k.,Reported performance differs from the close translated at prior-year FX by €29.1k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-FX-TRANSLATION-DIVISION-ALL-SOFTWARE-REVENUE-FX-EFFECT,2026-08,Division,All,Software,FX Translation,Revenue FX effect,Prior-year FX,EUR,-52212.67,0.0,-52212.67,0.017842,False,Low,False,constant_currency_analysis.csv,2026-08|All|Software|revenue_fx_effect,FX translation reduced software revenue by €52.2k.,Reported performance differs from the close translated at prior-year FX by €52.2k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-FX-TRANSLATION-DIVISION-ALL-HARDWARE-REVENUE-FX-EFFECT,2026-08,Division,All,Hardware,FX Translation,Revenue FX effect,Prior-year FX,EUR,-198290.33,0.0,-198290.33,0.011131,False,Low,False,constant_currency_analysis.csv,2026-08|All|Hardware|revenue_fx_effect,FX translation reduced hardware revenue by €198.3k.,Reported performance differs from the close translated at prior-year FX by €198.3k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-SPARE-PARTS-MIX-EFFECT,2026-08,Division,All,Spare Parts,Commercial Drivers,Mix effect,Prior year,EUR,-35902.9505,0.0,-35902.9505,0.008006,False,Low,False,price_volume_mix.csv,2026-08|Spare Parts|mix_effect,Spare Parts mix reduced year-on-year revenue by €35.9k.,"The mix effect explains €35.9k of the revenue bridge versus the prior year. Price, volume and mix reconcile exactly to the reported revenue change."
REV-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-PRICE-EFFECT,2026-08,Division,All,Events,Commercial Drivers,Price effect,Prior year,EUR,2907698.42,0.0,2907698.42,0.553564,True,Critical,False,price_volume_mix.csv,2026-08|Events|price_effect,Events price added year-on-year revenue by €2.9m.,"The price effect explains €2.9m of the revenue bridge versus the prior year. Price, volume and mix reconcile exactly to the reported revenue change."
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SOFTWARE-REVENUE,2026-08,Division,All,Software,Monthly P&L vs Budget,Revenue,Budget,EUR,2874140.36,2200358.96,673781.4,0.306214,True,Critical,False,budget_performance.csv,2026-08|All|Software|revenue,Software revenue exceeded budget by €673.8k.,Actual revenue was €2.9m versus €2.2m budget. The variance represents 30.6% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SOFTWARE-GROSS-PROFIT,2026-08,Division,All,Software,Monthly P&L vs Budget,Gross profit,Budget,EUR,2110919.39,1668388.06,442531.33,0.265245,True,Critical,False,budget_performance.csv,2026-08|All|Software|gross_profit,Software gross profit exceeded budget by €442.5k.,Actual gross profit was €2.1m versus €1.7m budget. The variance represents 26.5% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SOFTWARE-EBIT,2026-08,Division,All,Software,Monthly P&L vs Budget,EBIT,Budget,EUR,1540990.5498,1244318.56,296671.9898,0.238421,True,Critical,False,budget_performance.csv,2026-08|All|Software|ebit,Software ebit exceeded budget by €296.7k.,Actual ebit was €1.5m versus €1.2m budget. The variance represents 23.8% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-EVENTS-REVENUE,2026-08,Division,All,Events,Monthly P&L vs Budget,Revenue,Budget,EUR,5252683.88,4349838.12,902845.76,0.207558,True,Critical,False,budget_performance.csv,2026-08|All|Events|revenue,Events revenue exceeded budget by €902.8k.,Actual revenue was €5.3m versus €4.3m budget. The variance represents 20.8% of the benchmark.
REV-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-VOLUME-EFFECT,2026-08,Division,All,Events,Commercial Drivers,Volume effect,Prior year,EUR,793134.8111,0.0,793134.8111,0.150996,True,Critical,False,price_volume_mix.csv,2026-08|Events|volume_effect,Events volume added year-on-year revenue by €793.1k.,"The volume effect explains €793.1k of the revenue bridge versus the prior year. Price, volume and mix reconcile exactly to the reported revenue change."
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-EVENTS-GROSS-PROFIT,2026-08,Division,All,Events,Monthly P&L vs Budget,Gross profit,Budget,EUR,1998469.44,1770940.14,227529.3,0.128479,True,High,False,budget_performance.csv,2026-08|All|Events|gross_profit,Events gross profit exceeded budget by €227.5k.,Actual gross profit was €2.0m versus €1.8m budget. The variance represents 12.8% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-REVENUE,2026-08,Division,All,Hardware,Monthly P&L vs Budget,Revenue,Budget,EUR,17615788.58,15698383.79,1917404.79,0.12214,True,High,False,budget_performance.csv,2026-08|All|Hardware|revenue,Hardware revenue exceeded budget by €1.9m.,Actual revenue was €17.6m versus €15.7m budget. The variance represents 12.2% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SPARE-PARTS-GROSS-PROFIT,2026-08,Division,All,Spare Parts,Monthly P&L vs Budget,Gross profit,Budget,EUR,1984778.27,1808617.01,176161.26,0.097401,True,High,False,budget_performance.csv,2026-08|All|Spare Parts|gross_profit,Spare Parts gross profit exceeded budget by €176.2k.,Actual gross profit was €2.0m versus €1.8m budget. The variance represents 9.7% of the benchmark.
