month,entity,division,revenue,gross_margin_pct,marginal_contribution_pct
2023-08,DE01,Software,1604026.83,0.798238250216384,0.7128073018723984
2023-08,US01,Software,1543967.34,0.7986802619943307,0.7004701054972088
2023-08,JP01,Software,1573401.39,0.8061487052761525,0.7248950596093983
2023-08,DE01,Hardware,1827837.91,0.3170937168403146,0.38081703219839613
2023-08,ES01,Hardware,1828802.68,0.2895404694367174,0.37291964145830636
2023-08,US01,Hardware,1799559.17,0.3195291944369286,0.3682712379970372
2023-08,JP01,Hardware,1918397.2,0.29306643069986843,0.37028601911166575
2023-08,ES01,Events,978389.37,0.377565044396721,0.41658714561438787
2023-08,US01,Events,963481.78,0.33726312084208926,0.39719640454300154
2023-08,ES01,Spare Parts,1275319.39,0.49871324701666614,0.5345003049338074
2023-08,JP01,Spare Parts,1296004.91,0.49064065618460484,0.5395681683922717
2023-09,DE01,Software,1865320.16,0.8148873291615616,0.7195358639095746
2023-09,US01,Software,1894527.5,0.8009896097292967,0.711068572931033
2023-09,JP01,Software,1893480.6,0.7912780157906619,0.7188687634185011
2023-09,DE01,Hardware,2293218.56,0.3245492441320702,0.3739858400195086
2023-09,ES01,Hardware,2482236.31,0.2901150586717678,0.35788285020254457
2023-09,US01,Hardware,2456132.06,0.3237488256564732,0.3647811984394905
2023-09,JP01,Hardware,2272303.08,0.3025050244145106,0.3751518669964724
2023-09,ES01,Events,1177532.06,0.36665847168867516,0.4063989803125552
2023-09,US01,Events,1119862.72,0.3824607862688875,0.4011611435872923
2023-09,ES01,Spare Parts,1629630.61,0.46610196823957994,0.5428704816525575
2023-09,JP01,Spare Parts,1668546.31,0.48492395182284515,0.5361311567628487
2023-10,DE01,Software,1959241.92,0.8131785062111756,0.7216051876158485
2023-10,US01,Software,2099591.92,0.8069032212960832,0.7240099627301793
2023-10,JP01,Software,2117642.45,0.815391704857812,0.7160681253230212
2023-10,DE01,Hardware,2389751.22,0.2983497140309614,0.3542299753675689
2023-10,ES01,Hardware,2630582.07,0.29565322680429434,0.3432242266648713
2023-10,US01,Hardware,2462585.82,0.32448256822056737,0.37775075525620655
2023-10,JP01,Hardware,2556648.09,0.3018013453052501,0.36656585374235356
2023-10,ES01,Events,1296150.64,0.34055110857090554,0.3971104618702785
2023-10,US01,Events,1251452.17,0.36702845120241173,0.4171578607021307
2023-10,ES01,Spare Parts,1684307.24,0.49805782615570793,0.5430352531549094
2023-10,JP01,Spare Parts,1635366.98,0.4872779792707048,0.5319272022134448
2023-11,DE01,Software,2239068.11,0.8099954799867193,0.6984316073358444
2023-11,US01,Software,2296703.01,0.7978601107465045,0.7112268218879934
2023-11,JP01,Software,2106614.73,0.8233477881563711,0.6965504228277533
2023-11,DE01,Hardware,2533552.76,0.28988526829816175,0.3548071929399162
2023-11,ES01,Hardware,2511184.85,0.3069402814067667,0.37103805236824206
2023-11,US01,Hardware,2535029.68,0.30658392569879833,0.35719457133939747
2023-11,JP01,Hardware,2594331.79,0.3157691612631131,0.3737336900692262
2023-11,ES01,Events,1314835.51,0.3753933376191803,0.4026561555179853
2023-11,US01,Events,1378225.86,0.38529009292606853,0.4271081723485789
2023-11,ES01,Spare Parts,1754513.64,0.4673922370205132,0.537600584149174
2023-11,JP01,Spare Parts,1842480.31,0.47195135114435893,0.5214964273089956
2023-12,DE01,Software,2150105.05,0.7748798768693879,0.7241236057417783
2023-12,US01,Software,2222766.83,0.8005255990925606,0.6945030937036705
2023-12,JP01,Software,2276191.5,0.7967197357884819,0.7122805746336879
2023-12,DE01,Hardware,2668537.59,0.28625453607383633,0.36563546525139823
2023-12,ES01,Hardware,2774938.66,0.2984500228496294,0.38047793002232944
2023-12,US01,Hardware,2612173.03,0.30887695149707234,0.38407990143001103
2023-12,JP01,Hardware,2786178.72,0.3027480069579565,0.37472277704074963
2023-12,ES01,Events,1443969.82,0.3827447905239289,0.40752993905517915
2023-12,US01,Events,1371095.7,0.35242859862871073,0.4033858403879504
2023-12,ES01,Spare Parts,1898500.34,0.4759735802805124,0.5424347984234664
2023-12,JP01,Spare Parts,1812847.19,0.49847854420519044,0.5197669867564282
2024-01,DE01,Software,1709329.33,0.7575853002777925,0.7034654107422862
2024-01,US01,Software,1746204.44,0.8104398327077014,0.7404936970431739
2024-01,JP01,Software,1689031.55,0.7886564195452742,0.7110921543465485
2024-01,DE01,Hardware,1920892.07,0.2943097827751066,0.3627341289542997
2024-01,ES01,Hardware,1887027.11,0.32335395052312366,0.3851406779483753
2024-01,US01,Hardware,2146375.88,0.30229667418391326,0.3750934641247537
2024-01,JP01,Hardware,1972833.2,0.2834647238026129,0.37826515301778335
2024-01,ES01,Events,1022139.04,0.3544519329140772,0.4116017871339835
2024-01,US01,Events,1031573.42,0.3821656452889543,0.39202776789571425
2024-01,ES01,Spare Parts,1356131.02,0.49067668059743363,0.5422980915012143
2024-01,JP01,Spare Parts,1355833.38,0.49258668481259626,0.5128280879587422
2024-02,DE01,Software,1807743.45,0.786391031921259,0.700452614684031
2024-02,US01,Software,1739777.5,0.7876136197211697,0.7116921928340895
2024-02,JP01,Software,1836962.96,0.8046646024286055,0.7141332418099403
2024-02,DE01,Hardware,2160012.34,0.2879299267691729,0.36888822512021524
2024-02,ES01,Hardware,2211826.33,0.33169076913817963,0.36544980779282277
2024-02,US01,Hardware,2112956.56,0.312321408748467,0.3702993943707185
2024-02,JP01,Hardware,2145234.93,0.3126974498608138,0.3661013559480841
2024-02,ES01,Events,1090033.3,0.3847292374550639,0.40378136143467375
2024-02,US01,Events,1020674.06,0.344775689367397,0.4258201639865333
2024-02,ES01,Spare Parts,1494306.6,0.4926206513240259,0.534966474859078
