review_id,review_month,scope_level,entity,division,category,metric,comparison,unit,actual_value,benchmark_value,variance,materiality_pct,favorable,severity,action_required,source_dataset,source_key,headline,explanation
REV-202608-COMMERCIAL-DRIVERS-DIVISION-ALL-EVENTS-MIX-EFFECT,2026-08,Division,All,Events,Commercial Drivers,Mix effect,Prior year,EUR,-3001569.2848,0.0,-3001569.2848,0.442643,False,Critical,True,price_volume_mix.csv,2026-08|Events|mix_effect,Events mix reduced year-on-year revenue by €3.0m.,"The mix effect explains €3.0m of the revenue bridge versus the prior year. Price, volume and mix reconcile exactly to the reported revenue change."
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-EBIT,2026-08,Division,All,Hardware,Monthly P&L vs Budget,EBIT,Budget,EUR,1738077.785,2864260.89,-1126183.105,0.393185,False,Critical,True,budget_performance.csv,2026-08|All|Hardware|ebit,Hardware ebit missed budget by €1.1m.,Actual ebit was €1.7m versus €2.9m budget. The variance represents 39.3% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SOFTWARE-OPEX,2026-08,Division,All,Software,Monthly P&L vs Budget,OPEX,Budget,EUR,545525.75,403274.95,142250.8,0.352739,False,Critical,False,budget_performance.csv,2026-08|All|Software|opex,Software OPEX was €142.3k above budget.,Actual opex was €545.5k versus €403.3k budget. The variance represents 35.3% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-EVENTS-OPEX,2026-08,Division,All,Events,Monthly P&L vs Budget,OPEX,Budget,EUR,1051287.48,791867.87,259419.61,0.327605,False,Critical,False,budget_performance.csv,2026-08|All|Events|opex,Events OPEX was €259.4k above budget.,Actual opex was €1.1m versus €791.9k budget. The variance represents 32.8% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-OPEX,2026-08,Division,All,Hardware,Monthly P&L vs Budget,OPEX,Budget,EUR,2348686.71,1910431.84,438254.87,0.229401,False,Critical,True,budget_performance.csv,2026-08|All|Hardware|opex,Hardware OPEX was €438.3k above budget.,Actual opex was €2.3m versus €1.9m budget. The variance represents 22.9% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-SPARE-PARTS-OPEX,2026-08,Division,All,Spare Parts,Monthly P&L vs Budget,OPEX,Budget,EUR,554155.22,453682.9,100472.32,0.221459,False,Critical,False,budget_performance.csv,2026-08|All|Spare Parts|opex,Spare Parts OPEX was €100.5k above budget.,Actual opex was €554.2k versus €453.7k budget. The variance represents 22.1% of the benchmark.
REV-202608-MONTHLY-P-L-VS-BUDGET-DIVISION-ALL-HARDWARE-GROSS-PROFIT,2026-08,Division,All,Hardware,Monthly P&L vs Budget,Gross profit,Budget,EUR,4767657.52,5384476.94,-616819.42,0.114555,False,High,True,budget_performance.csv,2026-08|All|Hardware|gross_profit,Hardware gross profit missed budget by €616.8k.,Actual gross profit was €4.8m versus €5.4m budget. The variance represents 11.5% of the benchmark.
REV-202608-FX-TRANSLATION-DIVISION-ALL-HARDWARE-EBIT-FX-EFFECT,2026-08,Division,All,Hardware,FX Translation,EBIT FX effect,Prior-year FX,EUR,-87415.71,0.0,-87415.71,0.047886,False,Medium,False,constant_currency_analysis.csv,2026-08|All|Hardware|ebit_fx_effect,FX translation reduced hardware ebit by €87.4k.,Reported performance differs from the close translated at prior-year FX by €87.4k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-FX-TRANSLATION-DIVISION-ALL-SPARE-PARTS-REVENUE-FX-EFFECT,2026-08,Division,All,Spare Parts,FX Translation,Revenue FX effect,Prior-year FX,EUR,-186281.28,0.0,-186281.28,0.039837,False,Medium,False,constant_currency_analysis.csv,2026-08|All|Spare Parts|revenue_fx_effect,FX translation reduced spare parts revenue by €186.3k.,Reported performance differs from the close translated at prior-year FX by €186.3k. This is a translation view and does not represent a cash remeasurement gain or loss.
REV-202608-FX-TRANSLATION-DIVISION-ALL-SPARE-PARTS-EBIT-FX-EFFECT,2026-08,Division,All,Spare Parts,FX Translation,EBIT FX effect,Prior-year FX,EUR,-55362.95,0.0,-55362.95,0.038194,False,Medium,False,constant_currency_analysis.csv,2026-08|All|Spare Parts|ebit_fx_effect,FX translation reduced spare parts ebit by €55.4k.,Reported performance differs from the close translated at prior-year FX by €55.4k. This is a translation view and does not represent a cash remeasurement gain or loss.
