month,revenue,marginal_contribution,gross_profit,opex,depreciation,ebit,interest,tax,net_income,factory_absorption_variance,inventory_provision_expense,credit_loss_expense
2023-09,26447102.24,10270754.83,11511047.3,3244731.69,722222.22,7544093.39,157500.0,2498710.1399999997,4887883.25,-2628423.21,46788.259999999995,45765.19
2023-10,30605907.93,11920009.440000001,10236349.87,3416907.9,722222.22,6097219.75,155531.25,1463075.3699999999,4478613.13,107162.18000000001,4644.62,41858.93
2023-11,31418460.86,12603970.36,10923981.69,3561373.89,722222.22,6640385.58,155531.25,1580951.06,4903903.2700000005,67445.63,5413.7300000000005,6402.87
2023-12,32969249.099999998,13333162.57,11681458.09,3697191.1700000004,722222.22,7262044.699999999,155531.25,1739224.9,5367288.55,-39377.259999999995,3560.24,4229.4400000000005
2024-01,26386001.26,10762002.86,8141303.890000001,3663237.55,722222.22,3755844.12,153587.09999999998,1083210.69,2519046.33,1301964.25,-44132.1,-21124.21
2024-02,24423529.13,10143427.15,8581956.64,3602994.91,722222.22,4256739.510000001,153587.09999999998,1037056.25,3066096.1600000006,306312.39,20650.8,-3651.1699999999996
2024-03,29341195.68,11993131.02,10417303.78,3821519.5,722222.22,5873562.06,153587.09999999998,1442266.96,4277708.0,41081.92,32824.6,11316.82
2024-04,28390650.26,11553920.440000001,9896033.52,3759495.14,722222.22,5414316.16,151667.27000000002,1279359.58,3983289.31,208066.66,4847.3099999999995,-200.35999999999996
2024-05,27814020.02,11373506.86,9818134.18,3702937.75,722222.22,5392974.21,151667.27000000002,1277249.25,3964057.6900000004,141825.54,-924.74,-47.64999999999963
2024-06,30176698.37,12425149.38,10817336.12,3786392.99,722222.22,6308720.909999999,143241.29,1513522.4,4651957.22,57183.130000000005,13989.07,5159.44
2024-07,28891306.02,11959712.49,9900030.41,3769328.13,722222.22,5408480.06,141450.78,1283604.2,3983425.08,581542.43,1911.6799999999994,-3656.3799999999997
2024-08,24964385.47,10493908.72,8388878.4,3627867.71,722222.22,4038788.47,141450.78,1049920.35,2847417.3400000003,849222.98,-15160.22,-11333.7
2024-09,31248788.92,13126294.47,11950225.42,3854486.52,722222.22,7373516.680000001,121481.27,1921903.47,5330131.94,-499517.06,80976.06999999999,24005.98
2024-10,32319326.68,13482961.18,11871165.15,3842687.5100000002,722222.22,7306255.42,111746.12,1773719.29,5420790.01,-69051.23000000001,30085.48,-3329.5000000000005
2024-11,32874141.89,13706028.24,12096386.46,3872880.6300000004,722222.22,7501283.609999999,111746.12,1800130.51,5589406.9799999995,-61139.670000000006,-5226.689999999999,2793.74
2024-12,34513809.53,14386888.02,12890035.28,4079005.6700000004,722222.22,8088807.39,103529.5,1950927.77,6034350.12,-213687.85,-49352.45,5735.27
2025-01,26851132.56,11413938.24,8900837.16,3913670.3400000003,722222.22,4264944.6,102235.38,1155761.91,3006947.3099999996,1206018.28,-53360.03,-23361.48
2025-02,30351728.35,13072151.65,11383788.76,4047424.56,722222.22,6614141.9799999995,94121.45,1604213.17,4915807.36,122166.40999999999,17027.269999999997,9904.28
2025-03,32515923.1,13870494.65,12310409.379999999,4103134.09,722222.22,7485053.07,86007.55,1840563.65,5558481.87,-115456.97,9340.710000000001,4314.3
2025-04,33187680.47,14466470.16,12625591.42,4123354.34,722222.22,7780014.859999999,76919.93,1862719.19,5840375.739999999,112062.18999999999,36669.53,2733.41
2025-05,31898258.57,13908078.82,12260400.78,4122780.86,722222.22,7415397.7,76919.93,1775948.3,5562529.470000001,28233.119999999995,-1480.61,-1356.1200000000001
2025-06,34097255.339999996,14664044.79,13003294.47,4265164.91,722222.22,8015907.34,68907.46,1945965.01,6001034.869999999,-91955.09,16994.05,5209.7
2025-07,30824127.4,13389937.99,11377570.030000001,4180234.07,722222.22,6475113.74,68046.11,1518446.43,4888621.2,458312.86,-13464.16,-8990.960000000001
2025-08,29224922.7,12916652.02,10697141.46,4156054.6100000003,722222.22,5818864.63,68046.11,1439124.57,4311693.95,749188.46,-22944.690000000002,-6151.16
2025-09,34416737.56,15013188.97,13968112.22,4314647.05,722222.22,8931242.95,68046.11,2304489.85,6558706.989999999,-722065.99,11822.0,23055.27
2025-10,35648134.21,15619481.09,13890268.4,4314822.7,722222.22,8853223.48,67195.54,2133324.89,6652703.05,-110406.47999999998,19318.61,-5013.2
2025-11,35865903.06,15741629.7,14161502.43,4345743.64,722222.22,9093536.57,67195.54,2200568.32,6825772.71,-235900.66,-6815.85,2925.0299999999997
2025-12,38938157.14,17102074.1,15392782.26,4629379.62,786805.55,9976597.09,67195.54,2412288.62,7497112.93,-278063.76,-500.3699999999999,7813.62
2026-01,29526889.73,12986354.3,10400690.6,4423748.98,786805.5499999999,5190136.07,66355.59,1364736.89,3759043.5900000003,1141451.08,-56280.89,-27290.81
2026-02,32708257.92,14319412.33,12646219.61,4519868.72,786805.55,7339545.34,66355.59,1798406.34,5474783.409999999,-33041.6,33327.59,9007.55
2026-03,34253544.87,13913553.93,12546181.91,4590039.83,786805.55,7169336.529999999,66355.59,1808532.53,5294448.409999999,-381633.95,-797.7399999999989,4859.02
2026-04,34677391.81,13706210.84,12008242.6,4563109.21,786805.55,6658327.84,65526.14,1620300.8499999999,4972500.85,-102059.20999999999,30842.34,1386.1299999999999
2026-05,33529948.88,13784356.96,12137916.06,4486392.39,786805.55,6864718.12,65526.14,1632959.19,5166232.79,-33148.25000000001,-13698.99,-1113.3799999999999
2026-06,36946904.17,15652768.94,13645467.27,4664037.84,786805.55,8194623.880000001,73145.47,1919929.42,6201548.99,121074.28,-8663.58,7302.219999999999
