division,product,revenue,variable_production_cost,variable_selling_cost,fixed_production_cost,marginal_contribution,gross_profit,opex,quantity,mc_pct,gross_margin_pct,operating_contribution,name,product_family,product_subfamily,product_type,quality_tier,quality_score,generation,strategic_role
Events,EV-DEP-COM-E,2509690.15,1565974.44,176180.24,131131.28999999998,767535.48,636404.16,410857.96315136465,15.0,0.30582878129397767,0.25357877744390084,225546.1968486354,Aureon Commissioning Program Essential,Deployment & Integration,Integration,Commissioning Program,Essential,1,G1 Legacy,Harvest
Events,EV-DEP-COM-P,1480702.04,748728.67,96245.64,81438.62,635727.76,554289.1599999999,276050.3406501872,7.0,0.42934212476670863,0.37434213300604346,278238.8193498127,Aureon Commissioning Program Professional,Deployment & Integration,Integration,Commissioning Program,Professional,2,G2,Core
Events,EV-DEP-COM-X,326916.39,204519.2,19549.6,19778.44,102847.6,83069.16,65703.87032994525,1.0,0.314599093670403,0.25409909854932633,17365.289670054757,Aureon Commissioning Program Premium,Deployment & Integration,Integration,Commissioning Program,Premium,3,G2,Premium
Events,EV-DEP-LCH-E,1382723.76,533575.67,97067.22,72247.33,752080.85,679833.53,269955.92059282557,10.0,0.5439125816424822,0.491662579082318,409877.60940717446,Aureon Site Launch Essential,Deployment & Integration,Deployment,Site Launch,Essential,1,G2,Volume
Events,EV-DEP-LCH-P,1225066.27,560779.59,79629.32,67378.64,584657.37,517278.72000000003,172584.36155957603,7.0,0.4772455044411597,0.42224550023730556,344694.35844042397,Aureon Site Launch Professional,Deployment & Integration,Deployment,Site Launch,Professional,2,G2,Core
Events,EV-DEP-LCH-X,789811.1299999999,441132.15,47230.7,47783.57,301448.27,253664.7,150678.25498319068,3.0,0.38167133704484524,0.32117134130535746,102986.44501680933,Aureon Site Launch Premium,Deployment & Integration,Deployment,Site Launch,Premium,3,G2,Premium
Events,EV-DEP-MIG-E,2817773.89,1165631.17,197807.72,147228.7,1454334.97,1307106.29,563667.2228735539,18.0,0.5161290532080273,0.46387905524953243,743439.0671264462,Aureon Migration Wave Essential,Deployment & Integration,Integration,Migration Wave,Essential,1,G2,Volume
Events,EV-DEP-MIG-P,998882.35,491282.56,64927.36,54938.53,442672.44,387733.93,183576.39299693218,5.0,0.4431677464317995,0.38816776570333833,204157.53700306782,Aureon Migration Wave Professional,Deployment & Integration,Integration,Migration Wave,Professional,2,G2,Core
Events,EV-DEP-ROL-E,3242727.5300000003,1294931.46,227639.48,169432.5,1720156.6099999999,1550724.06,619488.9467664687,22.0,0.5304659716507232,0.4782159603770348,931235.1132335314,Aureon Regional Rollout Essential,Deployment & Integration,Deployment,Regional Rollout,Essential,1,G2,Volume
Events,EV-DEP-ROL-P,2234628.08,1056156.46,145250.82,122904.54999999999,1033220.8200000001,910316.27,410745.3040957861,12.0,0.4623681359987207,0.4073681334927108,499570.9659042139,Aureon Regional Rollout Professional,Deployment & Integration,Deployment,Regional Rollout,Professional,2,G2,Core
Events,EV-DEP-ROL-X,553927.75,322930.25,33124.880000000005,33512.619999999995,197872.62,164359.99,81053.49634683483,2.0,0.35721738078657367,0.2967173787556229,83306.49365316516,Aureon Regional Rollout Premium,Deployment & Integration,Deployment,Regional Rollout,Premium,3,G2,Premium
Events,EV-EXP-DEM-E,1133356.35,480641.07,79561.62,59217.87,573153.62,513935.77,162588.58538247788,6.0,0.5057135119064714,0.45346352892450814,351347.1846175222,Aureon Demonstration Center Essential,Customer Experience,Customer Events,Demonstration Center,Essential,1,G2,Volume
Events,EV-EXP-DEM-P,740269.14,374823.83,48117.490000000005,40714.8,317327.81,276613.01,121088.26932320779,3.0,0.42866545807920614,0.37366546172652826,155524.74067679222,Aureon Demonstration Center Professional,Customer Experience,Customer Events,Demonstration Center,Professional,2,G2,Core
Events,EV-EXP-FOR-E,1343424.08,535236.57,94308.38,70193.92,713879.1499999999,643685.25,270325.87028287374,8.0,0.5313877878383718,0.4791377939272906,373359.37971712626,Aureon Innovation Forum Essential,Customer Experience,Market Events,Innovation Forum,Essential,1,G2,Volume
Events,EV-EXP-FOR-P,2141525.7399999998,1012280.46,139199.17,117783.94,990046.11,872262.21,495259.90859077754,10.0,0.46230876029535845,0.40730876762658014,377002.3014092224,Aureon Innovation Forum Professional,Customer Experience,Market Events,Innovation Forum,Professional,2,G2,Core
Events,EV-EXP-FOR-X,968625.23,561013.23,57923.79,58601.82,349688.21,291086.38,129329.37277179139,3.0,0.36101497170376207,0.3005149680026402,161757.00722820862,Aureon Innovation Forum Premium,Customer Experience,Market Events,Innovation Forum,Premium,3,G2,Premium
Events,EV-EXP-PRD-E,937714.2,359123.42,65827.54000000001,48995.56,512763.23,463767.67,137241.9597774967,6.0,0.5468225073268593,0.4945725147384992,326525.7102225033,Aureon Product Launch Essential,Customer Experience,Market Events,Product Launch,Essential,1,G2,Volume
Events,EV-EXP-PRD-P,2219635.24,1016362.66,144276.28,122079.92,1058996.3,936916.36,388496.1724566506,11.0,0.4771037515154967,0.42210375070455264,548420.1875433493,Aureon Product Launch Professional,Customer Experience,Market Events,Product Launch,Professional,2,G2,Core
Events,EV-EXP-PRD-X,596254.99,336514.86,35656.05,36073.43,224084.08000000002,188010.65000000002,77448.46808595292,2.0,0.3758192111733942,0.3153192059658906,110562.1819140471,Aureon Product Launch Premium,Customer Experience,Market Events,Product Launch,Premium,3,G2,Premium
Events,EV-EXP-USR-E,2143421.62,879286.48,150468.2,111993.78,1113666.93,1001673.16,387733.399394369,12.0,0.5195743663348884,0.4673243708347031,613939.760605631,Aureon User Conference Essential,Customer Experience,Customer Events,User Conference,Essential,1,G2,Volume
Events,EV-EXP-USR-P,1619144.75,797514.14,105244.41,89052.95,716386.19,627333.25,248297.27367364662,7.0,0.4424472796518038,0.38744729277601647,379035.9763263534,Aureon User Conference Professional,Customer Experience,Customer Events,User Conference,Professional,2,G2,Core
Events,EV-EXP-USR-X,1369244.3399999999,817646.0,81880.82,82839.29,469717.54,386878.26,171247.94388767757,4.0,0.34304873591809043,0.28254873779503814,215630.31611232244,Aureon User Conference Premium,Customer Experience,Customer Events,User Conference,Premium,3,G2,Premium
Events,EV-MNG-CERT-E,1065018.18,454773.74,74764.29,55647.2,535480.15,479832.95,226765.02175856818,8.0,0.5027896800785129,0.45053967998931255,253067.92824143183,Aureon Certification Roadshow Essential,Managed Programs,Field Programs,Certification Roadshow,Essential,1,G2,Volume
Events,EV-MNG-CERT-P,1201466.34,613000.64,78095.31,66080.65,510370.38,444289.70999999996,165680.41176948094,7.0,0.424789578374705,0.3697895606463681,278609.29823051905,Aureon Certification Roadshow Professional,Managed Programs,Field Programs,Certification Roadshow,Professional,2,G2,Core
Events,EV-MNG-CERT-X,512968.02,319002.88,30675.48,31034.56,163289.66,132255.1,78261.82507513298,2.0,0.3183232748115565,0.25782328496813506,53993.27492486703,Aureon Certification Roadshow Premium,Managed Programs,Field Programs,Certification Roadshow,Premium,3,G2,Premium
Events,EV-MNG-CUS-E,1753191.42,699007.35,123074.04000000001,91604.23,931110.02,839505.75,277583.9351988785,15.0,0.5310943285360136,0.47884431809505434,561921.8148011215,Aureon Customer Council Essential,Managed Programs,Partner Programs,Customer Council,Essential,1,G2,Volume
Events,EV-MNG-CUS-P,147625.12,69355.26,9595.63,8119.38,68674.22,60554.84,17909.92323383917,1.0,0.4651933221121175,0.41019333295038135,42644.91676616082,Aureon Customer Council Professional,Managed Programs,Partner Programs,Customer Council,Professional,2,G2,Core
Events,EV-MNG-CUS-X,438495.06,250842.02000000002,26222.010000000002,26528.949999999997,161431.05,134902.09000000003,48083.55427291426,2.0,0.3681479330690749,0.30764791284079696,86818.53572708576,Aureon Customer Council Premium,Managed Programs,Partner Programs,Customer Council,Premium,3,G2,Premium
Events,EV-MNG-PRT-E,2099462.9699999997,815599.5,147382.27,109696.97,1136481.15,1026784.24,430403.53861939604,19.0,0.5413199309726334,0.489069945348929,596380.701380604,Aureon Partner Summit Essential,Managed Programs,Partner Programs,Partner Summit,Essential,1,G2,Volume
Events,EV-MNG-PRT-P,2525582.99,1156368.31,164162.87,138907.08,1205051.81,1066144.73,506075.21610455913,18.0,0.47713807654366563,0.42213807038667134,560069.5138954408,Aureon Partner Summit Professional,Managed Programs,Partner Programs,Partner Summit,Professional,2,G2,Core
Events,EV-MNG-PRT-X,836256.97,473064.93,50008.17,50593.56,313183.87,262590.33,182621.71975985906,4.0,0.3745067380424943,0.3140067460364486,79968.61024014096,Aureon Partner Summit Premium,Managed Programs,Partner Programs,Partner Summit,Premium,3,G2,Premium
Events,EV-MNG-RDS-E,2641956.44,1098742.26,185465.35,138042.22999999998,1357748.91,1219706.68,452090.029232676,21.0,0.5139179773910276,0.46166797511619834,767616.6507673239,Aureon Regional Roadshow Essential,Managed Programs,Field Programs,Regional Roadshow,Essential,1,G2,Volume
Events,EV-MNG-RDS-P,1457595.06,720235.57,94743.67,80167.73,642615.8200000001,562448.09,261176.89232535008,9.0,0.4408740380884661,0.3858740369221613,301271.1976746499,Aureon Regional Roadshow Professional,Managed Programs,Field Programs,Regional Roadshow,Professional,2,G2,Core
Events,EV-MNG-RDS-X,700218.83,414393.45999999996,41873.09,42363.24,243952.27000000002,201589.04,154987.11934249612,3.0,0.3483943298125816,0.2878943429727533,46601.920657503884,Aureon Regional Roadshow Premium,Managed Programs,Field Programs,Regional Roadshow,Premium,3,G2,Premium
Events,EV-TRN-CRT-E,1652955.78,656942.03,116037.5,86366.95,879976.26,793609.3099999999,291224.27912808274,18.0,0.5323652759785261,0.48011526962929396,502385.0308719172,Aureon Certification Program Essential,Training & Enablement,Operational Training,Certification Program,Essential,1,G2,Volume
Events,EV-TRN-CRT-P,2129602.75,1013599.77,138424.2,117128.15,977578.79,860450.63,400328.62572040356,18.0,0.4590427909618355,0.404042786853088,460122.00427959644,Aureon Certification Program Professional,Training & Enablement,Operational Training,Certification Program,Professional,2,G2,Core
Events,EV-TRN-CRT-X,1401976.49,816600.94,83838.18,84819.59,501537.35,416717.77,255470.6542194079,8.0,0.3577359203790928,0.2972359186993214,161247.1157805921,Aureon Certification Program Premium,Training & Enablement,Operational Training,Certification Program,Premium,3,G2,Premium
Events,EV-TRN-EXE-E,1566180.35,670200.74,109945.88,81832.93,786033.74,704200.81,270070.99280492665,15.0,0.5018794546873225,0.4496294504014177,434129.8171950734,Aureon Executive Workshop Essential,Training & Enablement,Leadership Training,Executive Workshop,Essential,1,G2,Volume
Events,EV-TRN-EXE-P,1722396.75,870013.6499999999,111955.78,94731.82,740427.26,645695.47,368762.4286672,13.0,0.42988194212512304,0.37488196026844567,276933.0413328,Aureon Executive Workshop Professional,Training & Enablement,Leadership Training,Executive Workshop,Professional,2,G2,Core
Events,EV-TRN-EXE-X,1590608.3900000001,988483.15,95118.38,96231.81,507006.87,410775.05,306628.6557942242,8.0,0.3187502801993896,0.2582502724004869,104146.39420577581,Aureon Executive Workshop Premium,Training & Enablement,Leadership Training,Executive Workshop,Premium,3,G2,Premium
Events,EV-TRN-OPR-E-NXT,2501840.79,1092112.91,175629.22,130721.16,1234098.72,1103377.51,379265.2339898449,27.0,0.49327628078203967,0.441026269301493,724112.2760101551,Aureon Operator Academy NextGen Essential,Training & Enablement,Operational Training,Operator Academy,Essential,1,G3,Growth
Events,EV-TRN-OPR-P,1861408.77,851817.98,120991.57,102377.5,888599.22,786221.75,319542.9771364357,17.0,0.4773799470172261,0.42237995365198583,466678.7728635643,Aureon Operator Academy Professional,Training & Enablement,Operational Training,Operator Academy,Professional,2,G2,Core
Events,EV-TRN-OPR-X,482679.88,269148.38,28864.26,29202.129999999997,184667.25,155465.12,97232.79531929844,3.0,0.3825874200515671,0.32208742572820726,58232.32468070155,Aureon Operator Academy Premium,Training & Enablement,Operational Training,Operator Academy,Premium,3,G2,Premium
Events,EV-TRN-TEC-E,2459332.62,1019903.49,172645.12,128500.15,1266784.0,1138283.83,456685.7865203997,25.0,0.5150925863781695,0.4628425698675928,681598.0434796005,Aureon Technical Bootcamp Essential,Training & Enablement,Leadership Training,Technical Bootcamp,Essential,1,G2,Volume
Events,EV-TRN-TEC-P,251466.49,124768.66,16345.32,13830.66,110352.51000000001,96521.86,72417.65355571426,2.0,0.438835846477994,0.3838358741158713,24104.206444285737,Aureon Technical Bootcamp Professional,Training & Enablement,Leadership Training,Technical Bootcamp,Professional,2,G2,Core
Events,EV-TRN-TEC-X,381355.28,230092.12,22805.04,23072.0,128458.11,105386.12,77191.30247732463,2.0,0.33684628674867173,0.27634629839135827,28194.817522675366,Aureon Technical Bootcamp Premium,Training & Enablement,Leadership Training,Technical Bootcamp,Premium,3,G2,Premium
Hardware,HW-CTL-MCU-E,5771588.13,4026514.68,342832.51,301565.24,1402241.09,1100675.55,683103.6962717085,304.0,0.242955848271869,0.19070583784016482,417571.8537282916,Aureon Compact Controller Essential,Control Systems,Controllers,Compact Controller,Essential,1,G1 Legacy,Harvest
Hardware,HW-CTL-MCU-P,3186264.29,1785345.49,175244.63,175244.63,1225674.32,1050429.73,350752.0979608865,131.0,0.3846744050224409,0.32967438805900184,699677.6320391134,Aureon Compact Controller Professional,Control Systems,Controllers,Compact Controller,Professional,2,G2,Core
Hardware,HW-CTL-MCU-X,3027120.81,2073127.89,153172.39,183140.94,800820.76,617680.0,333644.3827381031,84.0,0.2645486620007082,0.20404867818935843,284035.6172618969,Aureon Compact Controller Premium,Control Systems,Controllers,Compact Controller,Premium,3,G2,Premium
Hardware,HW-CTL-RCK-E,4578793.86,2237441.28,271980.43,239241.81,2069372.14,1830130.17,522423.370195856,225.0,0.4519469981118564,0.3996970001178432,1307706.7998041438,Aureon Rack Controller Essential,Control Systems,Controllers,Rack Controller,Essential,1,G2,Volume
Hardware,HW-CTL-RCK-P,4699074.72,2733969.12,258449.22,258449.22,1706657.0,1448207.65,509701.358957073,180.0,0.3631900111603248,0.30818996000131704,938506.291042927,Aureon Rack Controller Professional,Control Systems,Controllers,Rack Controller,Professional,2,G2,Core
Hardware,HW-CTL-RCK-X,2856976.18,2026675.82,144563.01,172847.06,685737.23,512890.41,332276.2410686204,74.0,0.24002203266531957,0.1795221162816975,180614.16893137957,Aureon Rack Controller Premium,Control Systems,Controllers,Rack Controller,Premium,3,G2,Premium
Hardware,HW-CTL-RDN-E,5452590.15,2757351.78,323883.92,284897.67,2371354.48,2086456.55,632600.2249818176,251.0,0.4349042225372468,0.38265420517623167,1453856.3250181824,Aureon Redundant Controller Essential,Control Systems,Resilient Control,Redundant Controller,Essential,1,G2,Volume
Hardware,HW-CTL-RDN-P,4623597.53,2784518.4,254298.01,254298.01,1584781.17,1330483.41,533459.872154834,166.0,0.34275932533427056,0.2877593478600201,797023.5378451659,Aureon Redundant Controller Professional,Control Systems,Resilient Control,Redundant Controller,Professional,2,G2,Core
Hardware,HW-CTL-RDN-X,3792730.77,2785777.96,191912.21,229460.29,815040.8,585580.4,426545.3545687676,92.0,0.21489550654290182,0.1543954568649754,159035.04543123243,Aureon Redundant Controller Premium,Control Systems,Resilient Control,Redundant Controller,Premium,3,G2,Premium
Hardware,HW-CTL-SAF-E,5035974.7,2633898.41,299136.97,263129.52999999997,2102939.62,1839810.11,568279.0174473706,218.0,0.4175834362313218,0.3653334696061916,1271531.0925526295,Aureon Safety Controller Essential,Control Systems,Resilient Control,Safety Controller,Essential,1,G2,Volume
Hardware,HW-CTL-SAF-P,3228045.63,2011836.73,177542.44,177542.44,1038666.38,861123.73,356952.18598247436,109.0,0.32176322736800966,0.26676318388968995,504171.5440175256,Aureon Safety Controller Professional,Control Systems,Resilient Control,Safety Controller,Professional,2,G2,Core
Hardware,HW-CTL-SAF-X,388163.73,289337.23,19641.08,23483.91,79185.43000000001,55701.52,49510.92238375702,9.0,0.20400007491683989,0.14350006374887217,6190.59761624298,Aureon Safety Controller Premium,Control Systems,Resilient Control,Safety Controller,Premium,3,G2,Premium
Hardware,HW-EDG-AI-E,6017867.55,3146156.03,357461.23,314433.83,2514250.27,2199816.89,709828.5736849055,221.0,0.4177975419216397,0.3655475750708405,1489988.3163150945,Aureon AI Edge Appliance Essential,Edge Appliances,Compute,AI Edge Appliance,Essential,1,G2,Volume
Hardware,HW-EDG-AI-P,3804942.79,2368441.86,209271.89,209271.89,1227229.19,1017957.2100000001,404999.3190740309,109.0,0.3225355170189037,0.26753548375953373,612957.8909259692,Aureon AI Edge Appliance Professional,Edge Appliances,Compute,AI Edge Appliance,Professional,2,G2,Core
Hardware,HW-EDG-CMP-E,6581498.49,3325475.74,390941.23,343883.23,2865081.94,2521198.62,789357.5764242947,257.0,0.4353236492195868,0.38307364558857476,1731841.0435757055,Aureon Edge Compute Node Essential,Edge Appliances,Compute,Edge Compute Node,Essential,1,G2,Volume
Hardware,HW-EDG-CMP-P,4923558.11,2962594.1,270795.78,270795.78,1690168.5,1419372.6,562835.8107450785,150.0,0.343281923811802,0.28828188238850705,856536.7892549216,Aureon Edge Compute Node Professional,Edge Appliances,Compute,Edge Compute Node,Professional,2,G2,Core
Hardware,HW-EDG-CMP-X,1652363.47,1214318.01,83609.61,99968.04,354435.91,254468.02,217130.58422135093,34.0,0.21450238790379456,0.15400244838382926,37337.43577864906,Aureon Edge Compute Node Premium,Edge Appliances,Compute,Edge Compute Node,Premium,3,G2,Premium
Hardware,HW-EDG-GTW-E,5731172.95,4002307.8,340431.84,299453.84,1388433.5,1088979.94,681370.3987977717,256.0,0.2422599199348887,0.1900099594795861,407609.5412022283,Aureon Industrial Gateway Essential,Edge Appliances,Gateways,Industrial Gateway,Essential,1,G1 Legacy,Harvest
Hardware,HW-EDG-GTW-P,4017002.65,2253927.62,220935.08000000002,220935.08000000002,1542139.93,1321204.55,479374.8592830224,140.0,0.3839031398199351,0.32890308150531095,841829.6907169777,Aureon Industrial Gateway Professional,Edge Appliances,Gateways,Industrial Gateway,Professional,2,G2,Core
Hardware,HW-EDG-GTW-X,3732306.77,2548067.69,188854.66,225804.57,995384.33,769579.84,440141.3294755484,88.0,0.2666941361843094,0.20619415482827527,329438.51052445156,Aureon Industrial Gateway Premium,Edge Appliances,Gateways,Industrial Gateway,Premium,3,G2,Premium
Hardware,HW-EDG-SEC-E,6264717.39,3061156.47,372124.27,327331.61,2831436.76,2504105.34,727890.518196877,261.0,0.4519656009574599,0.39971561111394366,1776214.8218031228,Aureon Secure Gateway Essential,Edge Appliances,Gateways,Secure Gateway,Essential,1,G2,Volume
