month,gross_ar,credit_loss_allowance,net_ar,gross_inventory,inventory_provision,net_inventory,inventory_provision_expense,credit_loss_expense
2023-09,26217822.39,45391.869010753784,26172430.520989247,39133405.14,46310.652623684575,39087094.48737632,46310.65,45391.86
2023-10,49708930.87,86580.52485416358,49622350.34514584,40385730.6,50173.237139725104,40335557.36286028,3862.5800000000004,41188.659999999996
2023-11,51129789.51,92991.5157950982,51036797.9942049,41692906.47,55931.803518319386,41636974.66648167,5758.5599999999995,6410.99
2023-12,53693027.559999995,97460.00282567447,53595567.557174325,43831838.91,61310.091124429826,43770528.81887557,5378.29,4468.469999999999
2024-01,40884517.53,75835.38470861112,40808682.14529139,32769855.52,17583.2045861284,32752272.31541387,-43726.88,-21624.62
2024-02,39225231.46,72185.58066886228,39153045.879331134,33278326.82,37228.332661933935,33241098.487338066,19645.13,-3649.7999999999993
2024-03,45342505.849999994,82150.22667476906,45260355.62332523,35856105.61000001,66025.75607038142,35790079.853929624,28797.43,9964.65
2024-04,45255690.519999996,82359.97030171067,45173330.549698286,36964938.53999999,80697.55420086233,36884240.985799134,14671.8,209.74999999999977
2024-05,43735231.97,80667.51604714787,43654564.45395285,37030819.88,71771.40048046455,36959048.47951954,-8926.16,-1692.4499999999996
2024-06,47384108.43,86230.28475834698,47297878.14524165,38960858.349999994,105543.45565551272,38855314.89434448,33772.04,5562.76
2024-07,44397836.44,81783.71890431875,44316052.721095674,35066579.019999996,128392.12726884341,34938186.89273115,22848.679999999997,-4446.58
2024-08,37455432.949999996,69838.22406907701,37385594.725930914,29079419.509999994,105316.15149494926,28974103.358505048,-23075.98,-11945.5
2024-09,47592874.14999999,93942.17936446774,47498931.970635526,37760320.98,176510.731044366,37583810.24895563,71194.57,24103.96
2024-10,49896769.26,89598.6045978333,49807170.65540216,40502333.95999999,201898.98410375018,40300434.97589625,25388.25,-4343.58
2024-11,51083095.169999994,93053.96013106477,50990041.20986893,41136890.519999996,186171.44222698684,40950719.07777301,-15727.55,3455.36
2024-12,54000239.279999994,98662.69949907158,53901576.58050092,43623598.50999999,121122.8259721559,43502475.684027836,-65048.60999999999,5608.74
2025-01,41129855.53999999,77390.02246456312,41052465.51753543,32920829.589999992,71151.20908987909,32849678.380910113,-49971.61,-21272.670000000002
2025-02,44464842.63999999,82507.32171917394,44382335.31828082,34847466.1,88737.54572479724,34758728.55427521,17586.34,5117.29
2025-03,50235655.54999999,91575.74396884794,50144079.806031145,38988748.41,91325.81489048776,38897422.595109515,2588.269999999997,9068.44
2025-04,49971130.35999999,91915.06484867043,49879215.29515132,37697750.35,95018.64749392173,37602731.70250608,3692.83,339.30999999999995
2025-05,49218957.51999999,90359.29252832005,49128598.22747167,38828358.989999995,96122.13260944696,38732236.857390545,1103.4699999999998,-1555.78
2025-06,50468724.60999999,91723.03631889376,50377001.573681094,40164613.35,94205.91392500859,40070407.436074995,-1916.2199999999996,1363.76
2025-07,45505508.88999999,84156.97024454083,45421351.91975545,36296614.300000004,75867.88184345087,36220746.41815655,-18338.02,-7566.07
2025-08,40077646.04999999,75027.07944052572,40002618.97055946,30675570.330000002,67523.42492667832,30608046.905073326,-8344.45,-9129.91
2025-09,52284629.92999999,104443.73174941365,52180186.19825058,39688407.86,109399.65901799631,39579008.200982,41876.24,29416.64
2025-10,52899339.81999999,95582.52654992515,52803757.293450065,40738665.32,143130.554092102,40595534.7659079,33730.89,-8861.2
2025-11,53656982.449999996,97998.69905569534,53558983.750944294,42756682.190000005,142448.7416062189,42614233.44839379,-681.81,2416.17
2025-12,58940755.809999995,107264.83088517172,58833490.97911482,44624248.400000006,143801.21023574352,44480447.18976426,1352.47,9266.140000000001
2026-01,42599275.50999999,78915.82143612587,42520359.68856387,33089000.060000006,85962.55678299833,33003037.503217008,-57838.65,-28349.0
2026-02,46411463.18999999,86188.82899637868,46325274.361003615,34754611.43,135644.10101608332,34618967.32898392,49681.549999999996,7273.0199999999995
2026-03,49362573.50999999,89303.51990970588,49273269.99009028,40394779.1,138560.53965405532,40256218.56034595,2916.429999999999,3114.7
2026-04,50506487.38999999,92094.11830190303,50414393.27169809,43236050.550000004,171806.5654432385,43064243.984556764,33246.04,2790.6099999999997
2026-05,52681382.45999999,95974.12956954572,52585408.33043045,43933460.510000005,147098.74416683684,43786361.76583317,-24707.82,3880.0099999999998
2026-06,54339495.22999999,99916.40922228033,54239578.82077771,42998682.15,131532.2077817971,42867149.9422182,-15566.54,3942.2699999999995
2026-07,50975317.81999999,94054.27921635198,50881263.54078364,38515372.599999994,110526.57584739516,38404846.0241526,-21005.63,-5862.12
2026-08,48990616.03999999,90753.49874308315,48899862.54125691,36587348.870000005,110900.62009791202,36476448.24990209,374.05000000000007,-3300.78
