month,entity,opening_installed_base,hardware_additions,estimated_retirements,ending_installed_base,spare_parts_revenue,spare_parts_units,active_skus,revenue_per_installed_unit,inventory_value,inventory_coverage_months,inventory_health_pct,installed_base_rollforward_gap
2023-09,ES01,0.0,187.0,0.0,187.0,1826282.51,1600.0,69,9766.216631016043,3036742.1200000006,3.000000084564312,1.0,0.0
2023-09,JP01,0.0,145.0,0.0,145.0,2508351.93,2167.0,71,17298.97882758621,4173980.76,3.0000000388118706,1.0,0.0
2023-10,ES01,187.0,198.0,0.9350000000000008,384.065,1887895.25,1650.0,69,4915.561818962936,3132737.4399999995,3.0466792423392195,1.0,0.0
2023-10,JP01,145.0,145.0,0.7250000000000006,289.275,2652073.27,2283.0,71,9168.000241984271,4402046.199999999,3.0797801749247746,1.0,0.0
2023-11,ES01,384.065,203.0,1.9203250000000016,585.144675,1999672.66,1740.0,69,3417.3987142581445,3281772.5399999996,3.1250836960561426,1.0,0.0
2023-11,JP01,289.275,158.0,1.446375000000001,445.828625,2754651.05,2358.0,71,6178.72181266961,4525107.5,3.1085833456549152,1.0,0.0
2023-12,ES01,585.144675,215.0,2.9257233750000027,797.218951625,2088980.68,1819.0,69,2620.3349478107057,3400631.33,3.118211163183932,1.0,0.0
2023-12,JP01,445.828625,162.0,2.229143125000002,605.599481875,2927935.9,2506.0,71,4834.772795602137,4765211.83,3.1321766372812934,1.0,0.0
2024-01,ES01,797.218951625,163.0,3.9860947581250037,956.2328568668751,1570156.26,1361.0,69,1642.0229118090158,2557995.979999998,2.491446827198975,1.0,0.0
2024-01,JP01,605.599481875,101.0,3.027997409375003,703.5714844656251,2187599.44,1867.0,71,3109.278144866147,3577166.060000002,2.5045395097294185,1.0,0.0
2024-02,ES01,956.2328568668751,175.0,4.78116428433438,1126.4516925825405,1673348.19,1442.0,69,1485.5037291156502,2729719.689999999,2.8276355199087884,1.0,0.0
2024-02,JP01,703.5714844656251,115.0,3.5178574223281287,815.053627043297,2313840.84,1978.0,71,2838.881716769644,3766844.2800000003,2.802666717730136,1.0,0.0
2024-03,ES01,1126.4516925825405,184.0,5.6322584629127075,1304.8194341196279,1801486.68,1545.0,69,1380.64059508393,2941860.87,3.217267529766553,1.0,0.0
2024-03,JP01,815.053627043297,135.0,4.075268135216488,945.9783589080805,2516284.51,2139.0,71,2659.981051685458,4097595.650000001,3.2268549649165497,1.0,0.0
2024-04,ES01,1304.8194341196279,184.0,6.524097170598146,1482.2953369490297,1839454.53,1579.0,68,1240.9500887900665,3001751.48,3.1034734662112236,1.0,0.0
2024-04,JP01,945.9783589080805,144.0,4.729891794540407,1085.24846711354,2566156.09,2169.0,70,2364.5793270045,4194273.840000001,3.1262833514009314,1.0,0.0
2024-05,ES01,1482.2953369490297,197.0,7.411476684745155,1671.8838602642845,1889178.33,1624.0,68,1129.9698351662817,3054931.4999999995,3.0325127867771133,0.9978089453695049,0.0
2024-05,JP01,1085.24846711354,144.0,5.426242335567705,1223.8222247779725,2642101.91,2228.0,70,2158.893552108301,4281204.730000001,3.0568380044980934,0.9991452766601321,0.0
2024-06,ES01,1671.8838602642845,201.0,8.35941930132143,1864.5244409629631,1976429.91,1686.0,68,1060.0182365961593,3198461.9700000007,3.090692068717015,0.9986260579894443,0.0
2024-06,JP01,1223.8222247779725,151.0,6.119111123889867,1368.7031136540825,2727455.02,2304.0,70,1992.7294625044012,4418778.8100000005,3.076985932872175,0.9994849908243911,0.0
2024-07,ES01,1864.5244409629631,181.0,9.322622204814824,2036.2018187581482,1791917.41,1527.0,68,880.0293730671874,2898527.7299999995,2.832253352080979,0.9965552909279184,0.0
2024-07,JP01,1368.7031136540825,131.0,6.843515568270418,1492.859598085812,2482486.58,2083.0,70,1662.9069359122027,4014421.46,2.834862867892404,0.9987054187851119,0.0
2024-08,ES01,2036.2018187581482,161.0,10.18100909379075,2187.0208096643573,1594181.98,1355.0,68,728.9285831005236,2575335.1,2.6546797761876455,0.9963974701238149,0.0
2024-08,JP01,1492.859598085812,106.0,7.464297990429066,1591.395300095383,2192108.29,1835.0,70,1377.475659170674,3548526.870000001,2.6587068291295877,0.9986398352388602,0.0
2024-09,ES01,2187.0208096643573,201.0,10.935104048321797,2377.0857056160357,1982035.2,1681.0,68,833.8088926778279,3169231.96,3.2781748895176928,0.9964455427289197,0.0
2024-09,JP01,1591.395300095383,151.0,7.956976500476922,1734.438323594906,2746377.77,2294.0,70,1583.4392798169292,4403477.269999999,3.3036367726660063,0.9986649599961153,0.0
2024-10,ES01,2377.0857056160357,216.0,11.885428528080189,2581.2002770879553,2067257.03,1747.0,67,800.8898218205009,3303207.4499999997,3.2607002695224216,0.9966503732624832,0.0
2024-10,JP01,1734.438323594906,161.0,8.672191617974537,1886.7661319769315,2911361.99,2431.0,69,1543.0433802357418,4664587.680000002,3.3150714351160047,0.9987554185083557,0.0
2024-11,ES01,2581.2002770879553,219.0,12.906001385439788,2787.2942757025157,2166967.26,1838.0,67,777.4447351648339,3452423.759999999,3.1038324003791264,0.9960870782096444,0.0
2024-11,JP01,1886.7661319769315,168.0,9.433830659884666,2045.3323013170468,3039817.28,2533.0,69,1486.2217147025822,4858129.229999999,3.124095294652314,0.9980074685563192,0.0
2024-12,ES01,2787.2942757025157,227.0,13.936471378512591,3000.357804324003,2295436.7,1928.0,67,765.0543200853921,3660694.8999999985,3.1409900679605096,0.9968195143929558,0.0
