entity,division,supplier,supplier_name,supplier_category,supplier_criticality,single_source,total_ap,overdue_ap,trailing_12m_spend,supplier_spend_share,weighted_age_days,risk_flag
CN01,Hardware,SUP-CN01-MFG-03,Industrial Supply CN01 03,Manufacturing Supply,5,False,2185157.44,0.0,11800717.88,0.06066356449643466,30.0,Normal
CZ01,Hardware,SUP-CZ01-MFG-03,Industrial Supply CZ01 03,Manufacturing Supply,5,False,1198964.94,0.0,14995560.02,0.059780787795650776,0.0,Normal
CN01,Hardware,SUP-CN01-MFG-08,Industrial Supply CN01 08,Manufacturing Supply,5,False,1058665.8399999999,0.0,13163873.690000001,0.057985671388974126,0.0,Normal
CN01,Spare Parts,SUP-CN01-MFG-08,Industrial Supply CN01 08,Manufacturing Supply,5,False,182012.55,0.0,2808554.57,0.057985671388974126,30.000000000000004,Normal
CZ01,Spare Parts,SUP-CZ01-MFG-04,Industrial Supply CZ01 04,Manufacturing Supply,5,False,202214.01,0.0,937681.4199999999,0.057469174239546526,30.000000000000004,Normal
CN01,Hardware,SUP-CN01-MFG-01,Industrial Supply CN01 01,Manufacturing Supply,5,False,1286463.52,0.0,13955973.57,0.05632326767218522,0.0,Normal
CZ01,Hardware,SUP-CZ01-MFG-02,Industrial Supply CZ01 02,Manufacturing Supply,5,False,1548126.74,0.0,12188889.28,0.05269709211244367,0.0,Normal
CZ01,Hardware,SUP-CZ01-MFG-05,Industrial Supply CZ01 05,Manufacturing Supply,5,False,2701137.950000001,0.0,12429367.14,0.0519274456470056,30.0,Normal
CZ01,Spare Parts,SUP-CZ01-MFG-05,Industrial Supply CZ01 05,Manufacturing Supply,5,False,220544.64,0.0,1874294.1,0.0519274456470056,30.0,Normal
CN01,Hardware,SUP-CN01-MFG-04,Industrial Supply CN01 04,Manufacturing Supply,5,False,921813.92,0.0,11388096.08,0.04992872788202922,0.0,Normal
CN01,Spare Parts,SUP-CN01-MFG-04,Industrial Supply CN01 04,Manufacturing Supply,5,False,352447.6800000005,0.0,2365008.87,0.04992872788202922,30.0,Normal
CZ01,Hardware,SUP-CZ01-MFG-01,Industrial Supply CZ01 01,Manufacturing Supply,5,False,1034875.4199999999,0.0,9607766.32,0.04732254789783237,0.0,Normal
