document_id,issue_month,settlement_month,entity,division,counterparty,document_type,source_account,functional_currency,transaction_currency,original_reporting_eur,transaction_amount,issue_transaction_fx_to_eur,issue_functional_fx_to_eur,original_functional_amount,payment_terms_months,source_journal_id,contract_id
FX-ABSORB-2023-12-CN01-2100_AP,2023-12,2024-01,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,EUR,123037.14,123037.14,1.0,0.1284197677224354,958085.68,1,ABSORB-2023-12-CN01,FX-ABSORB-2023-12-CN01-2100_AP
FX-ABSORB-2024-02-CZ01-2100_AP,2024-02,2024-03,CZ01,Hardware,EXTERNAL,Payable,2100_AP,CZK,CNY,12133.83,94219.9411,0.1287819739578319,0.0396321382670942,306161.38,1,ABSORB-2024-02-CZ01,FX-ABSORB-2024-02-CZ01-2100_AP
FX-ABSORB-2024-03-CN01-2100_AP,2024-03,2024-05,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,CZK,124194.73,3141114.482,0.03953842838701,0.1277189773796919,972406.24,2,ABSORB-2024-03-CN01,FX-ABSORB-2024-03-CN01-2100_AP
FX-ABSORB-2024-05-CZ01-2100_AP,2024-05,2024-07,CZ01,Hardware,EXTERNAL,Payable,2100_AP,CZK,JPY,62300.47,10499894.6666,0.0059334376179944,0.0402925237222233,1546204.21,2,ABSORB-2024-05-CZ01,FX-ABSORB-2024-05-CZ01-2100_AP
FX-ABSORB-2024-09-CZ01-2100_AP,2024-09,2024-11,CZ01,Hardware,EXTERNAL,Payable,2100_AP,CZK,EUR,345698.16,345698.16,1.0,0.0398415444859302,8676826.27,2,ABSORB-2024-09-CZ01,FX-ABSORB-2024-09-CZ01-2100_AP
FX-ABSORB-2024-12-CZ01-2100_AP,2024-12,2025-02,CZ01,Hardware,EXTERNAL,Payable,2100_AP,CZK,CNY,202964.87,1548588.4689,0.1310644332413479,0.0397834982027804,5101735.12,2,ABSORB-2024-12-CZ01,FX-ABSORB-2024-12-CZ01-2100_AP
FX-ABSORB-2025-05-CN01-2100_AP,2025-05,2025-07,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,JPY,143755.03,23452811.6872,0.0061295435241372,0.122927932621444,1169425.26,2,ABSORB-2025-05-CN01,FX-ABSORB-2025-05-CN01-2100_AP
FX-ABSORB-2025-06-CN01-2100_AP,2025-06,2025-07,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,JPY,97545.13,16243540.198,0.0060051644414196,0.1209185665276679,806701.01,1,ABSORB-2025-06-CN01,FX-ABSORB-2025-06-CN01-2100_AP
FX-ABSORB-2025-08-CZ01-2100_AP,2025-08,2025-09,CZ01,Hardware,EXTERNAL,Payable,2100_AP,CZK,USD,285172.5,331696.3564,0.8597396217145662,0.0407886584221781,6991465.55,1,ABSORB-2025-08-CZ01,FX-ABSORB-2025-08-CZ01-2100_AP
FX-ABSORB-2025-12-CN01-2100_AP,2025-12,2026-01,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,EUR,61520.18,61520.18,1.0,0.1212259056296733,507483.77,1,ABSORB-2025-12-CN01,FX-ABSORB-2025-12-CN01-2100_AP
FX-ABSORB-2026-01-CN01-2100_AP,2026-01,2026-03,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,CZK,644808.95,15654763.8037,0.0411893119619646,0.1222397109089046,5274954.8,2,ABSORB-2026-01-CN01,FX-ABSORB-2026-01-CN01-2100_AP
FX-ABSORB-2026-01-CZ01-2100_AP,2026-01,2026-02,CZ01,Hardware,EXTERNAL,Payable,2100_AP,CZK,USD,496642.13,582970.357,0.8519166095341638,0.0411893119619646,12057548.58,1,ABSORB-2026-01-CZ01,FX-ABSORB-2026-01-CZ01-2100_AP
FX-ABSORB-2026-03-CN01-2100_AP,2026-03,2026-05,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,CZK,156281.48,3819157.0823,0.0409204116593413,0.1254663641786686,1245604.6,2,ABSORB-2026-03-CN01,FX-ABSORB-2026-03-CN01-2100_AP
FX-ABSORB-2026-06-CN01-2100_AP,2026-06,2026-07,CN01,Hardware,EXTERNAL,Payable,2100_AP,CNY,EUR,122935.34,122935.34,1.0,0.1281318779881664,959443.83,1,ABSORB-2026-06-CN01,FX-ABSORB-2026-06-CN01-2100_AP
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-BI-E-1100_AR,2023-10,2023-11,DE01,Software,C001,Receivable,1100_AR,EUR,USD,598.72,632.4007,0.94674148793339,1.0,598.72,1,CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-BI-E,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-BI-E-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-PRD-P-1100_AR,2023-10,2023-11,DE01,Software,C001,Receivable,1100_AR,EUR,USD,729.67,770.7173,0.94674148793339,1.0,729.67,1,CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-PRD-P,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-ANL-PRD-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P-1100_AR,2023-10,2023-12,DE01,Software,C001,Receivable,1100_AR,EUR,JPY,697.54,110237.6363,0.0063276030176914,1.0,697.54,2,CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-AUT-RPA-P-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X-1100_AR,2023-10,2023-11,DE01,Software,C001,Receivable,1100_AR,EUR,CZK,1612.56,39643.7614,0.0406762613338856,1.0,1612.56,1,CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-PLT-API-X-1100_AR
FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P-1100_AR,2023-10,2023-11,DE01,Software,C001,Receivable,1100_AR,EUR,JPY,772.63,122104.6892,0.0063276030176914,1.0,772.63,1,CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P,FX-CONTRACT-APPLY-2023-10-DE01-C001-SW-SEC-IAM-P-1100_AR
