snapshot_month,document_id,entity,division,counterparty,document_type,functional_currency,transaction_currency,status,age_months,transaction_amount,transaction_fx_to_eur,functional_fx_to_eur,carrying_reporting_eur,carrying_functional_amount,unrealized_fx_gain_loss_functional,realized_fx_gain_loss_functional,monthly_fx_gain_loss_functional,cumulative_fx_gain_loss_functional,unrealized_fx_gain_loss_eur,realized_fx_gain_loss_eur,monthly_fx_gain_loss_eur,cumulative_fx_gain_loss_eur
2023-12,FX-ABSORB-2023-12-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,EUR,Open,0,125365.27,1.0,0.1284197677224354,125365.27,976214.74,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2024-01,FX-ABSORB-2023-12-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,EUR,Settled,1,125365.27,1.0,0.1278752309746363,125365.27,980371.8,0.0,-4157.06,-4157.06,-4157.06,0.0,-531.59,-531.59,-531.59
2024-02,FX-ABSORB-2024-02-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Open,0,336377.1238,0.1287819739578319,0.0396321382670942,43319.31,1093034.89,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2024-03,FX-ABSORB-2024-02-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Settled,1,336377.1238,0.1277189773796919,0.03953842838701,42961.74,1086581.88,0.0,6453.01,6453.01,6453.01,0.0,255.14,255.14,255.14
2024-03,FX-ABSORB-2024-03-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Open,0,4727551.5903,0.03953842838701,0.1277189773796919,186919.96,1463525.34,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2024-04,FX-ABSORB-2024-03-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Open,1,4727551.5903,0.0395600172557027,0.12876981292199,187022.02,1452374.71,11150.63,0.0,11150.63,11150.63,1435.86,0.0,1435.86,1435.86
2024-05,FX-ABSORB-2024-03-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,CZK,Settled,2,4727551.5903,0.0402925237222233,0.1278669068239665,190484.98,1489712.9,0.0,-37338.19,-37338.19,-26187.56,0.0,-4774.32,-4774.32,-3338.46
2024-05,FX-ABSORB-2024-05-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,JPY,Open,0,4525985.0577,0.0059334376179944,0.0402925237222233,26854.65,666492.13,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2024-06,FX-ABSORB-2024-05-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,JPY,Open,1,4525985.0577,0.0058888306548968,0.0403571608737325,26652.76,660422.08,6070.05,0.0,6070.05,6070.05,244.97,0.0,244.97,244.97
2024-07,FX-ABSORB-2024-05-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,JPY,Settled,2,4525985.0577,0.0058421155570457,0.0395277974939377,26441.33,668930.01,0.0,-8507.93,-8507.93,-2437.88,0.0,-336.3,-336.3,-91.33
2024-09,FX-ABSORB-2024-09-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,EUR,Open,0,283780.27,1.0,0.0398415444859302,283780.27,7122722.62,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2024-10,FX-ABSORB-2024-09-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,EUR,Open,1,283780.27,1.0,0.0395288165072337,283780.27,7179073.27,-56350.65,0.0,-56350.65,-56350.65,-2227.47,0.0,-2227.47,-2227.47
2024-11,FX-ABSORB-2024-09-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,EUR,Settled,2,283780.27,1.0,0.0395239063170494,283780.27,7179965.15,0.0,-891.88,-891.88,-57242.53,0.0,-35.25,-35.25,-2262.72
2024-12,FX-ABSORB-2024-12-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Open,0,1349455.4215,0.1310644332413479,0.0397834982027804,176865.61,4445702.82,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2025-01,FX-ABSORB-2024-12-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Open,1,1349455.4215,0.1323451561672843,0.0397403868907301,178593.89,4494014.88,-48312.06,0.0,-48312.06,-48312.06,-1919.94,0.0,-1919.94,-1919.94
2025-02,FX-ABSORB-2024-12-CZ01-2100_AP,CZ01,Hardware,EXTERNAL,Payable,CZK,CNY,Settled,2,1349455.4215,0.1320146826730069,0.0398777348649042,178147.93,4467353.29,0.0,26661.59,26661.59,-21650.47,0.0,1063.2,1063.2,-856.74
2025-05,FX-ABSORB-2025-05-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Open,0,28549556.6368,0.0061295435241372,0.122927932621444,174995.75,1423563.76,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2025-06,FX-ABSORB-2025-05-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Open,1,28549556.6368,0.0060051644414196,0.1209185665276679,171444.78,1417853.23,5710.53,0.0,5710.53,5710.53,690.51,0.0,690.51,690.51
2025-07,FX-ABSORB-2025-05-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Settled,2,28549556.6368,0.0058298396540623,0.1193975924254167,166439.34,1393992.43,0.0,23860.8,23860.8,29571.33,0.0,2848.92,2848.92,3539.43
2025-06,FX-ABSORB-2025-06-CN01-2100_AP,CN01,Hardware,EXTERNAL,Payable,CNY,JPY,Open,0,31317332.2454,0.0060051644414196,0.1209185665276679,188065.73,1555308.96,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
