month,opening_fte,hires,attrition,ending_fte,average_fte,payroll_cost,recruitment_cost,personnel_cost,revenue,revenue_per_fte,personnel_cost_pct_revenue
2023-09,238.1185,1.2008,2.1825,237.1365,237.6272,2312133.18,9003.89,2321137.05,26447102.27,111296.61196193029,0.08776526918916777
2023-10,237.1365,1.6058,2.1735,236.5683,236.85229999999999,2310648.1,12042.53,2322690.64,30594433.21,129170.93568439066,0.07591873410620376
2023-11,236.5683,15.7801,2.1686,250.1804,243.3744,2363010.96,118352.47,2481363.45,31426401.330000002,129127.80197917283,0.07895792534257692
2023-12,250.1804,13.9338,2.2931,261.8208,256.0008,2463660.24,104504.8,2568165.04,32959299.39,128746.86090824715,0.07791928492203305
2024-01,261.8208,20.3955,2.4002,279.8159,270.8188,2597275.56,152965.72,2750241.31,26363534.87,97347.50641388264,0.10431989957194993
2024-02,279.8159,7.8904,2.565,285.142,282.479,2722958.7800000003,59178.47,2782137.27,24408712.37,86408.94498352091,0.11398132059679804
2024-03,285.142,2.6531,2.6138,285.1811,285.1615,2770825.9,19897.87,2790723.75,29372944.63,103004.59434390688,0.09501000955653931
2024-04,285.1811,1.539,2.6142,284.1057,284.6431,2778599.55,11541.8,2790141.35,28104388.69,98735.53474508955,0.09927778115995022
2024-05,284.1057,0.3209,2.6042,281.822,282.9637,2771721.06,2406.25,2774127.2600000002,28083919.4,99249.19486139034,0.09877991816199275
2024-06,281.822,0.374,2.5831,279.613,280.7178,2757552.17,2805.2799999999997,2760357.44,30596861.42,108995.08837701064,0.0902170128533399
2024-07,279.613,4.0651,2.5634,281.1147,280.3642,2761149.13,30488.670000000002,2791637.81,28524482.12,101740.81469745425,0.09786813300433726
2024-08,281.1147,2.2487,2.5768,280.7869,280.9506,2774283.55,16865.81,2791149.37,25099791.27,89338.80643073906,0.11120209486905427
2024-09,280.7869,0.5488,2.5743,278.7616,279.7743,2771027.53,4115.72,2775143.24,31348459.41,112049.10318781962,0.0885256657657232
2024-10,278.7616,1.2164,2.5554,277.4228,278.0918,2761479.4499999997,9124.31,2770603.8,32537916.9,117004.2298981847,0.08515000540799832
2024-11,277.4228,3.2988,2.543,278.17879999999997,277.8007,2764927.96,24741.09,2789669.04,32899761.63,118429.3690764638,0.08479298638614484
2024-12,278.17879999999997,13.1485,2.5496,288.777,283.4778,2828182.11,98611.98,2926794.08,35462168.61,125096.81043806605,0.08253285669547777
2025-01,288.777,13.8123,2.6466,299.9428,294.3605,2945020.51,103595.41,3048615.97,27279932.84,92675.2497023208,0.11175305994631621
2025-02,299.9428,0.8131999999999999,2.7497,298.0059,298.9741,3000589.8,6097.84,3006687.65,29678764.47,99268.68069842838,0.10130770952541611
2025-03,298.0059,0.8442,2.7314,296.1184,297.062,2990748.55,6330.7300000000005,2997079.3,32771698.47,110319.38945405335,0.09145327950406959
2025-04,296.1184,2.355,2.7144,295.7596,295.9389,2991364.64,17663.3,3009027.93,31116410.599999998,105144.71264169732,0.09670228255697334
2025-05,295.7596,1.9681,2.7111,295.0159,295.38779999999997,2999391.9,14760.1,3014152.01,31778866.759999998,107583.54529198566,0.09484768707340778
2025-06,295.0159,3.0952,2.7044,295.407,295.2118,3008327.54,23214.51,3031542.02,35291840.42,119547.52628451845,0.08589923290829614
2025-07,295.407,8.1179,2.708,300.8175,298.1124,3042746.38,60884.81,3103631.23,30788897.03,103279.49132609044,0.10080358601270752
2025-08,300.8175,4.7169,2.7574,302.7765,301.7969,3082498.28,35373.19,3117871.5,27633679.2,91563.82719636947,0.11282867827458894
2025-09,302.7765,0.4752,2.7751,300.4762,301.6266,3086763.56,3564.86,3090328.41,34282523.51,113658.82024330745,0.09014296771643927
2025-10,300.4762,0.4963,2.7540999999999998,298.21750000000003,299.3469,3072459.9,3721.2,3076181.08,36206664.08,120952.19319124399,0.08496173724270928
2025-11,298.21750000000003,3.6252,2.7339,299.109,298.66339999999997,3073610.88,27187.58,3100798.4899999998,35064781.33,117405.68589924311,0.08843056686473852
2025-12,299.109,13.2357,2.7422,309.6031,304.35609999999997,3139338.67,99268.26,3238606.9499999997,37928777.3,124619.73753770665,0.085386537097783
2026-01,309.6031,13.7486,2.8383,320.51370000000003,315.0584,3254143.97,103114.89,3357258.86,30331198.02,96271.66906198977,0.11068665529750149
2026-02,320.51370000000003,0.7522,2.9381,318.3278,319.4211,3304821.91,5641.49,3310463.42,32809728.75,102716.22240985332,0.10089883537973474
2026-03,318.3278,2.4756,2.9175,317.8854,318.1069,3297328.71,18568.38,3315897.08,35119130.23,110400.40385794837,0.09441854221000735
2026-04,317.8854,2.2598000000000003,2.9137,317.2314,317.5586,3295114.45,16948.19,3312062.64,33716728.77,106174.82496144019,0.09823202786347887
2026-05,317.2314,2.2408,2.9079,316.5642,316.8981,3292537.47,16806.08,3309343.56,34823775.65,109889.50596422004,0.09503115323452872
2026-06,316.5642,2.7560000000000002,2.9022,316.4182,316.4912,3293409.08,20668.4,3314077.5,34132672.07,107847.14415440304,0.09709399525485202
2026-07,316.4182,1.8125,2.9007,315.33,315.874,3294206.68,13592.59,3307799.3000000003,33560100.96,106245.21473752192,0.09856344901770522
2026-08,315.33,1.2391,2.8907,313.6782,314.5042,3289936.32,9292.66,3299229.0100000002,30926917.98,98335.46890629758,0.10667823454421048
