month,trade_payables,revenue,variable_production_cost,fixed_production_cost,opex,net_working_capital,dso,dio,dpo,trade_receivables_gross,credit_loss_allowance,net_trade_receivables,inventory_gross,inventory_provision,net_inventory,trade_receivables,inventory,gross_net_working_capital,provision_adjusted_net_working_capital,contract_liabilities,trade_net_working_capital,operating_net_working_capital,gross_operating_net_working_capital
2023-09,52418911.20000001,26447102.24,14612284.66,-1287080.5399999998,3198966.5,10587452.543703698,29.948086724680046,82.41155564460587,95.16770143347746,26447102.24,45765.19,26401337.049999997,39583960.150000006,46788.26,36605026.69370371,26401337.049999997,36605026.69370371,13612151.18999999,10587452.543703698,1653576.6,10587452.543703698,8933875.943703698,11958574.58999999
2023-10,40580002.550000004,30605907.93,16859677.48,1679014.54,3375048.9699999997,47626249.04999999,49.26150942322331,61.41179350041331,55.5541875326327,50344064.849999994,87624.12,50256440.73,41041343.25,51432.880000000005,37949810.87,50256440.73,37949810.87,50805405.54999999,47626249.04999999,3504771.45,47626249.04999999,44121477.59999999,47300634.09999999
2023-11,40765733.78,31418460.86,16936585.29,1674575.52,3554971.02,49939655.695185184,49.297296704049934,62.98997194337582,55.17300098995216,51722199.89,94026.98999999999,51628172.9,42264788.24,56846.61,39077216.57518519,51628172.9,39077216.57518519,53221254.349999994,49939655.695185184,5190442.470000001,49939655.695185184,44749213.225185186,48030811.879999995
2023-12,43261953.03,32969249.099999998,17663592.59,1648144.55,3692961.73,51301448.93370369,48.98555069912101,63.2716376964476,56.41710844528868,53932150.53999999,98256.43,53833894.10999999,44053107.88,60406.84999999999,40729507.85370371,53833894.10999999,40729507.85370371,54723305.389999986,51301448.93370369,6519809.470000001,51301448.93370369,44781639.46370369,48203495.91999999
2024-01,13388099.850000005,26386001.26,14057608.74,2664831.92,3684361.76,58619454.98407407,47.24207906749717,54.63897918966944,19.681819191151853,41628117.48,77132.22,41550985.26,32910671.87,16274.749999999998,30456569.574074075,41550985.26,30456569.574074075,61150689.499999985,58619454.98407407,8097958.0,58619454.98407407,50521496.98407407,53052731.499999985
2024-02,24054995.09000001,24423529.13,12835209.16,1540819.54,3606646.08,47273420.04740741,48.98437115832162,65.62878093184543,40.13028437252315,39952521.58,73481.05,39879040.53,34005204.17,36925.549999999996,31449374.607407413,39879040.53,31449374.607407413,49902730.65999999,47273420.04740741,8022206.670000001,47273420.04740741,39251213.37740741,41880523.98999999
2024-03,41015262.38000001,29341195.68,15594094.47,1543002.38,3810202.6799999997,40213373.90333332,47.79507968231511,60.36578494332312,58.74064433163716,46830290.71999999,84797.87,46745492.849999994,37317125.07,69750.15,34483143.43333334,46745492.849999994,34483143.43333334,43132153.40999998,40213373.90333332,7733993.880000001,40213373.90333332,32479380.02333332,35398159.52999998
2024-04,36472046.95000001,28390650.26,15141035.920000002,1653039.35,3759695.5,45194468.81999997,49.0261213340733,63.00507718874834,53.234096105470975,46480712.989999995,84597.51,46396115.48,38172597.56999999,74597.45999999999,35270400.28999999,46396115.48,35270400.28999999,48181263.60999998,45194468.81999997,7763068.720000001,45194468.81999997,37431400.09999997,40418194.88999998
2024-05,36631024.53,27814020.02,14794788.82,1556297.5,3702985.4,45577222.163703695,49.526512000403734,66.58371090484899,54.798384649439164,46002263.06999999,84549.85999999999,45917713.20999999,39273342.699999996,73672.72,36290533.4837037,45917713.20999999,36290533.4837037,48644581.23999998,45577222.163703695,7399413.25,45577222.163703695,38177808.913703695,41245167.98999998
2024-06,39724003.27,30176698.37,15954477.03,1593823.77,3781233.5500000003,47319673.065555565,48.95733726353312,64.61819314532532,55.87182910535503,49335402.620000005,89709.29999999999,49245693.32000001,40916496.39,87661.79000000001,37797983.01555556,49245693.32000001,37797983.01555556,50527895.74,47319673.065555565,6552934.880000001,47319673.065555565,40766738.18555556,43974960.86
