entity,division,account,month,opening_balance,debits,credits,closing_balance
CN01,Hardware,2100_AP,2023-09,0.0,1101047.25,18873260.38,-17772213.13
CN01,Hardware,2100_AP,2023-10,-17772213.13,11932454.27,5839758.86,-11679517.719999999
CN01,Hardware,2100_AP,2023-11,-11679517.719999999,5491661.52,6187856.199999999,-12375712.399999999
CN01,Hardware,2100_AP,2023-12,-12375712.399999999,6066235.53,6309476.87,-12618953.739999998
CN01,Hardware,2100_AP,2024-01,-12618953.739999998,11462445.2,1156508.54,-2313017.079999999
CN01,Hardware,2100_AP,2024-02,-2313017.079999999,0.0,4352143.72,-6665160.799999999
CN01,Hardware,2100_AP,2024-03,-6665160.799999999,896834.31,5768326.49,-11536652.979999999
CN01,Hardware,2100_AP,2024-04,-11536652.979999999,5812894.38,5723758.6,-11447517.2
CN01,Hardware,2100_AP,2024-05,-11447517.2,6332900.02,5114617.18,-10229234.36
CN01,Hardware,2100_AP,2024-06,-10229234.36,4157574.34,6071660.0200000005,-12143320.04
CN01,Hardware,2100_AP,2024-07,-12143320.04,8436811.84,3706508.2,-7413016.399999999
CN01,Hardware,2100_AP,2024-08,-7413016.399999999,5501434.89,1911581.5100000002,-3823163.02
CN01,Hardware,2100_AP,2024-09,-3823163.02,121361.17,8662253.65,-12364055.5
CN01,Hardware,2100_AP,2024-10,-12364055.5,5431631.67,6932423.83,-13864847.66
CN01,Hardware,2100_AP,2024-11,-13864847.66,7725859.42,6138988.239999999,-12277976.48
CN01,Hardware,2100_AP,2024-12,-12277976.48,5517357.91,6760618.57,-13521237.14
CN01,Hardware,2100_AP,2025-01,-13521237.14,12280017.03,1241220.1099999999,-2482440.220000001
CN01,Hardware,2100_AP,2025-02,-2482440.220000001,0.0,5394841.720000001,-7877281.940000001
CN01,Hardware,2100_AP,2025-03,-7877281.940000001,1238112.95,6639168.99,-13278337.98
CN01,Hardware,2100_AP,2025-04,-13278337.98,8759401.33,4518936.649999999,-9037873.3
CN01,Hardware,2100_AP,2025-05,-9037873.3,3349841.08,5688032.220000001,-11376064.440000001
CN01,Hardware,2100_AP,2025-06,-11376064.440000001,5839552.76,5536511.68,-11073023.360000001
CN01,Hardware,2100_AP,2025-07,-11073023.360000001,6900622.7,4172400.66,-8344801.320000001
CN01,Hardware,2100_AP,2025-08,-8344801.320000001,5609069.2,2735732.12,-5471464.240000001
CN01,Hardware,2100_AP,2025-09,-5471464.240000001,179490.12,8995380.77,-14287354.89
CN01,Hardware,2100_AP,2025-10,-14287354.89,7914904.89,6372450.0,-12744900.0
CN01,Hardware,2100_AP,2025-11,-12744900.0,5737415.55,7007484.45,-14014968.9
CN01,Hardware,2100_AP,2025-12,-14014968.9,6781830.26,7259940.76,-14493079.4
CN01,Hardware,2100_AP,2026-01,-14493079.4,13232844.65,1260234.75,-2520469.5
CN01,Hardware,2100_AP,2026-02,-2520469.5,0.0,6115713.67,-8636183.17
CN01,Hardware,2100_AP,2026-03,-8636183.17,350195.32,8440034.99,-16726022.84
CN01,Hardware,2100_AP,2026-04,-16726022.84,9441829.15,7284193.6899999995,-14568387.379999999
CN01,Hardware,2100_AP,2026-05,-14568387.379999999,7198548.45,7369838.93,-14739677.86
CN01,Hardware,2100_AP,2026-06,-14739677.86,8531533.4,6208144.46,-12416288.919999998
CN01,Hardware,2100_AP,2026-07,-12416288.919999998,6742918.99,5673369.93,-11346739.859999998
CN01,Hardware,2100_AP,2026-08,-11346739.859999998,7313757.77,4032982.09,-8065964.179999998
CN01,Spare Parts,2100_AP,2023-09,0.0,0.0,4883605.4,-4883605.4
CN01,Spare Parts,2100_AP,2023-10,-4883605.4,3934334.07,1423906.99,-2373178.3200000003
CN01,Spare Parts,2100_AP,2023-11,-2373178.3200000003,1388682.36,1476743.94,-2461239.9000000004
CN01,Spare Parts,2100_AP,2023-12,-2461239.9000000004,1365587.98,1643477.8800000001,-2739129.8000000007
CN01,Spare Parts,2100_AP,2024-01,-2739129.8000000007,2739129.8,0.0,-9.313225746154785e-10
CN01,Spare Parts,2100_AP,2024-02,-9.313225746154785e-10,0.0,1314065.74,-1314065.740000001
CN01,Spare Parts,2100_AP,2024-03,-1314065.740000001,323856.33,1485314.1099999999,-2475523.5200000005
CN01,Spare Parts,2100_AP,2024-04,-2475523.5200000005,1560885.44,1371957.1199999999,-2286595.2
CN01,Spare Parts,2100_AP,2024-05,-2286595.2,1445502.51,1261639.04,-2102731.7300000004
CN01,Spare Parts,2100_AP,2024-06,-2102731.7300000004,1132645.98,1455128.6300000001,-2425214.380000001
CN01,Spare Parts,2100_AP,2024-07,-2425214.380000001,1898475.64,790108.12,-1316846.8600000008
CN01,Spare Parts,2100_AP,2024-08,-1316846.8600000008,914719.26,603191.4099999999,-1005319.0100000007
CN01,Spare Parts,2100_AP,2024-09,-1005319.0100000007,0.0,1967692.27,-2973011.2800000007
CN01,Spare Parts,2100_AP,2024-10,-2973011.2800000007,1965494.79,1511274.75,-2518791.2400000007
CN01,Spare Parts,2100_AP,2024-11,-2518791.2400000007,1479382.84,1559112.6099999999,-2598521.0100000007
CN01,Spare Parts,2100_AP,2024-12,-2598521.0100000007,1428778.93,1754613.1300000001,-2924355.210000001
CN01,Spare Parts,2100_AP,2025-01,-2924355.210000001,2886073.59,57422.439999999995,-95704.06000000105
CN01,Spare Parts,2100_AP,2025-02,-95704.06000000105,0.0,1376266.08,-1471970.140000001
CN01,Spare Parts,2100_AP,2025-03,-1471970.140000001,349533.03,1683655.68,-2806092.790000001
CN01,Spare Parts,2100_AP,2025-04,-2806092.790000001,1958852.07,1270861.09,-2118101.810000001
CN01,Spare Parts,2100_AP,2025-05,-2118101.810000001,1225271.86,1339244.9300000002,-2232074.880000001
CN01,Spare Parts,2100_AP,2025-06,-2232074.880000001,1263301.16,1453160.59,-2421934.310000001
CN01,Spare Parts,2100_AP,2025-07,-2421934.310000001,1891694.99,795358.99,-1325598.310000001
CN01,Spare Parts,2100_AP,2025-08,-1325598.310000001,891796.79,650702.2899999999,-1084503.810000001
CN01,Spare Parts,2100_AP,2025-09,-1084503.810000001,0.0,2014106.8,-3098610.6100000013
CN01,Spare Parts,2100_AP,2025-10,-3098610.6100000013,2111991.18,1479929.15,-2466548.580000001
CN01,Spare Parts,2100_AP,2025-11,-2466548.580000001,1397680.08,1603302.76,-2672171.2600000007
CN01,Spare Parts,2100_AP,2025-12,-2672171.2600000007,1547355.83,1687223.15,-2812038.5800000005
CN01,Spare Parts,2100_AP,2026-01,-2812038.5800000005,2812038.58,0.0,-4.656612873077393e-10
CN01,Spare Parts,2100_AP,2026-02,-4.656612873077393e-10,0.0,1305180.69,-1305180.6900000004
CN01,Spare Parts,2100_AP,2026-03,-1305180.6900000004,61818.34,1865043.53,-3108405.8800000004
CN01,Spare Parts,2100_AP,2026-04,-3108405.8800000004,2103376.59,1507543.94,-2512573.2300000004
CN01,Spare Parts,2100_AP,2026-05,-2512573.2300000004,1536698.55,1463812.02,-2439686.7
CN01,Spare Parts,2100_AP,2026-06,-2439686.7,1523035.94,1374976.1400000001,-2291626.9000000004
CN01,Spare Parts,2100_AP,2026-07,-2291626.9000000004,1570232.5,1082091.6,-1803486.0000000005
CN01,Spare Parts,2100_AP,2026-08,-1803486.0000000005,1262381.71,811656.44,-1352760.7300000004
CZ01,Hardware,2100_AP,2023-09,0.0,1482570.08,22542595.46,-21060025.380000003
CZ01,Hardware,2100_AP,2023-10,-21060025.380000003,13718832.53,7468226.89,-14809419.740000002
CZ01,Hardware,2100_AP,2023-11,-14809419.740000002,7498788.16,7473524.4799999995,-14784156.060000002
CZ01,Hardware,2100_AP,2023-12,-14784156.060000002,6537332.17,8607496.129999999,-16854320.020000003
CZ01,Hardware,2100_AP,2024-01,-16854320.020000003,15914604.05,939715.97,-1879431.9400000025
CZ01,Hardware,2100_AP,2024-02,-1879431.9400000025,0.0,6153878.01,-8033309.950000002
CZ01,Hardware,2100_AP,2024-03,-8033309.950000002,1049608.84,7074732.17,-14058433.280000001
CZ01,Hardware,2100_AP,2024-04,-14058433.280000001,7660605.27,6397828.01,-12795656.020000001
CZ01,Hardware,2100_AP,2024-05,-12795656.020000001,6522225.48,6273430.54,-12546861.080000002
CZ01,Hardware,2100_AP,2024-06,-12546861.080000002,5410184.17,7270275.01,-14406951.920000002
CZ01,Hardware,2100_AP,2024-07,-14406951.920000002,9860853.28,4546098.64,-9092197.280000001
CZ01,Hardware,2100_AP,2024-08,-9092197.280000001,6294327.4,2797869.88,-5595739.760000001
CZ01,Hardware,2100_AP,2024-09,-5595739.760000001,283780.27,9385917.57,-14697877.06
CZ01,Hardware,2100_AP,2024-10,-14697877.06,7354715.34,7550652.74,-14893814.46
CZ01,Hardware,2100_AP,2024-11,-14893814.46,8404102.26,6530054.4,-13019766.600000001
CZ01,Hardware,2100_AP,2024-12,-13019766.600000001,5062817.36,8310680.46,-16267629.700000001
CZ01,Hardware,2100_AP,2025-01,-16267629.700000001,14946575.52,1321054.18,-2642108.3600000013
CZ01,Hardware,2100_AP,2025-02,-2642108.3600000013,37170.18,6863096.72,-9468034.9
CZ01,Hardware,2100_AP,2025-03,-9468034.9,1428332.3900000001,8403873.29,-16443575.799999999
CZ01,Hardware,2100_AP,2025-04,-16443575.799999999,10456480.54,5987095.26,-11974190.52
CZ01,Hardware,2100_AP,2025-05,-11974190.52,5200861.29,6889596.69,-13662925.92
CZ01,Hardware,2100_AP,2025-06,-13662925.92,6658473.71,7172243.609999999,-14176695.82
CZ01,Hardware,2100_AP,2025-07,-14176695.82,9532519.22,4644176.6,-9288353.2
CZ01,Hardware,2100_AP,2025-08,-9288353.2,5684712.64,3603640.56,-7207281.119999999
CZ01,Hardware,2100_AP,2025-09,-7207281.119999999,339469.37,9509582.35,-16377394.099999998
CZ01,Hardware,2100_AP,2025-10,-16377394.099999998,9841784.860000001,6655011.68,-13190620.919999996
CZ01,Hardware,2100_AP,2025-11,-13190620.919999996,6218363.88,7179721.38,-14151978.419999996
CZ01,Hardware,2100_AP,2025-12,-14151978.419999996,7106501.59,7296891.09,-14342367.919999996
CZ01,Hardware,2100_AP,2026-01,-14342367.919999996,13097034.75,1245333.17,-2490666.339999996
